cycle,source,evaluated,accepted,superseded,enteredPddr,pddrSelected,pddrRejected,fe,regionAssignments,regionRoles,bestGeneratedCmax
1,GLOBAL_Q_FINAL,0,0,0,100,69,31,0,0,"{}",Infinity
1,PARENT,0,0,0,100,24,76,0,0,"{}",Infinity
1,CRITICAL_SWAP,7,2,2,0,0,0,7,0,"{}",282.8353725995518
1,CRITICAL_INSERT,7,6,6,0,0,0,7,0,"{}",259.6216361135349
1,O1_O9,1653,67,60,7,7,0,1653,0,"{}",220.12891249322908
2,GLOBAL_Q_FINAL,0,0,0,100,58,42,0,0,"{}",Infinity
2,PARENT,0,0,0,100,35,65,0,0,"{}",Infinity
2,CRITICAL_SWAP,7,4,4,0,0,0,7,0,"{}",263.05376645386855
2,CRITICAL_INSERT,7,6,6,0,0,0,7,0,"{}",254.36276609831359
2,O1_O9,1654,84,77,7,7,0,1654,0,"{}",214.3393251851291
3,GLOBAL_Q_FINAL,0,0,0,100,30,70,0,0,"{}",Infinity
3,PARENT,0,0,0,100,64,36,0,0,"{}",Infinity
3,CRITICAL_SWAP,8,5,5,0,0,0,8,0,"{}",257.7351382997275
3,CRITICAL_INSERT,8,4,4,0,0,0,8,0,"{}",253.6724479093238
3,O1_O9,1655,76,68,8,6,2,1655,0,"{}",218.6664365692468
4,GLOBAL_Q_FINAL,0,0,0,100,30,70,0,0,"{}",Infinity
4,PARENT,0,0,0,100,66,34,0,0,"{}",Infinity
4,CRITICAL_SWAP,8,4,4,0,0,0,8,0,"{}",280.0783917757325
4,CRITICAL_INSERT,8,8,8,0,0,0,8,0,"{}",251.17068414597512
4,O1_O9,1659,82,74,8,4,4,1659,0,"{}",224.32471329460856
5,GLOBAL_Q_FINAL,0,0,0,100,21,79,0,0,"{}",Infinity
5,PARENT,0,0,0,100,72,28,0,0,"{}",Infinity
5,CRITICAL_SWAP,9,5,5,0,0,0,9,0,"{}",267.46979936417677
5,CRITICAL_INSERT,9,7,7,0,0,0,9,0,"{}",240.46740082059188
5,O1_O9,1663,93,84,9,7,2,1663,0,"{}",232.13246576862298
6,GLOBAL_Q_FINAL,0,0,0,100,19,81,0,0,"{}",Infinity
6,PARENT,0,0,0,100,74,26,0,0,"{}",Infinity
6,CRITICAL_SWAP,9,5,5,0,0,0,9,0,"{}",236.8998622859731
6,CRITICAL_INSERT,9,6,5,1,0,1,9,0,"{}",250.89562824574313
6,O1_O9,1669,105,97,8,7,1,1669,0,"{}",207.50159520527245
7,GLOBAL_Q_FINAL,0,0,0,100,16,84,0,0,"{}",Infinity
7,PARENT,0,0,0,100,82,18,0,0,"{}",Infinity
7,CRITICAL_SWAP,7,4,4,0,0,0,7,0,"{}",222.25496023127403
7,CRITICAL_INSERT,7,4,4,0,0,0,7,0,"{}",229.81414592631396
7,O1_O9,1681,64,57,7,2,5,1681,0,"{}",207.50159520527245
8,GLOBAL_Q_FINAL,0,0,0,100,9,91,0,0,"{}",Infinity
8,PARENT,0,0,0,100,90,10,0,0,"{}",Infinity
8,CRITICAL_SWAP,7,4,4,0,0,0,7,0,"{}",218.95450451941943
8,CRITICAL_INSERT,7,6,6,0,0,0,7,0,"{}",236.66653531100195
8,O1_O9,1691,43,36,7,1,6,1691,0,"{}",202.9401680473829
9,GLOBAL_Q_FINAL,0,0,0,100,20,80,0,0,"{}",Infinity
9,PARENT,0,0,0,100,79,21,0,0,"{}",Infinity
9,CRITICAL_SWAP,7,1,1,0,0,0,7,0,"{}",221.71204206975784
9,CRITICAL_INSERT,7,3,3,0,0,0,7,0,"{}",207.54391382786147
9,O1_O9,1701,11,4,7,1,6,1701,0,"{}",207.492358220241
10,GLOBAL_Q_FINAL,0,0,0,100,16,84,0,0,"{}",Infinity
10,PARENT,0,0,0,100,81,19,0,0,"{}",Infinity
10,CRITICAL_SWAP,8,3,3,0,0,0,8,0,"{}",265.6186984022703
10,CRITICAL_INSERT,8,7,6,1,0,1,8,0,"{}",255.55215134448338
10,O1_O9,1711,74,67,7,3,4,1711,0,"{}",235.2936352698398
11,GLOBAL_Q_FINAL,0,0,0,100,13,87,0,0,"{}",Infinity
11,PARENT,0,0,0,100,85,15,0,0,"{}",Infinity
11,CRITICAL_SWAP,7,6,6,0,0,0,7,0,"{}",264.7043323373022
11,CRITICAL_INSERT,7,6,6,0,0,0,7,0,"{}",265.7783038322629
11,O1_O9,1727,80,73,7,2,5,1727,0,"{}",206.73566180509718
12,GLOBAL_Q_FINAL,0,0,0,100,12,88,0,0,"{}",Infinity
12,PARENT,0,0,0,100,87,13,0,0,"{}",Infinity
12,CRITICAL_SWAP,7,2,2,0,0,0,7,0,"{}",235.53902888122667
12,CRITICAL_INSERT,7,4,4,0,0,0,7,0,"{}",239.2317590550972
12,O1_O9,1742,61,54,7,1,6,1742,0,"{}",212.3860970565893
13,GLOBAL_Q_FINAL,0,0,0,100,7,93,0,0,"{}",Infinity
13,PARENT,0,0,0,100,91,9,0,0,"{}",Infinity
13,CRITICAL_SWAP,8,2,2,0,0,0,8,0,"{}",245.97511388778668
13,CRITICAL_INSERT,8,6,6,0,0,0,8,0,"{}",256.95170412503893
13,O1_O9,1756,79,71,8,2,6,1756,0,"{}",228.93570659590057
14,GLOBAL_Q_FINAL,0,0,0,100,9,91,0,0,"{}",Infinity
14,PARENT,0,0,0,100,90,10,0,0,"{}",Infinity
14,CRITICAL_SWAP,8,4,4,0,0,0,8,0,"{}",211.9601676667409
14,CRITICAL_INSERT,8,5,5,0,0,0,8,0,"{}",230.07492412841847
14,O1_O9,1773,41,33,8,1,7,1773,0,"{}",202.43052238504924
15,GLOBAL_Q_FINAL,0,0,0,100,14,86,0,0,"{}",Infinity
15,PARENT,0,0,0,100,84,16,0,0,"{}",Infinity
15,CRITICAL_SWAP,8,3,3,0,0,0,8,0,"{}",258.8069346852645
15,CRITICAL_INSERT,8,8,8,0,0,0,8,0,"{}",234.816352133695
15,O1_O9,1793,78,70,8,2,6,1793,0,"{}",218.94812220751797
16,GLOBAL_Q_FINAL,0,0,0,100,8,92,0,0,"{}",Infinity
16,PARENT,0,0,0,100,90,10,0,0,"{}",Infinity
16,CRITICAL_SWAP,8,4,4,0,0,0,8,0,"{}",251.10531223093682
16,CRITICAL_INSERT,8,6,6,0,0,0,8,0,"{}",235.4058546808313
16,O1_O9,1813,51,43,8,2,6,1813,0,"{}",206.47981235380388
17,GLOBAL_Q_FINAL,0,0,0,100,8,92,0,0,"{}",Infinity
17,PARENT,0,0,0,100,89,11,0,0,"{}",Infinity
17,CRITICAL_SWAP,8,4,4,0,0,0,8,0,"{}",273.5150543403294
17,CRITICAL_INSERT,8,8,8,0,0,0,8,0,"{}",252.53287620872473
17,O1_O9,1836,98,90,8,3,5,1836,0,"{}",230.04890492665928
18,GLOBAL_Q_FINAL,0,0,0,100,6,94,0,0,"{}",Infinity
18,PARENT,0,0,0,100,93,7,0,0,"{}",Infinity
18,CRITICAL_SWAP,8,5,5,0,0,0,8,0,"{}",229.3618903274769
18,CRITICAL_INSERT,8,8,8,0,0,0,8,0,"{}",222.3121122924894
18,O1_O9,1860,118,110,8,1,7,1860,0,"{}",198.40541155562806
19,GLOBAL_Q_FINAL,0,0,0,100,5,95,0,0,"{}",Infinity
