instance,seed,arm,actualFE,decoderCalls,initialPopulationHashV35,initialPopulationHashP8,snapshotSha256,frontSha256,evidenceFiles,accepted
100_2_5_1,20260911,A0_BASELINE,50000,50000,1d515581289fa927747930cce176959176b05c42525292130fc2db0c0d47addb,82218363626adcbece5db18522af9a3a4914aaab4ce60ade492f4cf484455e69,68198dfddcd890f665e72b1db66794b4db6ebffae472c1d3f40adcb3bc118876,a42ac94bcae1c2dbc2dd9315eae17288532b016cee07c0292ade6c99132da94a,19,true
100_2_5_1,20260911,A2_CFVF,50000,50000,1d515581289fa927747930cce176959176b05c42525292130fc2db0c0d47addb,82218363626adcbece5db18522af9a3a4914aaab4ce60ade492f4cf484455e69,68198dfddcd890f665e72b1db66794b4db6ebffae472c1d3f40adcb3bc118876,9a7e851197fe97c24b9efa7b841089cb94602522676f6314cb1ae939c58849f3,26,true
100_2_5_1,20260912,A0_BASELINE,50000,50000,1a7e085f9f1d93247177f558f6aae01c18a03241fd6c2729bb0031d739dd3816,672f3bcf76c27117dc048bc213634275b551da0e611309db7214c2e40bb25255,014fdc0ffb3444007f56b39dddcc020da103d0adb793c4cb41cbe600baf73e1e,ecd049a37a3f55f53f08aa598349f81f071e759e42ee959d8b6d2e93c0b39300,19,true
100_2_5_1,20260912,A2_CFVF,50000,50000,1a7e085f9f1d93247177f558f6aae01c18a03241fd6c2729bb0031d739dd3816,672f3bcf76c27117dc048bc213634275b551da0e611309db7214c2e40bb25255,014fdc0ffb3444007f56b39dddcc020da103d0adb793c4cb41cbe600baf73e1e,4f6b0bbd3e8d519d16a6178e7f43dfb8b9a91cd163ddf1b0a3c0a5915397733c,26,true
100_2_5_1,20260913,A0_BASELINE,50000,50000,4c4b8778f856fa1ea9e9f49ac4731dab6f1db78b1d4ba0a5b4b07009b812781c,6df055760a2ad8ca6a4a3ccfb9471cb806e68d28d4da74d03f19df741075ac58,fa0ce87b15974d12ae42c6856fdc1c47278d45f136a1c21be53751a90b1a0316,74fcab0c52e4c4495c39d7f39f4610da7bc653d4aadd043828a37ba672cda8ef,19,true
100_2_5_1,20260913,A2_CFVF,50000,50000,4c4b8778f856fa1ea9e9f49ac4731dab6f1db78b1d4ba0a5b4b07009b812781c,6df055760a2ad8ca6a4a3ccfb9471cb806e68d28d4da74d03f19df741075ac58,fa0ce87b15974d12ae42c6856fdc1c47278d45f136a1c21be53751a90b1a0316,2e6f8f9f3e915805b53c147a606fb9a67b9e6485ecf676ffb70b3af0a4934bf5,26,true
100_8_3_1,20260911,A0_BASELINE,50000,50000,22b9010b29ee0db26343dd20e8a7c5865f386ee85759c4ef472bf216e39b75e1,e3b9ff597349808844ba651140ba9ccdbafc50ac5b1f916ae024d14500a40aa4,8a7bcd1c8f311de351635762d384100acc5bff4bb004b9f2fa17de4195a525bf,03f8a652efc4467e9867f514eb579e1c5ec413fbfb63c968de3004dcea77ac97,19,true
100_8_3_1,20260911,A2_CFVF,50000,50000,22b9010b29ee0db26343dd20e8a7c5865f386ee85759c4ef472bf216e39b75e1,e3b9ff597349808844ba651140ba9ccdbafc50ac5b1f916ae024d14500a40aa4,8a7bcd1c8f311de351635762d384100acc5bff4bb004b9f2fa17de4195a525bf,2cd5fca8434f2add2e8ff1822e7a844df75e1b7f0b42180454223ae0c26b35aa,26,true
100_8_3_1,20260912,A0_BASELINE,50000,50000,78dcf9ca434f0bbfe41d3c8cdbd1234a76c026e182da5f26d21cf1195f0ae526,2fa32e36f1656d27d817de8827b95dbf4ee5f10b322f91c0243dcdbc82ce96b6,4c1d2aade18b7bb0d5e5c5c22726ab5fbeefe1d213794532006760b14d4fa628,84bada32bab844a974606169c5201671acdde7357467be71a91dba3bef744ffa,19,true
100_8_3_1,20260912,A2_CFVF,50000,50000,78dcf9ca434f0bbfe41d3c8cdbd1234a76c026e182da5f26d21cf1195f0ae526,2fa32e36f1656d27d817de8827b95dbf4ee5f10b322f91c0243dcdbc82ce96b6,4c1d2aade18b7bb0d5e5c5c22726ab5fbeefe1d213794532006760b14d4fa628,fa0c7abfe2f9b32a39d7b6c0bbd8f2d581fd48c2e01f910b201896d286cd7291,26,true
100_8_3_1,20260913,A0_BASELINE,50000,50000,98ef5b8985376d7582e51a013626b4f5426f385e96376e26b393bf98565daec5,9bddcf8ac50158da8a5cdfd6afbd077ce46a2f254acf269a55701cf26c36d1bb,709512eed54e30c50ce70f68ee2fb1e7dec6a2e603e90626d0461cd29aa2eca3,4a6c83aacdf83758c3882d2f37832721c376805612093970bb92eadf58c847fb,19,true
100_8_3_1,20260913,A2_CFVF,50000,50000,98ef5b8985376d7582e51a013626b4f5426f385e96376e26b393bf98565daec5,9bddcf8ac50158da8a5cdfd6afbd077ce46a2f254acf269a55701cf26c36d1bb,709512eed54e30c50ce70f68ee2fb1e7dec6a2e603e90626d0461cd29aa2eca3,b798332fb5732d8d14a5c4e157570eaf11af033ab8abcb2b3586db1fc664aac5,26,true
100_2_4_1,20260901,A2_CFVF,50000,50000,fe763efaef791ed13b5bad21e2af433359e9342ef4d5630b7525b1271936c27f,0632ab340bdec6a38731f5ec04b8f40e97f992c53c6353167f3bd257580f3ce5,be8ddf7a0f343a59e687774ee05f2db6eeee9248e50292701e9affbbc3b4bd53,27b5e50a6f937cfc36705df38f2e22f328987242b06a34df383c8709c233fdac,26,true
100_2_4_1,20260901,A4_BUDGET_AWARE_CATA,48269,48269,fe763efaef791ed13b5bad21e2af433359e9342ef4d5630b7525b1271936c27f,0632ab340bdec6a38731f5ec04b8f40e97f992c53c6353167f3bd257580f3ce5,be8ddf7a0f343a59e687774ee05f2db6eeee9248e50292701e9affbbc3b4bd53,38f54d7ebb23b55d37f396fa5e20e457c947a893889b485ad07ef96637fc9956,26,true
100_2_4_1,20260902,A2_CFVF,50000,50000,6bd56760d9471c8921e66eb57dc01ce5575939c62f0e4dd8272e070d26a27191,d4ce5e607610f8a0543278f9d758e8c32702c60c2e1b04778be33b4c7622bb1d,aab4fc0289eb0d907eb4e8527449039dc530ad3f2dfbef3972c0b0775485051e,4fa7d3418aabbe7c0088c314829097eaa146b9118a4d89c7f03380cc4058934f,26,true
100_2_4_1,20260902,A4_BUDGET_AWARE_CATA,48269,48269,6bd56760d9471c8921e66eb57dc01ce5575939c62f0e4dd8272e070d26a27191,d4ce5e607610f8a0543278f9d758e8c32702c60c2e1b04778be33b4c7622bb1d,aab4fc0289eb0d907eb4e8527449039dc530ad3f2dfbef3972c0b0775485051e,0f098d6e1e4e1b633b6157e06a6157c04740fb831e75face427f3ecde6a2174f,26,true
100_2_4_1,20260903,A2_CFVF,50000,50000,2fd48610ee6607b40a1ba66a06787ba62aa66946b9a0e140f83237eb5e13c186,a01b3462386da2dd12b62bd0dc5cf9dd03274085c03756832d6db80172918727,34058cc9a9c568d65f9032ee8c2b3b1fd07cc9cca248ea5ae677dc84f933b150,2fdf5d0a22e5e109a33a3fae9fbd64b29012c13a604d0e4c95f12955a85cfca3,26,true
100_2_4_1,20260903,A4_BUDGET_AWARE_CATA,48269,48269,2fd48610ee6607b40a1ba66a06787ba62aa66946b9a0e140f83237eb5e13c186,a01b3462386da2dd12b62bd0dc5cf9dd03274085c03756832d6db80172918727,34058cc9a9c568d65f9032ee8c2b3b1fd07cc9cca248ea5ae677dc84f933b150,a5d17ff6e19958516d480c947ae4b4ebc32de9cd6d25aa3865e8bec7712d7ec2,26,true
100_5_3_1,20260901,A2_CFVF,50000,50000,179a82a3825566380ab6798aa898002d31565dad9d65802e57b295c2a4294c2d,7c6f8b425f2781653ce9705b82050652f063b461b24c0f93d9486e2c686ca2d3,84d845233e332a6612e5dfe93c97cbbeef40c4ee05766cbfd0e9446bd3043769,53604b14422e3084b3635af9fc4f4ab3ed1c06061f02566b080e23bd9d98b3e2,26,true
