generatedByRunId,sourceJarSha256,configurationHash,instanceHash,seed,arm,telemetryMode,generation,FE,parentFingerprint,candidateFingerprint,context,bottleneck,macroNeighborhood,TEST_APPLY,candidateConstructed,candidateEvaluated,objectives,acceptedLocally,result,enteredMergePool,selectedByPddr,enteredArchive,survivedNextGeneration,teacherUsedLater,improvedOffspringLater
20k-100_2_4_1-20260901-A4-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,eda8121cc180019c01ac8c643a4eb7362c71fb713d41a23daadd3a806da83e50,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A4,ON,1,5101,b4213d916b64fdad636afd76a08ca132816d78c50398c0ae9669ce87048c781b,83b706d54e33f7979637b728ae86c0d5e4ea357f982a2ecf58e3e0c8f6b3b5f2,G1_CMAX,BAL,N1,TEST,true,true,819.5273656943458|52076.31757861523|92862.3067630922,false,REJECTED,false,false,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED
20k-100_2_4_1-20260901-A4-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,eda8121cc180019c01ac8c643a4eb7362c71fb713d41a23daadd3a806da83e50,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A4,ON,1,5102,b4213d916b64fdad636afd76a08ca132816d78c50398c0ae9669ce87048c781b,e233ca928dd1c3fa6128a6033fe8b4ed342c676ed47f411e52893819c71ea43b,G1_CMAX,BAL,N2,TEST,true,true,819.5273656943458|52026.88237873019|93439.05359389604,false,REJECTED,false,false,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED
20k-100_2_4_1-20260901-A4-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,eda8121cc180019c01ac8c643a4eb7362c71fb713d41a23daadd3a806da83e50,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A4,ON,1,5103,b4213d916b64fdad636afd76a08ca132816d78c50398c0ae9669ce87048c781b,ba1edf6faf2925f7ff167276fa6f1d470e8098186fa6f8eb33ea82650c0cd557,G1_CMAX,BAL,N3,TEST,true,true,819.5273656943458|52111.384349716915|91292.62138308832,false,REJECTED,false,false,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED
20k-100_2_4_1-20260901-A4-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,eda8121cc180019c01ac8c643a4eb7362c71fb713d41a23daadd3a806da83e50,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A4,ON,1,5104,b4213d916b64fdad636afd76a08ca132816d78c50398c0ae9669ce87048c781b,d6ea248beeba662bb7762bd8d6370b459fadf2d909824570ba937fb842dd2445,G1_CMAX,BAL,N4,TEST,true,true,819.5273656943458|52137.44123187392|95351.14014738594,false,REJECTED,false,false,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED
20k-100_2_4_1-20260901-A4-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,eda8121cc180019c01ac8c643a4eb7362c71fb713d41a23daadd3a806da83e50,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A4,ON,1,5105,b4213d916b64fdad636afd76a08ca132816d78c50398c0ae9669ce87048c781b,bb58cdac057a92e3aae175b5430c51b93e316453a26b576ea3093e55e74197ce,G1_CMAX,BAL,N5,TEST,true,true,819.5273656943458|52048.3198139353|92526.42472843034,false,REJECTED,false,false,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED
20k-100_2_4_1-20260901-A4-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,eda8121cc180019c01ac8c643a4eb7362c71fb713d41a23daadd3a806da83e50,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A4,ON,1,5106,67f123652e7c430455ddeed9266fc51dd189b5e2aceed69c6f22bc7fb9aedb4b,4d11a499c8a034cfdc408c44b3528bf5c5a36d1f14e7b1d32e9b02f619ca6ea9,G1_CMAX,BAL,N1,TEST,true,true,849.860865806404|52601.25091194646|92389.35156135331,false,REJECTED,false,false,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED
20k-100_2_4_1-20260901-A4-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,eda8121cc180019c01ac8c643a4eb7362c71fb713d41a23daadd3a806da83e50,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A4,ON,1,5107,67f123652e7c430455ddeed9266fc51dd189b5e2aceed69c6f22bc7fb9aedb4b,2d9cc1a026fe1b34f7d8c19f8e43d40186c1ad51bd543e9920e762f34d0e82e9,G1_CMAX,BAL,N2,TEST,true,true,883.8186593007188|53133.40259805263|92363.12523694354,false,REJECTED,false,false,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED
20k-100_2_4_1-20260901-A4-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,eda8121cc180019c01ac8c643a4eb7362c71fb713d41a23daadd3a806da83e50,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A4,ON,1,5108,67f123652e7c430455ddeed9266fc51dd189b5e2aceed69c6f22bc7fb9aedb4b,bdbadcda81c5d197c8f7b19d09372f8d428bdd1b978055dd687b74183d90e661,G1_CMAX,BAL,N4,TEST,true,true,849.860864488064|52082.89421678106|92587.72311904925,false,REJECTED,false,false,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED
20k-100_2_4_1-20260901-A4-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,eda8121cc180019c01ac8c643a4eb7362c71fb713d41a23daadd3a806da83e50,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A4,ON,1,5109,67f123652e7c430455ddeed9266fc51dd189b5e2aceed69c6f22bc7fb9aedb4b,13608888c9fe3b8bb22475cf262e08c093a89fb5a7659cdaff2cb185261e7b64,G1_CMAX,BAL,N5,TEST,true,true,849.860865806404|52571.917677418336|91907.92936805439,false,REJECTED,false,false,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED
20k-100_2_4_1-20260901-A4-ON,4544B467CE9279011BE7A55D3872848265E2DA8E041B7874B9BA5ADC39016FCA,eda8121cc180019c01ac8c643a4eb7362c71fb713d41a23daadd3a806da83e50,10B57D8C0C8EC590DD9AE0CE3EB265FC0E50C7FA52196EFE2FF7FB085060B8D3,20260901,A4,ON,1,5110,60f2fdf41cbad873e1d8aa6e43ffb272c455b47cc85623248c4860bdf3f00689,47b6e45ca9b984b0ef6e431ece3483399c49193bcd9dc2ae55ac8571cd53a862,G1_CMAX,BAL,N1,TEST,true,true,675.5778784444876|50937.636295022734|85170.05069712776,false,REJECTED,false,false,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED,NOT_OBSERVED
