arm,status,FE,teacherUses,dominatedTeacherUses,dtur,dturDefined,validityChecks,replacements,scrr,useRows,cleanUseRows,eventRows,replacedRows,staleReplacedRows,frontSize,minCmax
full-20k-20_2_3_1,COMPLETED,20000,200,0,0.000000,true,392,40,0.102041,200,200,392,40,40,83,196.162206
full-5k-I1-10_2_2_1,COMPLETED,5000,400,0,0.000000,true,792,23,0.029040,400,400,792,23,23,76,45.666708
