cycle,source,evaluated,accepted,superseded,enteredPddr,pddrSelected,pddrRejected,fe,regionAssignments,regionRoles,bestGeneratedCmax
1,GLOBAL_Q_FINAL,0,0,0,100,53,47,0,53,"{G1_CMAX=5, G2_TEC=9, G3_TWC=7, G4_BALANCED=32}",Infinity
1,PARENT,0,0,0,100,4,96,0,4,"{G3_TWC=4}",Infinity
1,CATA_TEST,95,40,24,16,6,10,95,6,"{G1_CMAX=2, G2_TEC=1, G4_BALANCED=3}",1056.494374721619
1,CATA_APPLY,81,53,1,52,31,21,81,31,"{G1_CMAX=4, G2_TEC=5, G3_TWC=4, G4_BALANCED=18}",950.1452744044615
1,CRITICAL_SWAP,6,3,3,0,0,0,6,0,"{}",1046.6866851160075
1,CRITICAL_INSERT,6,4,4,0,0,0,6,0,"{}",1015.9661979364103
1,O1_O9,1479,168,162,6,6,0,1479,6,"{G1_CMAX=4, G4_BALANCED=2}",868.7866085970879
2,GLOBAL_Q_FINAL,0,0,0,100,40,60,0,40,"{G1_CMAX=3, G2_TEC=9, G3_TWC=3, G4_BALANCED=25}",Infinity
2,PARENT,0,0,0,100,30,70,0,30,"{G1_CMAX=3, G2_TEC=5, G3_TWC=9, G4_BALANCED=13}",Infinity
2,CATA_TEST,85,28,15,13,5,8,85,5,"{G4_BALANCED=5}",978.1737355734834
2,CATA_APPLY,83,47,1,46,19,27,83,19,"{G1_CMAX=4, G2_TEC=1, G3_TWC=3, G4_BALANCED=11}",948.4902306473791
2,CRITICAL_SWAP,6,4,4,0,0,0,6,0,"{}",1009.6458658849829
2,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",1009.332130247593
2,O1_O9,1488,155,149,6,6,0,1488,6,"{G1_CMAX=5, G4_BALANCED=1}",836.467674733855
3,GLOBAL_Q_FINAL,0,0,0,100,33,67,0,33,"{G1_CMAX=5, G2_TEC=3, G3_TWC=4, G4_BALANCED=21}",Infinity
3,PARENT,0,0,0,100,44,56,0,44,"{G1_CMAX=2, G2_TEC=9, G3_TWC=10, G4_BALANCED=23}",Infinity
3,CATA_TEST,99,37,20,17,4,13,99,4,"{G1_CMAX=1, G2_TEC=1, G4_BALANCED=2}",889.035526470378
3,CATA_APPLY,80,42,0,42,13,29,80,13,"{G1_CMAX=4, G2_TEC=2, G3_TWC=1, G4_BALANCED=6}",855.9913433360065
3,CRITICAL_SWAP,6,2,2,0,0,0,6,0,"{}",909.192098775635
3,CRITICAL_INSERT,6,4,4,0,0,0,6,0,"{}",851.3006375339974
3,O1_O9,1480,123,117,6,6,0,1480,6,"{G1_CMAX=3, G4_BALANCED=3}",794.8425577100127
4,GLOBAL_Q_FINAL,0,0,0,100,27,73,0,27,"{G1_CMAX=4, G2_TEC=3, G3_TWC=6, G4_BALANCED=14}",Infinity
4,PARENT,0,0,0,100,49,51,0,49,"{G1_CMAX=5, G2_TEC=8, G3_TWC=7, G4_BALANCED=29}",Infinity
4,CATA_TEST,85,40,24,16,6,10,85,6,"{G1_CMAX=2, G2_TEC=1, G4_BALANCED=3}",886.039599104814
4,CATA_APPLY,83,46,1,45,12,33,83,12,"{G2_TEC=3, G3_TWC=2, G4_BALANCED=7}",794.8425577100127
4,CRITICAL_SWAP,6,4,4,0,0,0,6,0,"{}",908.4233250543039
4,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",845.81880996249
4,O1_O9,1495,127,121,6,6,0,1495,6,"{G1_CMAX=4, G4_BALANCED=2}",782.9306122348961
5,GLOBAL_Q_FINAL,0,0,0,100,31,69,0,31,"{G1_CMAX=6, G2_TEC=4, G3_TWC=5, G4_BALANCED=16}",Infinity
5,PARENT,0,0,0,100,48,52,0,48,"{G1_CMAX=6, G2_TEC=6, G3_TWC=8, G4_BALANCED=28}",Infinity
5,CATA_TEST,85,38,24,14,3,11,85,3,"{G3_TWC=1, G4_BALANCED=2}",851.466789169775
5,CATA_APPLY,83,43,2,41,12,29,83,12,"{G2_TEC=3, G3_TWC=1, G4_BALANCED=8}",838.9612144352036
5,CRITICAL_SWAP,6,3,3,0,0,0,6,0,"{}",844.2044486909537
5,CRITICAL_INSERT,6,4,4,0,0,0,6,0,"{}",855.0227082607806
5,O1_O9,1501,127,121,6,6,0,1501,6,"{G1_CMAX=3, G2_TEC=2, G4_BALANCED=1}",779.3055520670252
6,GLOBAL_Q_FINAL,0,0,0,100,32,68,0,32,"{G1_CMAX=4, G2_TEC=5, G3_TWC=4, G4_BALANCED=19}",Infinity
6,PARENT,0,0,0,100,40,60,0,40,"{G1_CMAX=7, G2_TEC=7, G3_TWC=8, G4_BALANCED=18}",Infinity
6,CATA_TEST,90,36,23,13,8,5,90,8,"{G1_CMAX=3, G2_TEC=1, G3_TWC=1, G4_BALANCED=3}",781.3665990674955
6,CATA_APPLY,82,50,1,49,15,34,82,15,"{G2_TEC=1, G3_TWC=1, G4_BALANCED=13}",809.7001633293028
6,CRITICAL_SWAP,6,1,1,0,0,0,6,0,"{}",938.7617870233388
6,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",919.9120129243419
6,O1_O9,1503,158,152,6,5,1,1503,5,"{G1_CMAX=1, G2_TEC=1, G3_TWC=1, G4_BALANCED=2}",800.5989983536444
7,GLOBAL_Q_FINAL,0,0,0,100,24,76,0,24,"{G1_CMAX=4, G2_TEC=4, G3_TWC=2, G4_BALANCED=14}",Infinity
7,PARENT,0,0,0,100,58,42,0,58,"{G1_CMAX=7, G2_TEC=8, G3_TWC=11, G4_BALANCED=32}",Infinity
7,CATA_TEST,84,29,15,14,6,8,84,6,"{G1_CMAX=1, G3_TWC=1, G4_BALANCED=4}",844.7455388770371
7,CATA_APPLY,83,39,2,37,7,30,83,7,"{G1_CMAX=1, G2_TEC=3, G4_BALANCED=3}",883.7413227144348
7,CRITICAL_SWAP,6,3,3,0,0,0,6,0,"{}",906.3365480850774
7,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",906.337100689316
7,O1_O9,1516,185,179,6,5,1,1516,5,"{G1_CMAX=2, G3_TWC=1, G4_BALANCED=2}",775.8154217100227
8,GLOBAL_Q_FINAL,0,0,0,100,16,84,0,16,"{G3_TWC=3, G4_BALANCED=13}",Infinity
8,PARENT,0,0,0,100,77,23,0,77,"{G1_CMAX=13, G2_TEC=13, G3_TWC=12, G4_BALANCED=39}",Infinity
8,CATA_TEST,95,44,27,17,2,15,95,2,"{G2_TEC=1, G4_BALANCED=1}",779.769386475462
8,CATA_APPLY,81,30,0,30,3,27,81,3,"{G2_TEC=1, G4_BALANCED=2}",837.0481345670413
8,CRITICAL_SWAP,6,2,2,0,0,0,6,0,"{}",846.9220120094574
8,CRITICAL_INSERT,6,4,4,0,0,0,6,0,"{}",891.151673040716
8,O1_O9,1517,121,115,6,2,4,1517,2,"{G1_CMAX=2}",796.021199588377
9,GLOBAL_Q_FINAL,0,0,0,100,12,88,0,12,"{G1_CMAX=1, G3_TWC=1, G4_BALANCED=10}",Infinity
9,PARENT,0,0,0,100,71,29,0,71,"{G1_CMAX=9, G2_TEC=13, G3_TWC=14, G4_BALANCED=35}",Infinity
