cycle,source,evaluated,accepted,superseded,enteredPddr,pddrSelected,pddrRejected,fe,regionAssignments,regionRoles,bestGeneratedCmax
1,GLOBAL_Q_FINAL,0,0,0,100,42,58,0,42,"{G1_CMAX=6, G2_TEC=9, G3_TWC=5, G4_BALANCED=22}",Infinity
1,PARENT,0,0,0,100,26,74,0,26,"{G1_CMAX=2, G2_TEC=4, G3_TWC=7, G4_BALANCED=13}",Infinity
1,CATA_TEST,120,43,23,20,11,9,120,11,"{G1_CMAX=2, G2_TEC=1, G3_TWC=2, G4_BALANCED=6}",259.7046494932882
1,CATA_APPLY,75,31,0,31,15,16,75,15,"{G1_CMAX=2, G2_TEC=1, G3_TWC=1, G4_BALANCED=11}",275.1067389396584
1,CRITICAL_SWAP,6,3,3,0,0,0,6,0,"{}",221.7829364446457
1,CRITICAL_INSERT,6,4,4,0,0,0,6,0,"{}",247.18116478162653
1,O1_O9,1460,48,42,6,6,0,1460,6,"{G1_CMAX=3, G4_BALANCED=3}",204.73858278145312
2,GLOBAL_Q_FINAL,0,0,0,100,36,64,0,36,"{G1_CMAX=5, G2_TEC=6, G3_TWC=6, G4_BALANCED=19}",Infinity
2,PARENT,0,0,0,100,35,65,0,35,"{G1_CMAX=5, G2_TEC=4, G3_TWC=5, G4_BALANCED=21}",Infinity
2,CATA_TEST,122,49,28,21,11,10,122,11,"{G1_CMAX=2, G2_TEC=3, G3_TWC=1, G4_BALANCED=5}",253.14189543994112
2,CATA_APPLY,74,41,3,38,12,26,74,12,"{G1_CMAX=2, G2_TEC=1, G3_TWC=3, G4_BALANCED=6}",248.13357548755477
2,CRITICAL_SWAP,6,3,3,0,0,0,6,0,"{}",233.38165976013323
2,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",254.23350322369518
2,O1_O9,1460,65,59,6,6,0,1460,6,"{G1_CMAX=1, G2_TEC=1, G4_BALANCED=4}",212.84156324860956
3,GLOBAL_Q_FINAL,0,0,0,100,35,65,0,35,"{G1_CMAX=1, G2_TEC=3, G3_TWC=6, G4_BALANCED=25}",Infinity
3,PARENT,0,0,0,100,34,66,0,34,"{G1_CMAX=8, G2_TEC=6, G3_TWC=4, G4_BALANCED=16}",Infinity
3,CATA_TEST,145,55,27,28,13,15,145,13,"{G1_CMAX=2, G2_TEC=3, G3_TWC=3, G4_BALANCED=5}",252.0493010717185
3,CATA_APPLY,69,35,2,33,13,20,69,13,"{G1_CMAX=1, G2_TEC=3, G3_TWC=2, G4_BALANCED=7}",269.5542249864529
3,CRITICAL_SWAP,6,5,5,0,0,0,6,0,"{}",251.67215226101288
3,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",254.35217945466007
3,O1_O9,1445,71,65,6,5,1,1445,5,"{G1_CMAX=3, G4_BALANCED=2}",203.5065149359171
4,GLOBAL_Q_FINAL,0,0,0,100,28,72,0,28,"{G1_CMAX=4, G2_TEC=5, G3_TWC=5, G4_BALANCED=14}",Infinity
4,PARENT,0,0,0,100,50,50,0,50,"{G1_CMAX=9, G2_TEC=7, G3_TWC=8, G4_BALANCED=26}",Infinity
4,CATA_TEST,114,45,25,20,8,12,114,8,"{G2_TEC=1, G4_BALANCED=7}",260.99352617867476
4,CATA_APPLY,76,38,2,36,9,27,76,9,"{G2_TEC=1, G3_TWC=1, G4_BALANCED=7}",225.5225283147639
4,CRITICAL_SWAP,7,3,3,0,0,0,7,0,"{}",213.92760093038274
4,CRITICAL_INSERT,7,6,5,1,1,0,7,1,"{G3_TWC=1}",207.8701028617918
4,O1_O9,1471,42,36,6,4,2,1471,4,"{G1_CMAX=2, G2_TEC=1, G4_BALANCED=1}",199.91188209529588
5,GLOBAL_Q_FINAL,0,0,0,100,19,81,0,19,"{G1_CMAX=5, G2_TEC=3, G3_TWC=2, G4_BALANCED=9}",Infinity
5,PARENT,0,0,0,100,65,35,0,65,"{G1_CMAX=9, G2_TEC=11, G3_TWC=11, G4_BALANCED=34}",Infinity
5,CATA_TEST,136,52,31,21,7,14,136,7,"{G4_BALANCED=7}",239.540413466174
5,CATA_APPLY,71,35,0,35,7,28,71,7,"{G2_TEC=1, G3_TWC=1, G4_BALANCED=5}",244.21894579728323
5,CRITICAL_SWAP,6,2,2,0,0,0,6,0,"{}",268.44168010319567
5,CRITICAL_INSERT,6,4,4,0,0,0,6,0,"{}",245.60859589831537
5,O1_O9,1462,74,68,6,2,4,1462,2,"{G1_CMAX=1, G3_TWC=1}",210.54982769964508
6,GLOBAL_Q_FINAL,0,0,0,100,21,79,0,21,"{G1_CMAX=3, G2_TEC=1, G3_TWC=3, G4_BALANCED=14}",Infinity
6,PARENT,0,0,0,100,65,35,0,65,"{G1_CMAX=8, G2_TEC=14, G3_TWC=11, G4_BALANCED=32}",Infinity
6,CATA_TEST,150,47,26,21,4,17,150,4,"{G3_TWC=1, G4_BALANCED=3}",237.5640267602115
6,CATA_APPLY,68,32,3,29,7,22,68,7,"{G1_CMAX=1, G4_BALANCED=6}",216.79744085987056
6,CRITICAL_SWAP,6,1,1,0,0,0,6,0,"{}",285.7072048290826
6,CRITICAL_INSERT,6,5,5,0,0,0,6,0,"{}",242.03668231081573
6,O1_O9,1457,35,29,6,3,3,1457,3,"{G1_CMAX=3}",194.1354777190253
7,GLOBAL_Q_FINAL,0,0,0,100,17,83,0,17,"{G1_CMAX=3, G2_TEC=1, G3_TWC=2, G4_BALANCED=11}",Infinity
