algorithm,frontSize,HV,IGD,Spacing,C_against_other,other_C_against_self,minCmax,minTEC,minTWC,maxCmax,maxTEC,maxTWC
ZHANGBO-FULL,233,1.09734305666,0.0507864860620,0.0263310572700,0.447368421053,0.0128755364807,203.733860495,8377.78148039,12295.8534416,463.636662177,11085.0232172,17558.4429626
HMOPSO-QGS-F,114,0.881034096428,0.132065293298,0.0448632695648,0.0128755364807,0.447368421053,192.185857005,8729.54041150,12387.7386033,313.468880341,10948.9431890,18268.3919657
