candidateFingerprint,Cmax,TEC,TWC
6310793c6c65f55f9b0d99758357edc48a020357ae903779e28e5cbf33a33a84,914.8264541618981,51678.906682308676,122323.66982065554
ca846be8d74be79b1472df110ad446d6708ee6d318a72af0ec76074f76a14954,914.8264541618981,51873.73189076145,120012.26837054288
af2d2fe643e3e25b9e047baa433629ca8aa4c444006b8f64a84d4fcb88143967,921.9234219120282,51506.575203593035,122212.1543147447
9f0fafc1ddb2c114b27d6b0df1b0a0744cb5938f5f4e522040b4b39db410931f,914.9662556470022,51597.42651926096,121808.376848913
bdaba0989000522aa3f5217c7a3668f0c892bb2b12ddbefd068fe4d75bfc8a15,748.2566269536222,56899.16435325337,102985.73654231592
58a33c905c9b1cd48b1c4a74a4f02bfdd2f762a25e5a3daae6a421d6d83d6557,744.827978139013,57045.52633051907,102621.84775130486
7ac4c2d2ab21f64d218fdc7484d15fc46a2ddf926fda8f0fc7fd7d519feb8a50,744.8157012594412,57088.50825531032,103022.50881529239
58a33c905c9b1cd48b1c4a74a4f02bfdd2f762a25e5a3daae6a421d6d83d6557,744.827978139013,57045.52633051907,102621.84775130486
f08d26d94938ee100bb08f763a58d97ff141e58b20445bf5c517fb1a8587d791,743.9730923339519,57270.803813869556,102263.10537669179
0ab98246f810d07a667bab298bef809f684d2b6130de709bc9a564264866de35,743.5329540951648,57345.5000573095,102081.39352153329
ea9c41a8ccdd7f3652ba425e9960a23fbadda1fabe6d28c2763b8aa39ac598aa,794.1041600909034,53554.53747547308,100104.0966986861
353da1dd710de9eb0a23161ed54d03fea60853364f6025c79a2d7fddac45688d,887.9382576104692,52617.023123434694,104896.94414627441
d26878b7e1c553a35db58684f863cd3e8d71aa3606d281cc1cd8c9b14954d339,857.4293626897578,52871.028555874356,102513.94404581355
57b5a76bad1f8c3eaef98962ba9acce70f7a11bed7ca0aabd480a31d3b485701,1083.0121281154175,49500.54275653865,111502.38105770442
19845f3d46886a35a88346736f2876371e66dfcd348d7ecf95ba408398421686,1169.506206224813,49532.59808611298,109891.55748692508
296cb080128bfba5bf13ace55345e01790f79221d918ba26404dc00ac33385fb,1166.084643857084,49537.9275092396,109689.58310803767
9828f43be9946fc23e3a5f44cca7c36ad82026544f625e23fc8baddda2847ad0,1154.0399271226986,49557.51045001703,110401.36846168415
b6fa4f623fe47368baf0ed592ca8df2023ca543e9e2ba7f1582e4dca1ba81edd,845.7412795921962,53245.94168318952,99673.13266488745
048a45335fe794a12460c9d36aa90b9013e9bd7153fc685bd5496a0e6c052d46,1085.9471869225063,49989.91731171198,109038.10909502913
6d8e5833c49567a1ed9c42096171d09c92836b04468bcea8ff073735e8e84738,747.0441388570448,57142.551180765564,101932.21784822032
86b3134cfe54de5e46566e4b39be1d3c6a12e1a65ba4f0f019061d704e77e27d,744.9268384753908,57045.294668805065,102255.08456144831
6d8e5833c49567a1ed9c42096171d09c92836b04468bcea8ff073735e8e84738,747.0441388570448,57142.551180765564,101932.21784822032
724a0dde1ccb34aee8067a81296d750d68927a874c088f71d6b468f145455ba7,744.889790159496,57238.97798256008,101510.45781424872
724a0dde1ccb34aee8067a81296d750d68927a874c088f71d6b468f145455ba7,744.889790159496,57238.97798256008,101510.45781424872
724a0dde1ccb34aee8067a81296d750d68927a874c088f71d6b468f145455ba7,744.889790159496,57238.97798256008,101510.45781424872
724a0dde1ccb34aee8067a81296d750d68927a874c088f71d6b468f145455ba7,744.889790159496,57238.97798256008,101510.45781424872
724a0dde1ccb34aee8067a81296d750d68927a874c088f71d6b468f145455ba7,744.889790159496,57238.97798256008,101510.45781424872
724a0dde1ccb34aee8067a81296d750d68927a874c088f71d6b468f145455ba7,744.889790159496,57238.97798256008,101510.45781424872
724a0dde1ccb34aee8067a81296d750d68927a874c088f71d6b468f145455ba7,744.889790159496,57238.97798256008,101510.45781424872
724a0dde1ccb34aee8067a81296d750d68927a874c088f71d6b468f145455ba7,744.889790159496,57238.97798256008,101510.45781424872
724a0dde1ccb34aee8067a81296d750d68927a874c088f71d6b468f145455ba7,744.889790159496,57238.97798256008,101510.45781424872
e07e61b6aacf0f54d3fe9d2df7d5e67fd72152d76afd0207ccf830381c1725a7,744.4853823128703,57244.04727893747,101493.35979263208
e07e61b6aacf0f54d3fe9d2df7d5e67fd72152d76afd0207ccf830381c1725a7,744.4853823128703,57244.04727893747,101493.35979263208
8c3a9c2d56ebd8bda9da9dd320f427ef716ca9029f0f82f07d4b6ff609fffd50,989.526649513647,49752.14843137954,113112.72214218
59509215fecfda293f97f43b5b63e2f6dbdc18713e6aa3eed52a2be1e10492ca,1069.8724048051686,49540.49656125668,111818.16764101248
c2682a7bb25d5ca031158eb56e8a9625106a3afc4f757f156d8b12fccb709892,853.3170369852194,52875.51234019781,110783.94101730034
7696e90b187fdb5ce7efe868cd0ddbf7146814d77bbd8682d7d30ac8afe8e78a,997.8747272667246,49678.77464906826,111986.77661068819
15b02fe82ca1114b7b529821466e025a7ee7662d03ab20c808ac5764667fe5db,1007.2634460751977,49960.96961996044,109347.83903176352
dc0a1d27046eb41d95087a40aaef175611d2ac1aae276662ac95f930993b413f,1045.6627278394585,49356.21483642704,112245.97093794847
130b566618d0b93bfa7246c6e55aa3d16622a9153e5fa963d89ba8bb90cb0b32,978.0217702232403,49612.20659877134,114831.14518813771
05fef1c405f4931821e54d696c2f96bd141f3c9b291f2fa45eff8cb8fa9d123d,905.0685640419908,54107.35038812584,94837.8347894524
558c23eef4f7ae14bd4cc98d81e04375c63988af06d2bf4e0967e2671f48d81b,964.7413059176889,49534.572630527065,115614.596749446
825ee4c0297ec5f880df250ecd10e55143f7a1301058863048c9d32a90fcea03,889.6786139651612,51944.8870254145,111697.93228907418
523857c90522025b7ab6257b6d6449d6f827904159972b1b9c907e65f3aabb96,879.5882030671257,52258.13427084273,111450.99440918877
20e6379bc1e32ed45ac7928a3d935788c2dda1b6acb1b425a30b1f9d1c39e54f,922.6715271657001,51722.54484245262,110979.28493746545
e9790584bdc46f68c4057ed0f4e267efe75b9663463dbe512bc07da91896532e,882.9002240312368,52272.692720235114,110863.74090050184
20e6379bc1e32ed45ac7928a3d935788c2dda1b6acb1b425a30b1f9d1c39e54f,922.6715271657001,51722.54484245262,110979.28493746545
20e6379bc1e32ed45ac7928a3d935788c2dda1b6acb1b425a30b1f9d1c39e54f,922.6715271657001,51722.54484245262,110979.28493746545
cd98cccff32d709830a783204ed333b1d9362ae9fcfbf028be43dd122ba1ccc5,910.6857872249053,52249.30755774024,109050.52880247479
3f6ba979c802818aaac496f23159e07223a666d0d6976a39d673307ca476f513,907.0400221486151,52111.39631190002,109549.70118296283
3f6ba979c802818aaac496f23159e07223a666d0d6976a39d673307ca476f513,907.0400221486151,52111.39631190002,109549.70118296283
c5d00aa0d5564a349febfd76e406181db6f35298bab3550587753aa0c6dd4e8c,865.6640188337249,52548.863311799265,110628.93235254163
0aa8e838bc9e5f52767aff386614274c310d61ad834ad5e8a7c9fec18bcfd43e,894.7261280715999,51879.20997994287,111302.34256713817
3f6ba979c802818aaac496f23159e07223a666d0d6976a39d673307ca476f513,907.0400221486151,52111.39631190002,109549.70118296283
3f6ba979c802818aaac496f23159e07223a666d0d6976a39d673307ca476f513,907.0400221486151,52111.39631190002,109549.70118296283
3f6ba979c802818aaac496f23159e07223a666d0d6976a39d673307ca476f513,907.0400221486151,52111.39631190002,109549.70118296283
3f6ba979c802818aaac496f23159e07223a666d0d6976a39d673307ca476f513,907.0400221486151,52111.39631190002,109549.70118296283
7eded4e568f3c6a5d21035398f25da51d1d1e35d0b774565e5602722929272f5,864.2115529650425,52552.524131425605,110538.38555309139
3f6ba979c802818aaac496f23159e07223a666d0d6976a39d673307ca476f513,907.0400221486151,52111.39631190002,109549.70118296283
3f6ba979c802818aaac496f23159e07223a666d0d6976a39d673307ca476f513,907.0400221486151,52111.39631190002,109549.70118296283
3f6ba979c802818aaac496f23159e07223a666d0d6976a39d673307ca476f513,907.0400221486151,52111.39631190002,109549.70118296283
3f6ba979c802818aaac496f23159e07223a666d0d6976a39d673307ca476f513,907.0400221486151,52111.39631190002,109549.70118296283
4db68818399f39b351c9c66827759de21d4519252217bddd45224593e813bd3b,861.5174569512536,52421.428670210094,111304.18416662182
65e381067c68878761ae3e8bc747dca9fa4b5fe75be56d6c0fe65621ca746deb,861.489636058176,52407.16041904803,111311.10947079581
1e3a8a45d025958138a2f5d28f1fae3fef6f3f9bfb8b73f09bc79c2bbbfc1a3c,863.5543398257474,52396.812807531816,110901.22605860709
d13ddd6f64a21e12cff96454661b4c03df3d4ff9d99a86e5231562575e5bab8d,861.3981275041994,52478.70358654196,111903.5242079793
21dc6337ff86900e7d2640a276c4233b8060454b607c86c1c114ff6eedd5f241,861.3824859953235,52456.84057686913,112974.0725489105
20af59cb8d60e4ef21164ed76420729aefb403ec67ab797d8cf75b49c605d3e8,857.1921167973072,52523.85967816377,113142.98596347065
50ea6073f6fe87052601b71e1148448f5ef163fec1aa514ec629b1c1fb803e5e,853.4271530002569,52696.988352992485,113437.76662110709
841ce2dd77d6b03ab0134db05a6e9087f2d709e3d2ac325b22138c01b797a8fa,1029.7226535268267,49345.93184375239,112761.35206486829
efb50f078c9339f24732651d21b8bd66ffeee6cc9e0a0f984df044a0402f2a7e,1073.7457622539755,49575.70559072287,109466.94758405111
2c5796c3708692d66aa3796e97cc4884076bf88ef12e0c7523c4aa83ab827a1c,953.5894729951361,50426.99735870937,114403.17125022889
4892ec706829395289760d7bff261f628ac7911f87d6421c9da7a151a84f3f95,1102.9414531884331,49351.460175799926,112291.61569135795
b55a13ccb7d7d4ebc1f9a737b018dcedc4311f2567f521f43f0499d7667cfcf6,748.4076413289534,56118.64313302869,104146.35762135126
1946d41ced33949e6c2514b936138b373b30521426fd54cea1b35262c182f5d5,748.4076413289534,56118.64313302869,104146.35762135126
432ec0997f6127e4a196cdab4ea12ec6f381838e538a031442626c547f7d6f12,747.2553458112397,56129.49154027105,104133.8602635854
05149732ca2c2b608e95c15ea781eef7df443d4c9db77401d1a138f3ed93c92f,747.0819537354092,56080.114884407434,104253.07525508282
f4238bcd0d353ec6d660db3b6bd477b5851c0bef3c6ac1bb20d1043d7e4f1b6b,748.8975208263089,56071.86983753752,104634.46894382809
405b7c670ca765e1a54e4f71a0629011843dde0a509533134043aa6d43774d17,747.0819537354092,56080.114884407434,104253.07525508282
2a55e32dcbde50ab7fa3cba5dc50b1137ee09ad5d717d9cc0eccaf72fe4dcfe6,746.8733537645217,56162.75252976223,104853.6644055598
bb1ed4f96a77e352c84da5e63b67cb3f4c129825e112deb2ed056d227f34f648,1162.1964643259828,49090.766660880356,110263.8825089321
650d4d1c70b30d35dd302fc9e568497ca10d7192d37dee2e33edc14361025d77,802.9841962411191,53576.990642957804,98726.62919286717
af03dc937cc8064990fb5714a555270eba300c1b8f6d0ee5f73ed62408c927d7,802.9841962411191,53466.23054683297,99919.48934519163
d1b0705f92698c2759e5a74a4b2ac3319f8db66316d4538620225516c62501d3,987.711146018174,49948.0133085885,112131.5438134541
0efdddff3552bca5135adc9dac7f0bbe23315f9fa7378a5e1df33e84ded96673,862.0070460354168,54286.496542658286,94192.00086789465
a20dc0efc6f6706c6ee0b28c723ebde8e16961035e24efb05ea5c62e2eaafc47,923.6108565098158,52446.53179230392,108640.4625775879
021c6279a071a314d51460be63dd1405d89cee5d9ae14d6871413f0b9ac836a0,1047.181047518005,52141.79768423775,105218.17422958484
07bd7494b8a2b615b30a860f6b03cc50bb3282aac203c3dc7b29044c4b2bfbd9,952.7249347086854,52563.39987263608,101837.64757188357
f752d2863e1c8df589eec5bc09e0508d1c95f4d1de5e39b27ace8be0fe645bf8,883.0380947476067,52136.50833170031,110946.42805734708
b91b3682a8ffdbf1b3e2ed3b611409d18e3ec8b97eadcf131d79f5d4c1bc2c5b,817.7591954969117,52987.54049418405,103557.43246268536
70997a53a228b1def402ac9a34c0403be2c071aab62110b9f412e78b12829bdc,933.6970225216013,50674.57476550956,115795.85425252767
675152fa08cf3c8c1763ff291e98f5e1eb460d0ad461c362e5add4bd98decf50,813.432894303445,53313.43381883403,100104.92778624354
5580f58946b4663d8f78dd23a0a12205f2a040090d692c34b9c5952a67f2ec77,1156.4151274068734,49374.546505005346,111741.09438386509
109158af247b72b7298290c60afa792976b0b98b91243556abf8069330dc5715,1084.131334378439,49086.30676779685,113663.69518587276
1a89120f7e1652ab9941eb9f23508ca378dd239a5bb3a4283af71e38fd14a368,1043.506337853203,49615.59419534665,112667.248794921
da10c58b85c09ef09086e6a94a3c306cd90b845236c212effbec476d4c363116,805.7047107737259,53139.97888273185,103778.18519735681
cf5182c64f838476b43110eba65449c921700c04dc5066fa44c323089278b810,802.1230100302251,53551.57478591213,99120.70361767965
c903aabe3eb21fd7c7e9f03e1abd6f4e214df0533eafad38c3a27631d8732a90,978.0240250548868,51482.29093851609,107571.48898786952
6b1c4a34396371ed6079089a0ce1de78ec09c5adfec391c9419980190a7f0a09,1093.8331653787573,49006.70237504729,113761.42921039436
8b90792b5371a364bb63031f5e643f7d340c4931c575223c854bf4da5ac6de62,1058.4016548142542,49316.91692152478,112513.42673815963
6d13e43957ff77164af66024703aedf9c1d5bf729fb712d79049ed2814868787,813.432894303445,53316.6617436514,100007.42706049577
54feccbfaeae806f0cb6c69c22f0edd09d042255972b53357de5b5cb1e83575a,1084.4275554641483,48874.62518971629,114792.83723056041
6d13e43957ff77164af66024703aedf9c1d5bf729fb712d79049ed2814868787,813.432894303445,53316.6617436514,100007.42706049577
140ece2abbb614c848336529a0a702b9803db2dc8bec90b844b5cd0724c092a6,937.8448250772163,52321.76041613361,104561.40719581553
01e7a225410aedf12f5ca4897e7c6b49494ea53aa0da590db56875c953d8fd6a,945.2598746085841,50157.912702924965,118072.23506593533
d2465b6e7a5688c4685c2c9054c2fad0a022e59a663d18b74e83f569c2f4bbfa,945.2598746085841,50198.42067508577,117764.08940908528
28caa73c2a5c7090d3c437f5df2c4f26d743bd669da286f71cccc2cda39d566b,784.0080760283229,53871.52369358301,98104.84153873753
