sequence,factory,worker,job,start,end,actualDuration,cost
0,0,1,9,0.0000000000000000,9.5000000000000000,9.5000000000000000,95.000000000000000
1,0,1,3,9.5000000000000000,20.162451743773495,10.662451743773497,106.62451743773497
2,0,0,6,20.162451743773495,32.662451743773495,12.500000000000000,150.00000000000000
3,0,1,1,20.162451743773495,37.302872882256345,17.140421138482850,171.40421138482850
4,0,0,8,32.662451743773495,47.753747929429180,15.091296185655690,459.04497515315020
5,0,3,9,9.5000000000000000,17.227272727272727,7.7272727272727270,85.000000000000000
6,0,3,3,20.162451743773495,35.335268854180670,15.172817110407173,166.90098821447890
7,0,2,6,32.662451743773495,50.440229521551274,17.777777777777775,298.91661114850683
8,0,3,1,37.302872882256345,49.737420114494220,12.434547232237877,158.42366386344910
9,0,3,8,49.737420114494220,60.635446851471630,10.898026736977403,119.87829410675144
10,1,1,5,0.0000000000000000,7.7272727272727275,7.7272727272727275,92.727272727272730
11,1,0,4,7.7272727272727275,17.809917355371900,10.082644628099173,110.90909090909090
12,1,0,7,17.809917355371900,33.081615809411010,15.271698454039113,167.98868299443023
13,1,1,2,33.081615809411010,44.841442758090150,11.759826948679144,141.11792338414972
14,1,1,0,44.841442758090150,53.814700569033520,8.9732578109433630,432.05739856393933
15,1,2,5,7.7272727272727275,21.893939393939394,14.166666666666666,170.00000000000000
16,1,3,4,17.809917355371900,35.958065503520050,18.148148148148145,163.33333333333331
17,1,2,7,33.081615809411010,46.629573415622370,13.547957606211353,162.57549127453623
18,1,2,2,46.629573415622370,60.997760063033010,14.368186647410642,469.24584802912340
19,1,3,0,53.814700569033520,62.572483768802535,8.7577831997690170,239.52976438754240
