job,finalCompletion
0,62.572483768802535
1,49.737420114494220
2,60.997760063033010
3,35.335268854180670
4,35.958065503520050
5,21.893939393939394
6,50.440229521551274
7,46.629573415622370
8,60.635446851471630
9,17.227272727272727
