sequence,factory,stage,machine,job,start,end,actualDuration,energy
0,0,0,1,9,0.0000000000000000,9.5000000000000000,9.5000000000000000,95.000000000000000
1,0,0,0,3,9.5000000000000000,20.162451743773495,10.662451743773497,74.637162206414470
2,0,0,0,6,20.162451743773495,32.662451743773495,12.500000000000000,87.500000000000000
3,0,0,2,1,20.162451743773495,37.302872882256345,17.140421138482850,205.68505366179420
4,0,0,1,8,32.662451743773495,47.753747929429180,15.091296185655690,174.07541360033040
5,0,1,0,9,9.5000000000000000,17.227272727272727,7.7272727272727270,69.545454545454530
6,0,1,1,3,20.162451743773495,35.335268854180670,15.172817110407173,121.38253688325739
7,0,1,0,6,32.662451743773495,50.440229521551274,17.777777777777775,175.43517901650074
8,0,1,1,1,37.302872882256345,49.737420114494220,12.434547232237877,101.44398188597870
9,0,1,1,8,49.737420114494220,60.635446851471630,10.898026736977403,87.184213895819230
10,1,0,1,5,0.0000000000000000,7.7272727272727275,7.7272727272727275,61.818181818181820
11,1,0,1,4,7.7272727272727275,17.809917355371900,10.082644628099173,80.661157024793380
12,1,0,0,7,17.809917355371900,33.081615809411010,15.271698454039113,106.90188917827379
13,1,0,0,2,33.081615809411010,44.841442758090150,11.759826948679144,82.318788640754010
14,1,0,1,0,44.841442758090150,53.814700569033520,8.9732578109433630,98.817587890265140
15,1,1,0,5,7.7272727272727275,21.893939393939394,14.166666666666666,99.166666666666660
16,1,1,1,4,17.809917355371900,35.958065503520050,18.148148148148145,145.18518518518516
17,1,1,2,7,33.081615809411010,46.629573415622370,13.547957606211353,81.287745637268120
18,1,1,0,2,46.629573415622370,60.997760063033010,14.368186647410642,125.31294055355747
19,1,1,1,0,53.814700569033520,62.572483768802535,8.7577831997690170,87.918900663665610
