runKey,profile,instance,seed,betaMax,actualFE,decoderCalls,remainingFE,terminationKind,outerCycles,totalLocalFE,formalLocalFE,caTaLiteFE,localFeShare,globalPhaseFE,cfvfOffspring,qgSelections,qpActions,frontSize,status,failures,schedulePredictedCycles,schedulePredictedKind,schedulePredictedTotalLocal,scheduleMatch,acceptance
run-GAPL50K-C0-50_2_3_1-20260907,C0,50_2_3_1,20260907,0.650000,48269,48269,1731,PHASE_CONSISTENT_TAIL_STOP,6,18169,16595,1574,0.376411361329,30100,30000,1200,25100,315,COMPLETED,NONE,6,PHASE_CONSISTENT_TAIL_STOP,18169,MATCH,PASS
run-GAPL50K-C1-50_2_3_1-20260907,C1,50_2_3_1,20260907,0.550000,45359,45359,4641,PHASE_CONSISTENT_TAIL_STOP,6,15259,13823,1436,0.336405123570,30100,30000,1200,25100,246,COMPLETED,NONE,6,PHASE_CONSISTENT_TAIL_STOP,15259,MATCH,PASS
run-GAPL50K-C2-50_2_3_1-20260907,C2,50_2_3_1,20260907,0.450000,50000,50000,0,EXACT_MAX_FE,7,14900,13119,1781,0.298000000000,35100,35000,1400,30100,272,COMPLETED,NONE,7,EXACT_MAX_FE,14900,MATCH,PASS
run-GAPL50K-C3-50_2_3_1-20260907,C3,50_2_3_1,20260907,0.350000,49036,49036,964,PHASE_CONSISTENT_TAIL_STOP,7,13936,12165,1771,0.284199363733,35100,35000,1400,30100,324,COMPLETED,NONE,7,PHASE_CONSISTENT_TAIL_STOP,13936,MATCH,PASS
run-GAPL50K-C0-100_5_3_1-20260907,C0,100_5_3_1,20260907,0.650000,48269,48269,1731,PHASE_CONSISTENT_TAIL_STOP,6,18169,16660,1509,0.376411361329,30100,30000,1200,25100,122,COMPLETED,NONE,6,PHASE_CONSISTENT_TAIL_STOP,18169,MATCH,PASS
run-GAPL50K-C1-100_5_3_1-20260907,C1,100_5_3_1,20260907,0.550000,45359,45359,4641,PHASE_CONSISTENT_TAIL_STOP,6,15259,13819,1440,0.336405123570,30100,30000,1200,25100,128,COMPLETED,NONE,6,PHASE_CONSISTENT_TAIL_STOP,15259,MATCH,PASS
run-GAPL50K-C2-100_5_3_1-20260907,C2,100_5_3_1,20260907,0.450000,50000,50000,0,EXACT_MAX_FE,7,14900,13255,1645,0.298000000000,35100,35000,1400,30100,125,COMPLETED,NONE,7,EXACT_MAX_FE,14900,MATCH,PASS
run-GAPL50K-C3-100_5_3_1-20260907,C3,100_5_3_1,20260907,0.350000,49036,49036,964,PHASE_CONSISTENT_TAIL_STOP,7,13936,12263,1673,0.284199363733,35100,35000,1400,30100,144,COMPLETED,NONE,7,PHASE_CONSISTENT_TAIL_STOP,13936,MATCH,PASS
run-GAPL50K-C0-50_2_3_1-20260914,C0,50_2_3_1,20260914,0.650000,48269,48269,1731,PHASE_CONSISTENT_TAIL_STOP,6,18169,16633,1536,0.376411361329,30100,30000,1200,25100,373,COMPLETED,NONE,6,PHASE_CONSISTENT_TAIL_STOP,18169,MATCH,PASS
run-GAPL50K-C1-50_2_3_1-20260914,C1,50_2_3_1,20260914,0.550000,45359,45359,4641,PHASE_CONSISTENT_TAIL_STOP,6,15259,13769,1490,0.336405123570,30100,30000,1200,25100,202,COMPLETED,NONE,6,PHASE_CONSISTENT_TAIL_STOP,15259,MATCH,PASS
run-GAPL50K-C2-50_2_3_1-20260914,C2,50_2_3_1,20260914,0.450000,50000,50000,0,EXACT_MAX_FE,7,14900,12986,1914,0.298000000000,35100,35000,1400,30100,216,COMPLETED,NONE,7,EXACT_MAX_FE,14900,MATCH,PASS
run-GAPL50K-C3-50_2_3_1-20260914,C3,50_2_3_1,20260914,0.350000,49036,49036,964,PHASE_CONSISTENT_TAIL_STOP,7,13936,12010,1926,0.284199363733,35100,35000,1400,30100,376,COMPLETED,NONE,7,PHASE_CONSISTENT_TAIL_STOP,13936,MATCH,PASS
run-GAPL50K-C0-100_5_3_1-20260914,C0,100_5_3_1,20260914,0.650000,48269,48269,1731,PHASE_CONSISTENT_TAIL_STOP,6,18169,16782,1387,0.376411361329,30100,30000,1200,25100,176,COMPLETED,NONE,6,PHASE_CONSISTENT_TAIL_STOP,18169,MATCH,PASS
run-GAPL50K-C1-100_5_3_1-20260914,C1,100_5_3_1,20260914,0.550000,45359,45359,4641,PHASE_CONSISTENT_TAIL_STOP,6,15259,13966,1293,0.336405123570,30100,30000,1200,25100,181,COMPLETED,NONE,6,PHASE_CONSISTENT_TAIL_STOP,15259,MATCH,PASS
run-GAPL50K-C2-100_5_3_1-20260914,C2,100_5_3_1,20260914,0.450000,50000,50000,0,EXACT_MAX_FE,7,14900,13218,1682,0.298000000000,35100,35000,1400,30100,86,COMPLETED,NONE,7,EXACT_MAX_FE,14900,MATCH,PASS
run-GAPL50K-C3-100_5_3_1-20260914,C3,100_5_3_1,20260914,0.350000,49036,49036,964,PHASE_CONSISTENT_TAIL_STOP,7,13936,12241,1695,0.284199363733,35100,35000,1400,30100,131,COMPLETED,NONE,7,PHASE_CONSISTENT_TAIL_STOP,13936,MATCH,PASS
