diagnosticRunId,comparison,instance,seed,arm,budget,sourceRunId,status
V35FC5T-100K-100_5_3_1-20260901-A2_CFVF,A2_vs_A4,100_5_3_1,20260901,A2_CFVF,100000,V35A2A4-100_5_3_1-20260901-A2,COMPLETED
V35FC5T-100K-100_5_3_1-20260901-A4_BUDGET_AWARE_CATA,A2_vs_A4,100_5_3_1,20260901,A4_BUDGET_AWARE_CATA,100000,V35A2A4-100_5_3_1-20260901-A4,COMPLETED
V35FC5T-100K-100_5_3_1-20260902-A2_CFVF,A2_vs_A4,100_5_3_1,20260902,A2_CFVF,100000,V35A2A4-100_5_3_1-20260902-A2,COMPLETED
V35FC5T-100K-100_5_3_1-20260902-A4_BUDGET_AWARE_CATA,A2_vs_A4,100_5_3_1,20260902,A4_BUDGET_AWARE_CATA,100000,V35A2A4-100_5_3_1-20260902-A4,COMPLETED
V35FC5T-100K-100_5_3_1-20260903-A2_CFVF,A2_vs_A4,100_5_3_1,20260903,A2_CFVF,100000,V35A2A4-100_5_3_1-20260903-A2,COMPLETED
V35FC5T-100K-100_5_3_1-20260903-A4_BUDGET_AWARE_CATA,A2_vs_A4,100_5_3_1,20260903,A4_BUDGET_AWARE_CATA,100000,V35A2A4-100_5_3_1-20260903-A4,COMPLETED
