instance,scale,seed,DeltaCmax,DeltaTEC,DeltaTWC,DeltaHV,DeltaIGD,C_A2_A0,C_A0_A2
100_2_5_1,100,20260911,7.105327593340008e-05,-7.726896904996131e-05,0.00640597844417216,0.09111059744598327,0.15689135456017683,0.4503311258278146,0.5096618357487923
100_2_5_1,100,20260912,0.022148777207758916,0.017203191359212444,-0.006457132824041484,0.1238905759309421,0.4173240213555953,0.3765182186234818,0.3826086956521739
100_2_5_1,100,20260913,0.07558039473938288,0.00524494750905707,-0.018001525210160664,0.08359117377807405,0.2305911550922166,0.3786008230452675,0.3246753246753247
100_2_5_1,100,20260914,-0.032259815925467374,0.01977747144633007,0.020998109842877765,0.2508712265576955,0.44304828970759463,0.6482412060301508,0.050980392156862744
100_2_5_1,100,20260915,0.052093958454536814,0.10073213001951462,0.036471161608855614,0.31548079373994314,0.5280194408838091,0.3446601941747573,0.11646586345381527
100_8_3_1,100,20260911,-0.011735415033603628,-0.016872331451293188,0.010356765251977838,-0.2232097348228347,-0.4025052569819373,0.07234042553191489,0.4009216589861751
100_8_3_1,100,20260912,0.005027062914025358,-0.013581747479524436,0.0032166513409052615,-0.05647972455740283,0.21329503918814507,0.28205128205128205,0.3119266055045872
100_8_3_1,100,20260913,-0.06734533118227283,-0.01685557972464947,0.007439136964746285,-0.2733208968835438,-2.115917822779899,0.029177718832891247,0.8247422680412371
100_8_3_1,100,20260914,-0.019886010786017,-0.020295974297715937,-0.006449174132388537,-0.43173129480696526,-2.2711256155869135,0.0,0.8353909465020576
100_8_3_1,100,20260915,-0.039770206879075176,0.011358740341413535,-0.0061412258284718945,0.08255783888210144,-0.03806521464211431,0.2794759825327511,0.4182692307692308
20_2_5_1,20,20260911,0.041083996319212036,0.028064145880496695,0.0022283268957058303,0.044975441825186806,0.08660258343734534,0.1943127962085308,0.2360655737704918
20_2_5_1,20,20260912,0.02397284114132912,0.02669707538447026,0.010483674572042315,0.036628248746127925,-0.05469964737667326,0.13310580204778158,0.46788990825688076
20_2_5_1,20,20260913,-0.012343818787214147,0.016190308779062156,0.0024216491320751686,-0.030854810110686522,-0.20502340322487475,0.12099644128113879,0.5764192139737991
20_2_5_1,20,20260914,-0.03203619431847247,0.02283675778428927,0.008063129304479565,-0.005658194224137218,-0.1266608368429139,0.08206686930091185,0.553763440860215
20_2_5_1,20,20260915,0.04444604468461137,0.007759774401630113,-0.0010733033435029685,-0.03479537437417244,-0.20127100327390632,0.17735849056603772,0.6959459459459459
20_8_3_1,20,20260911,-0.018836140886005378,0.006672183129876755,0.026554100897207153,0.05047795444606677,0.24323626626149294,0.6018518518518519,0.14426229508196722
20_8_3_1,20,20260912,-0.0005947968648837383,-0.0004014699279711126,0.013659869975530826,0.06416890422323146,-0.19509817231295162,0.2886178861788618,0.48333333333333334
20_8_3_1,20,20260913,-0.005874092371056802,0.007281351584506204,-0.009337569458490609,0.07028060403510966,0.04953047105864537,0.5377358490566038,0.1683673469387755
20_8_3_1,20,20260914,0.01724984229592776,-0.007331391227343734,0.03757882881596083,0.15856641662571225,0.3247989231136919,0.6565217391304348,0.13703703703703704
20_8_3_1,20,20260915,0.00450419064731943,-0.006297782038593376,0.003708597679844019,-0.06220762608414678,0.0434901101547862,0.17192982456140352,0.42650602409638555
50_2_5_1,50,20260911,0.0610782104283829,0.11834316077772343,0.005590825645451222,0.1964959275373603,0.3025826128470228,0.09195402298850575,0.14367816091954022
50_2_5_1,50,20260912,-0.0950175637505345,0.16480024200373036,0.0414651249162979,0.4503756061650171,0.44465318774109974,0.0,0.2127659574468085
50_2_5_1,50,20260913,-0.07596327946904682,0.17402388489775503,0.057160913138239,0.44620364668126355,0.4189694608725772,0.0,0.3526570048309179
50_2_5_1,50,20260914,-0.03272949667783718,0.06285373591304354,-0.02775597773982687,-0.041658659282910196,-0.30995547942809865,0.20099255583126552,0.36394557823129253
50_2_5_1,50,20260915,-0.048642101007556546,0.1374895760755733,0.058379619420967525,0.39111674650704437,0.49933159127620763,0.014705882352941176,0.22321428571428573
50_8_3_1,50,20260911,-0.008946708538357735,0.004513252349645404,0.024279927067412433,0.09917562190910424,0.4263678542734194,0.15810276679841898,0.2808988764044944
50_8_3_1,50,20260912,-0.0050036307460411145,-0.02227492078032541,0.004131142262556016,-0.10436063689937655,-0.33519618978610616,0.2397003745318352,0.2012987012987013
50_8_3_1,50,20260913,-0.011010739741922562,-0.01440887790420208,-0.016205901634705366,-0.13785667738170426,-0.4436527829542733,0.12254901960784313,0.6652892561983471
50_8_3_1,50,20260914,0.017285936647356143,-0.020643346658620637,0.01157458807773385,0.12251643205773406,0.3752470074512357,0.5191256830601093,0.0163265306122449
50_8_3_1,50,20260915,-0.01931868508183262,-0.004573283160318263,0.002039974070987977,-0.15142830930201637,-0.7599288166241573,0.014534883720930232,0.9166666666666666
