runId,instance,seed,arm,status,actualFE,utilizationRate,frontRawSize,frontNondominatedSize,frontSha256
V35A2FINAL-100_2_5_1-20260911-A0-FINAL_CANDIDATE_CONFIRMATION,100_2_5_1,20260911,A0,ACCEPTED,500000,1.0,151,151,0926e627ebf68a09cd7f512bd9e1ac9c7c7389596528356585b4200728730b7d
V35A2FINAL-100_2_5_1-20260911-A2-FINAL_CANDIDATE_CONFIRMATION,100_2_5_1,20260911,A2,ACCEPTED,500000,1.0,414,414,6e8ec6364ae619d96bf3a478fb884a52d3cf2456fea675a936ff0f9875b60c35
V35A2FINAL-100_2_5_1-20260912-A0-FINAL_CANDIDATE_CONFIRMATION,100_2_5_1,20260912,A0,ACCEPTED,500000,1.0,247,247,422312f1cddd202821f4a37d1c052e209346d6d0adbde6d2d1921445cef99c27
V35A2FINAL-100_2_5_1-20260912-A2-FINAL_CANDIDATE_CONFIRMATION,100_2_5_1,20260912,A2,ACCEPTED,500000,1.0,230,230,1692e642a52a1ed3d0a9698a617e467c42b3919dd1b6f7bf50cc1fe2e1964f87
V35A2FINAL-100_2_5_1-20260913-A0-FINAL_CANDIDATE_CONFIRMATION,100_2_5_1,20260913,A0,ACCEPTED,498003,0.996006,243,243,63b4228395a48512f102ba4319033be059c1ee47e065e6a4065803faa99529a6
V35A2FINAL-100_2_5_1-20260913-A2-FINAL_CANDIDATE_CONFIRMATION,100_2_5_1,20260913,A2,ACCEPTED,500000,1.0,462,462,51107c05482a8e4a842c7b9baf7a8d56bd05af4d981c950de62b163d03a68cac
V35A2FINAL-100_2_5_1-20260914-A0-FINAL_CANDIDATE_CONFIRMATION,100_2_5_1,20260914,A0,ACCEPTED,500000,1.0,199,199,cb2b97a3b9efded1ba1610a09195ad88bb19009898c651c9fb3c896bfbf070d5
V35A2FINAL-100_2_5_1-20260914-A2-FINAL_CANDIDATE_CONFIRMATION,100_2_5_1,20260914,A2,ACCEPTED,500000,1.0,255,255,d98b8e7c7af22b88a6f3b15f072e8e96db4f3f33f0ab38068d44669af048f59d
V35A2FINAL-100_2_5_1-20260915-A0-FINAL_CANDIDATE_CONFIRMATION,100_2_5_1,20260915,A0,ACCEPTED,499349,0.998698,206,206,afc5bcb7bb229c9e7a439660f54ef1106e4cad616f73ea226c1484f370fdc86d
V35A2FINAL-100_2_5_1-20260915-A2-FINAL_CANDIDATE_CONFIRMATION,100_2_5_1,20260915,A2,ACCEPTED,500000,1.0,249,249,9e7889aa1ad3b34d339023f222762207bb064af90056ef6d0b71b2c5ed0710af
V35A2FINAL-100_8_3_1-20260911-A0-FINAL_CANDIDATE_CONFIRMATION,100_8_3_1,20260911,A0,ACCEPTED,495884,0.991768,235,235,86fba3cee7892f4b88a14c07d64c9a4c9fa473f7dbb476f2e10e9be32b7f48fe
V35A2FINAL-100_8_3_1-20260911-A2-FINAL_CANDIDATE_CONFIRMATION,100_8_3_1,20260911,A2,ACCEPTED,500000,1.0,217,217,8bcf8479437ea5aaeeb0b6e04fb29827ba7db93c13c78b669b22021d1a49761a
V35A2FINAL-100_8_3_1-20260912-A0-FINAL_CANDIDATE_CONFIRMATION,100_8_3_1,20260912,A0,ACCEPTED,500000,1.0,195,195,62fffe6172c0b9d18846e4c17365b2c33cf16292dc38562ceefef2815c4f077b
V35A2FINAL-100_8_3_1-20260912-A2-FINAL_CANDIDATE_CONFIRMATION,100_8_3_1,20260912,A2,ACCEPTED,500000,1.0,218,218,bb24bc2610c88c4ba47f9ac597a7ebca73c6d5b40c1eb2f226e7a56757ff8259
V35A2FINAL-100_8_3_1-20260913-A0-FINAL_CANDIDATE_CONFIRMATION,100_8_3_1,20260913,A0,ACCEPTED,500000,1.0,377,377,e2a3f0c11b457ac6034bda93e490d2f3eb3d00ae1bc3d8c7c136328a55bc0d19
V35A2FINAL-100_8_3_1-20260913-A2-FINAL_CANDIDATE_CONFIRMATION,100_8_3_1,20260913,A2,ACCEPTED,500000,1.0,194,194,ca860637dda456c2a8336d45831f06dba6e22f6a13d948dffc98f74ced8c789c
V35A2FINAL-100_8_3_1-20260914-A0-FINAL_CANDIDATE_CONFIRMATION,100_8_3_1,20260914,A0,ACCEPTED,499471,0.998942,243,243,b8fafcaf06d8e2d4593b620dfc7532eacc64d7869846449bb6a95a689c0d5025
V35A2FINAL-100_8_3_1-20260914-A2-FINAL_CANDIDATE_CONFIRMATION,100_8_3_1,20260914,A2,ACCEPTED,500000,1.0,243,243,f7dc1a01e1d59ceffbebe5ce2885ca94dbc3c20b7e1fb00883a2faca846cd97b
V35A2FINAL-100_8_3_1-20260915-A0-FINAL_CANDIDATE_CONFIRMATION,100_8_3_1,20260915,A0,ACCEPTED,500000,1.0,229,229,29f4509354ea0f7ebd0d833e64ddc149698a9b48e5b4c06a7667985f52da5cd4
V35A2FINAL-100_8_3_1-20260915-A2-FINAL_CANDIDATE_CONFIRMATION,100_8_3_1,20260915,A2,ACCEPTED,500000,1.0,208,208,a0719cffd1afefda481b21d0390690d2817d839cc63b007f3ddf99d23a83939a
V35A2FINAL-20_2_5_1-20260911-A0-FINAL_CANDIDATE_CONFIRMATION,20_2_5_1,20260911,A0,ACCEPTED,500000,1.0,211,211,2ea559282bd8499d556635a59f6a70734dea21f3b3469c725157a7ffcf28a85b
V35A2FINAL-20_2_5_1-20260911-A2-FINAL_CANDIDATE_CONFIRMATION,20_2_5_1,20260911,A2,ACCEPTED,500000,1.0,305,305,e10b8ec71764c4846ffae98d05e58cd0b1bf1c504b5923dba1bf961904e5829c
V35A2FINAL-20_2_5_1-20260912-A0-FINAL_CANDIDATE_CONFIRMATION,20_2_5_1,20260912,A0,ACCEPTED,500000,1.0,293,293,baed10fc43ae70635a1f9185a2c547fb56695ab1fa40fa94cf57d80e6391443e
V35A2FINAL-20_2_5_1-20260912-A2-FINAL_CANDIDATE_CONFIRMATION,20_2_5_1,20260912,A2,ACCEPTED,500000,1.0,218,218,9cb103f00f2f9449d5bc771d8398ca42e837992a496434e0e101671b7b352a38
V35A2FINAL-20_2_5_1-20260913-A0-FINAL_CANDIDATE_CONFIRMATION,20_2_5_1,20260913,A0,ACCEPTED,500000,1.0,281,281,24397e97ec8e7d74e29a4ae897ba7616db9af676dd8ab05be7c78dabbac32f63
V35A2FINAL-20_2_5_1-20260913-A2-FINAL_CANDIDATE_CONFIRMATION,20_2_5_1,20260913,A2,ACCEPTED,500000,1.0,229,229,3e70aae8d44afbebd501256801ad37f49479c7ed6268d90ae0f81a386370b7c9
V35A2FINAL-20_2_5_1-20260914-A0-FINAL_CANDIDATE_CONFIRMATION,20_2_5_1,20260914,A0,ACCEPTED,500000,1.0,329,329,20c9e93bda6a442bce6ca3dab6f78dd2309e85302b63a45d5ce4604ea8d272a9
