instance,scale,seed,arm,HV,IGD,IGDplus,Spacing,frontSize,frontRawSize,Cmax,TEC,TWC,actualFE,utilizationRate,algorithmSeconds,referenceSize,idealCmax,idealTEC,idealTWC,nadirCmax,nadirTEC,nadirTWC
100_2_5_1,100,20260911,A0,0.6914077406767547,0.15223299850522148,0.12036874734736902,0.0193379177160894,151,151,549.931013568127,51190.46028654991,81305.63779306815,500000,1.0,114.658382648,706,526.8121681181668,47669.0776741825,77597.66575720739,1702.382927225358,62760.51685578178,111840.35057125063
100_2_5_1,100,20260911,A2,0.7544023130085913,0.1283489571609799,0.12340939226102049,0.012484945453618054,414,414,549.8919391680756,51194.415720641446,80784.79562997608,500000,1.0,218.584238527,706,526.8121681181668,47669.0776741825,77597.66575720739,1702.382927225358,62760.51685578178,111840.35057125063
100_2_5_1,100,20260912,A0,0.702595661099951,0.13649732635475784,0.0789338820062789,0.02065481111124113,247,247,558.2598366717546,52327.46554487713,80411.27359415816,500000,1.0,108.265474543,706,526.8121681181668,47669.0776741825,77597.66575720739,1702.382927225358,62760.51685578178,111840.35057125063
100_2_5_1,100,20260912,A2,0.7896406422002049,0.07953371321610321,0.07034231498923556,0.020952893998108048,230,230,545.895063925272,51427.26614176601,80930.49986830598,500000,1.0,189.986760852,706,526.8121681181668,47669.0776741825,77597.66575720739,1702.382927225358,62760.51685578178,111840.35057125063
100_2_5_1,100,20260913,A0,0.7080842212385225,0.1344081569040993,0.09052413486586927,0.01682694420533605,243,243,602.6372377808871,51842.96370590488,81120.55494808032,498003,0.996006,124.567035358,706,526.8121681181668,47669.0776741825,77597.66575720739,1702.382927225358,62760.51685578178,111840.35057125063
100_2_5_1,100,20260913,A2,0.7672738124255841,0.10341482474976715,0.08044629419969376,0.01494354547285794,462,462,557.0896774647563,51571.050082553455,82580.84866304041,500000,1.0,229.070665446,706,526.8121681181668,47669.0776741825,77597.66575720739,1702.382927225358,62760.51685578178,111840.35057125063
100_2_5_1,100,20260914,A0,0.653150169517498,0.14945731839916063,0.10871879468953975,0.019997067559749004,199,199,543.1624646013717,52631.944863776116,82133.18850355921,500000,1.0,110.867672816,706,526.8121681181668,47669.0776741825,77597.66575720739,1702.382927225358,62760.51685578178,111840.35057125063
100_2_5_1,100,20260914,A2,0.8170067536707195,0.08324050909812909,0.062317355033022756,0.015168188662729464,255,255,560.6847857270351,51591.018077067965,80408.54678961569,500000,1.0,194.526746689,706,526.8121681181668,47669.0776741825,77597.66575720739,1702.382927225358,62760.51685578178,111840.35057125063
100_2_5_1,100,20260915,A0,0.6961548257245757,0.14222362934223426,0.09688597856255153,0.019236645456786862,206,206,555.7641211562001,53008.76331233423,80534.86586532932,499349,0.998698,113.081016443,706,526.8121681181668,47669.0776741825,77597.66575720739,1702.382927225358,62760.51685578178,111840.35057125063
100_2_5_1,100,20260915,A2,0.9157783027100566,0.06712678809648162,0.06254040545608708,0.02246984062830634,249,249,526.8121681181668,47669.0776741825,77597.66575720739,500000,1.0,211.408135821,706,526.8121681181668,47669.0776741825,77597.66575720739,1702.382927225358,62760.51685578178,111840.35057125063
