instance,scale,referenceSize,medianDeltaCmax,medianDeltaTEC,medianDeltaTWC,medianDeltaHV,medianDeltaIGD
100_2_5_1,100,706,0.022148777207758916,0.017203191359212444,0.00640597844417216,0.1238905759309421,0.4173240213555953
100_8_3_1,100,541,-0.019886010786017,-0.01685557972464947,0.0032166513409052615,-0.2232097348228347,-0.4025052569819373
20_2_5_1,20,542,0.02397284114132912,0.02283675778428927,0.0024216491320751686,-0.005658194224137218,-0.1266608368429139
20_8_3_1,20,601,-0.0005947968648837383,-0.0004014699279711126,0.013659869975530826,0.06416890422323146,0.04953047105864537
50_2_5_1,50,1306,-0.048642101007556546,0.1374895760755733,0.0414651249162979,0.39111674650704437,0.4189694608725772
50_8_3_1,50,530,-0.008946708538357735,-0.01440887790420208,0.004131142262556016,-0.10436063689937655,-0.33519618978610616
