runId,workPackage,instance,seed,arm,maxFEs,telemetry,status,sourceRunId,jarSha,evidenceDir,note,date
MIDHORIZON-V2-PREREG,00-preregistration,,,,,,,,,,v2注册,2026-08-26
2k-100_5_3_1-20260901-A2-OFF,V35-FC5-MIDHORIZON-DIAGNOSTICS-V2,100_5_3_1.txt,20260901,A2,2000,OFF,COMPLETED,,1F82F67E6A6515B56DD1EFEBC99A1A895150649AFA860BCB5D6B91616F63167A,09-real-2k-equivalence/runs,行为等价OFF臂,2026-08-26
2k-100_5_3_1-20260901-A2-ON,V35-FC5-MIDHORIZON-DIAGNOSTICS-V2,100_5_3_1.txt,20260901,A2,2000,ON,COMPLETED,,1F82F67E6A6515B56DD1EFEBC99A1A895150649AFA860BCB5D6B91616F63167A,09-real-2k-equivalence/runs,行为等价ON臂(遥测),2026-08-26
2k-100_5_3_1-20260901-A4-OFF,V35-FC5-MIDHORIZON-DIAGNOSTICS-V2,100_5_3_1.txt,20260901,A4,2000,OFF,COMPLETED,,1F82F67E6A6515B56DD1EFEBC99A1A895150649AFA860BCB5D6B91616F63167A,09-real-2k-equivalence/runs,行为等价OFF臂,2026-08-26
2k-100_5_3_1-20260901-A4-ON,V35-FC5-MIDHORIZON-DIAGNOSTICS-V2,100_5_3_1.txt,20260901,A4,2000,ON,COMPLETED,,1F82F67E6A6515B56DD1EFEBC99A1A895150649AFA860BCB5D6B91616F63167A,09-real-2k-equivalence/runs,行为等价ON臂(遥测),2026-08-26
20k-100_2_4_1-20260901-A2-OFF,V35-FC5-MIDHORIZON-DIAGNOSTICS-V2,100_2_4_1.txt,20260901,A2,20000,OFF,COMPLETED,,1F82F67E6A6515B56DD1EFEBC99A1A895150649AFA860BCB5D6B91616F63167A,10-real-20k-equivalence/runs,行为等价+开销OFF臂,2026-08-26
20k-100_2_4_1-20260901-A2-ON,V35-FC5-MIDHORIZON-DIAGNOSTICS-V2,100_2_4_1.txt,20260901,A2,20000,ON,COMPLETED,,1F82F67E6A6515B56DD1EFEBC99A1A895150649AFA860BCB5D6B91616F63167A,10-real-20k-equivalence/runs,行为等价+开销ON臂,2026-08-26
20k-100_2_4_1-20260901-A4-OFF,V35-FC5-MIDHORIZON-DIAGNOSTICS-V2,100_2_4_1.txt,20260901,A4,20000,OFF,COMPLETED,,1F82F67E6A6515B56DD1EFEBC99A1A895150649AFA860BCB5D6B91616F63167A,10-real-20k-equivalence/runs,行为等价+开销OFF臂,2026-08-26
20k-100_2_4_1-20260901-A4-ON,V35-FC5-MIDHORIZON-DIAGNOSTICS-V2,100_2_4_1.txt,20260901,A4,20000,ON,COMPLETED,,1F82F67E6A6515B56DD1EFEBC99A1A895150649AFA860BCB5D6B91616F63167A,10-real-20k-equivalence/runs,行为等价+开销ON臂(CA-TA真实),2026-08-26
20k-100_5_3_1-20260901-A2-OFF,V35-FC5-MIDHORIZON-DIAGNOSTICS-V2,100_5_3_1.txt,20260901,A2,20000,OFF,COMPLETED,,1F82F67E6A6515B56DD1EFEBC99A1A895150649AFA860BCB5D6B91616F63167A,10-real-20k-equivalence/runs,行为等价+开销OFF臂,2026-08-26
20k-100_5_3_1-20260901-A2-ON,V35-FC5-MIDHORIZON-DIAGNOSTICS-V2,100_5_3_1.txt,20260901,A2,20000,ON,COMPLETED,,1F82F67E6A6515B56DD1EFEBC99A1A895150649AFA860BCB5D6B91616F63167A,10-real-20k-equivalence/runs,行为等价+开销ON臂,2026-08-26
20k-100_5_3_1-20260901-A4-OFF,V35-FC5-MIDHORIZON-DIAGNOSTICS-V2,100_5_3_1.txt,20260901,A4,20000,OFF,COMPLETED,,1F82F67E6A6515B56DD1EFEBC99A1A895150649AFA860BCB5D6B91616F63167A,10-real-20k-equivalence/runs,行为等价+开销OFF臂,2026-08-26
20k-100_5_3_1-20260901-A4-ON,V35-FC5-MIDHORIZON-DIAGNOSTICS-V2,100_5_3_1.txt,20260901,A4,20000,ON,COMPLETED,,1F82F67E6A6515B56DD1EFEBC99A1A895150649AFA860BCB5D6B91616F63167A,10-real-20k-equivalence/runs,行为等价+开销ON臂(CA-TA真实),2026-08-26
