algorithm,seeds,medianHV,medianIGD,medianSpacing,medianFrontSize,medianMinCmax,medianMinTEC,medianMinTWC,minFE,maxFE
HMOPSO_QGS_F,5,0.47716717727089575,0.3210311464694752,0.044032181961705164,89.0,203.00940255328172,8979.90949261906,12838.469755734852,50000,50000
HMOPSO_QLS_F,5,0.0836879667160356,0.6773741617321031,0.06272512709996902,25.0,243.64341392642265,10490.349620640727,14154.635723598094,49986,50000
MOHEADE_F,5,0.1995677205249745,0.470298151234557,0.0,100.0,242.04008467987896,10489.716112941504,15378.232508964156,50000,50000
MOPSODS_DE_F,5,0.42920149279178854,0.30282321055476485,0.01573513477622266,224.0,192.44648536092322,9823.803123396967,14042.4090391738,50000,50000
MOPSO_F,5,0.06017097778305634,0.7125789328849966,0.054289950362708776,8.0,222.08467211057666,10206.93363308871,17861.367023425348,50000,50000
NSGA_II_F,5,0.8969113273413796,0.09996037213425246,0.028728882287388784,100.0,182.8591438543039,8473.392202144718,12478.533820326837,50000,50000
SPEA2_F,5,0.9102562568397803,0.08377746527901953,0.020152882039581144,100.0,190.18095487088897,8565.80346804814,12481.45250818526,50000,50000
ZHANGBO_A4,5,0.6615656395910021,0.20627964631829548,0.036886438772732594,109.0,201.32728636958814,8667.943054366626,12827.334944780248,50000,50000
