seed,algorithm,sourceKind,FE,HV,IGD,Spacing,C_A_R,C_R_A,C_A4_A,C_A_A4,frontSize,minCmax,minTEC,minTWC
20260822,ZHANGBO_A4,ZHANGBO_CURRENT,50000,0.621259002065478,0.2168178807478707,0.045928481843265485,0.0,1.0,1.0,1.0,91,198.75263814130486,8814.275921146931,12918.331913279868
20260822,HMOPSO_QGS_F,ZHANGBO_CURRENT,50000,0.6220713753891071,0.20582516595414074,0.03679848859799578,0.0,1.0,0.12359550561797752,0.5164835164835165,89,191.7329901343105,8584.276841553256,12929.878407525386
20260822,HMOPSO_QLS_F,PAPER_AUTHOR_SOURCE,49986,0.0836879667160356,0.6804564832498798,0.08960064341481921,0.0,1.0,1.0,0.0,29,243.64341392642265,10440.620064639952,14248.037385396423
20260822,MOPSO_F,PAPER_AUTHOR_SOURCE,50000,0.038065690574929575,0.7512107995140057,0.03901403487667664,0.0,1.0,1.0,0.0,4,222.08467211057666,10198.002842428437,18829.93639412565
20260822,MOPSODS_DE_F,PAPER_AUTHOR_SOURCE,50000,0.49044654460665615,0.2757223214212948,0.008863940422028784,0.0,1.0,0.0,0.23076923076923078,224,188.14115588680343,9823.803123396967,14042.4090391738
20260822,MOHEADE_F,PAPER_AUTHOR_SOURCE,50000,0.04463402362003186,0.7452380305738865,0.0,0.0,1.0,1.0,0.0,100,250.65987549271568,11034.10827009072,17622.86033973968
20260822,NSGA_II_F,OFFICIAL_JMETAL_CORE,50000,0.8652138693878836,0.13007961712421864,0.021209648576105862,0.0960960960960961,1.0,0.0,0.967032967032967,100,178.84098189565034,8341.704658883104,12383.277539528046
20260822,SPEA2_F,OFFICIAL_JMETAL_CORE,50000,0.8905234468095953,0.08377746527901953,0.020152882039581144,0.03003003003003003,1.0,0.0,1.0,100,182.5063748659904,8611.309530726554,12485.117323026157
20260823,ZHANGBO_A4,ZHANGBO_CURRENT,50000,0.6615656395910021,0.19396185990629336,0.03524216222577378,0.0,1.0,0.11214953271028037,0.5494505494505495,107,205.35635415799638,8700.993938279136,12805.715992083906
20260823,HMOPSO_QGS_F,ZHANGBO_CURRENT,50000,0.4755157509928216,0.3295455555490807,0.035262237058163136,0.0,1.0,0.475,0.14285714285714285,120,203.00940255328172,9064.398694652973,12838.469755734852
20260823,HMOPSO_QLS_F,PAPER_AUTHOR_SOURCE,49990,0.0830689640236979,0.6773741617321031,0.04887780207613176,0.0,1.0,1.0,0.0,25,236.18207021700675,10589.586006761776,14154.635723598094
20260823,MOPSO_F,PAPER_AUTHOR_SOURCE,50000,0.06017097778305634,0.7116573552934955,0.054289950362708776,0.0,1.0,1.0,0.0,9,220.36489643893722,10366.34436205076,17861.367023425348
20260823,MOPSODS_DE_F,PAPER_AUTHOR_SOURCE,50000,0.620984356167702,0.20464087656267405,0.04938176662807532,0.03903903903903904,1.0,0.004694835680751174,0.4945054945054945,213,201.11330074217645,9280.334381266544,13827.634880240445
20260823,MOHEADE_F,PAPER_AUTHOR_SOURCE,50000,0.25543587923842365,0.46249726453398776,0.0,0.0,1.0,0.0,0.03296703296703297,100,223.40083423665158,10523.645713160571,14499.478659532639
20260823,NSGA_II_F,OFFICIAL_JMETAL_CORE,50000,0.8969113273413796,0.09996037213425246,0.028728882287388784,0.11411411411411411,1.0,0.03,0.9010989010989011,100,185.30793066201392,8473.392202144718,12619.513796813504
20260823,SPEA2_F,OFFICIAL_JMETAL_CORE,50000,0.9266577002777582,0.08806684483705197,0.01553910200351947,0.21621621621621623,1.0,0.0,0.967032967032967,100,192.33927245017247,8649.783578292625,12481.45250818526
20260824,ZHANGBO_A4,ZHANGBO_CURRENT,50000,0.6756980426596626,0.20721694259090004,0.03080290017889042,0.0,1.0,0.1774193548387097,0.6153846153846154,124,205.66386004772323,8667.943054366626,12632.825650734814
20260824,HMOPSO_QGS_F,ZHANGBO_CURRENT,50000,0.49898801837233014,0.2973693754986376,0.05924194198454037,0.0,1.0,0.7192982456140351,0.06593406593406594,57,205.42918042709618,8979.90949261906,12739.242738225706
20260824,HMOPSO_QLS_F,PAPER_AUTHOR_SOURCE,49994,0.11102048949312185,0.6343206267994501,0.08421959380220884,0.0,1.0,1.0,0.0,18,244.63057811616335,10490.349620640727,13835.19852584294
20260824,MOPSO_F,PAPER_AUTHOR_SOURCE,50000,0.056487024666917275,0.7125789328849966,0.0471816639774768,0.0,1.0,1.0,0.0,6,224.16377886314115,10176.390220531843,17681.573438072843
20260824,MOPSODS_DE_F,PAPER_AUTHOR_SOURCE,50000,0.3822153222537794,0.35451100241219474,0.01573513477622266,0.057057057057057055,1.0,0.06692913385826772,0.16483516483516483,254,192.44648536092322,9923.577960161763,13992.953029832344
20260824,MOHEADE_F,PAPER_AUTHOR_SOURCE,50000,0.2507443919298414,0.41690296805451976,0.0,0.0,1.0,1.0,0.0,100,274.4316973811965,10001.356761304443,15251.447052934282
20260824,NSGA_II_F,OFFICIAL_JMETAL_CORE,50000,0.859951809811884,0.11040258360412693,0.030496252832778636,0.024024024024024024,1.0,0.02,0.8461538461538461,100,182.8591438543039,8553.70637892851,12478.533820326837
20260824,SPEA2_F,OFFICIAL_JMETAL_CORE,50000,0.9383551794463205,0.07752873036259357,0.022030422251433274,0.15315315315315314,1.0,0.0,1.0,100,190.18095487088897,8495.830667830816,12471.538753626315
20260825,ZHANGBO_A4,ZHANGBO_CURRENT,50000,0.7205592083111151,0.16383035902556747,0.036886438772732594,0.0,1.0,0.05504587155963303,0.8131868131868132,109,199.99036234046963,8631.450315192189,12827.334944780248
20260825,HMOPSO_QGS_F,ZHANGBO_CURRENT,50000,0.43977499813011095,0.34172345411262567,0.04405326656554063,0.0,1.0,0.6226415094339622,0.03296703296703297,106,206.1139451759936,9050.568461020088,13054.315271830217
20260825,HMOPSO_QLS_F,PAPER_AUTHOR_SOURCE,50000,0.06274559559848254,0.7446402881011155,0.06272512709996902,0.0,1.0,1.0,0.0,25,245.4545593726172,10374.169644071597,14062.022897199407
20260825,MOPSO_F,PAPER_AUTHOR_SOURCE,50000,0.06716315627803741,0.6954726796719496,0.06944200525789453,0.0,1.0,1.0,0.0,8,222.15000705704563,10206.93363308871,17632.8572696409
20260825,MOPSODS_DE_F,PAPER_AUTHOR_SOURCE,50000,0.42920149279178854,0.30282321055476485,0.013019588762562661,0.0,1.0,0.020161290322580645,0.18681318681318682,248,202.99599509799154,9686.244360649604,14419.355680969926
20260825,MOHEADE_F,PAPER_AUTHOR_SOURCE,50000,0.10504652055454486,0.6472325751903372,0.0,0.0,1.0,0.0,0.0,100,228.6340375290757,10145.890128658619,17917.8142160029
20260825,NSGA_II_F,OFFICIAL_JMETAL_CORE,50000,0.8995605103892531,0.07852440105633443,0.029118943045819995,0.042042042042042045,1.0,0.0,0.978021978021978,100,188.28917471713038,8492.353995214795,12574.223008002937
20260825,SPEA2_F,OFFICIAL_JMETAL_CORE,50000,0.9102562568397803,0.068472643307281,0.020041075697660077,0.07507507507507508,1.0,0.0,0.989010989010989,100,191.89658431799995,8555.576308399755,12468.751539241963
20260826,ZHANGBO_A4,ZHANGBO_CURRENT,50000,0.6492085945479951,0.20627964631829548,0.03824955635970037,0.0,1.0,0.2835820895522388,0.43956043956043955,134,201.32728636958814,8592.17812550038,12915.943427079565
20260826,HMOPSO_QGS_F,ZHANGBO_CURRENT,50000,0.47716717727089575,0.3210311464694752,0.044032181961705164,0.0,1.0,0.38202247191011235,0.2087912087912088,89,183.73252301899586,8889.701376958037,12726.315144850014
20260826,HMOPSO_QLS_F,PAPER_AUTHOR_SOURCE,49987,0.0867714708555865,0.6727180845020663,0.06004740363357534,0.0,1.0,1.0,0.0,17,232.0261591328432,10589.259681059099,14740.832176215055
20260826,MOPSO_F,PAPER_AUTHOR_SOURCE,50000,0.06032845169081106,0.7242526208363008,0.1365678320386224,0.0,1.0,1.0,0.0,15,215.69783690651224,10436.376102657836,17912.606976943127
20260826,MOPSODS_DE_F,PAPER_AUTHOR_SOURCE,50000,0.3900261903576676,0.3341235289727862,0.023844465415327337,0.09309309309309309,1.0,0.014184397163120567,0.17582417582417584,141,172.3420470190446,9971.832982664946,14896.701315608047
20260826,MOHEADE_F,PAPER_AUTHOR_SOURCE,50000,0.1995677205249745,0.470298151234557,0.0,0.0,1.0,0.0,0.01098901098901099,100,242.04008467987896,10489.716112941504,15378.232508964156
20260826,NSGA_II_F,OFFICIAL_JMETAL_CORE,50000,0.9149165842222403,0.09135839849257275,0.025514402643823722,0.042042042042042045,1.0,0.0,0.967032967032967,100,176.70170732097057,8406.956743913508,12467.784994576308
20260826,SPEA2_F,OFFICIAL_JMETAL_CORE,50000,0.849520676165745,0.10552832989250566,0.021376550750301742,0.018018018018018018,1.0,0.0,0.9010989010989011,100,189.3731035371162,8565.80346804814,12594.509660521002
