seed,cycle,fe,Nmerge,Nunique,Nnd,Roverflow
20260902,1,6775,275,219,21,0.21
20260902,2,13491,261,222,21,0.21
20260902,3,20281,251,210,26,0.26
20260902,4,27182,241,198,37,0.37
20260902,5,34238,260,221,38,0.38
20260902,6,41501,250,201,56,0.56
20260902,7,49036,256,215,45,0.45
20260902,8,56932,251,204,56,0.56
20260902,9,65313,267,224,67,0.67
20260902,10,74366,260,222,63,0.63
20260902,11,84405,271,236,67,0.67
20260902,12,96025,269,234,76,0.76
