seed,cycle,fe,workingBestCmax,archiveBestCmax,cmaxGap,workingBestTEC,archiveBestTEC,tecGap,workingBestTWC,archiveBestTWC,twcGap,workingSize,archiveSize
20260902,1,6775,825.5383504507299,825.5383504507299,0.0,123863.3623497191,122963.56561239953,899.7967373195715,359112.75041106215,352236.74213194195,6876.0082791202,100,50
20260902,2,13491,785.1935305279023,785.1935305279023,0.0,121852.0925130197,121184.4256641155,667.6668489042058,340348.92753718677,334519.75906186865,5829.168475318118,100,83
20260902,3,20281,782.0825610055181,778.7069556608211,3.3756053446969645,121032.84460246123,120445.60801977807,587.2365826831665,333817.75437969447,333451.70747444464,366.0469052498229,100,105
20260902,4,27182,781.8580627439017,778.7069556608211,3.1511070830805465,119699.30538222569,119497.95838403444,201.34699819124944,327255.7091083062,325737.64018317056,1518.0689251356525,100,109
20260902,5,34238,773.9721960952394,770.3218374281895,3.650358667049886,119699.30538222569,118796.8087457403,902.4966364853899,325828.72058398434,324189.91161129175,1638.8089726925828,100,93
20260902,6,41501,764.0837251210728,764.0837251210728,0.0,118614.59688930567,117649.84809288837,964.7487964173051,323694.8799627867,320807.29056500643,2887.589397780248,100,119
20260902,7,49036,764.0837251210728,764.0837251210728,0.0,118157.05889626185,117649.84809288837,507.21080337348394,323694.8799627867,318101.3152302418,5593.564732544881,100,107
20260902,8,56932,764.0837251210728,764.0837251210728,0.0,118157.05889626185,117594.06111058686,562.9977856749902,319546.8287121027,318101.3152302418,1445.5134818609222,100,148
20260902,9,65313,764.0837251210728,764.0837251210728,0.0,117716.8227279532,116975.00207083023,741.8206571229675,319546.8287121027,316806.7642610313,2740.0644510714337,100,167
20260902,10,74366,764.0837251210728,764.0837251210728,0.0,117716.8227279532,116861.79069902698,855.0320289262163,319546.8287121027,316806.7642610313,2740.0644510714337,100,189
20260902,11,84405,764.0837251210728,764.0837251210728,0.0,117355.6617043877,116794.49818310411,561.1635212835972,319546.8287121027,316806.7642610313,2740.0644510714337,100,224
20260902,12,96025,764.0837251210728,764.0837251210728,0.0,117226.15144697097,116616.33203308584,609.819413885125,319546.8287121027,314505.0605444681,5041.768167634611,100,224
