runKey,profile,instance,seed,pddrSelectionMode,observationMode,pddrEvents,archiveInsertions,globalOffspringFE,caTaTestCalls,caTaApplyCalls,caTaLiteFE,formalLocalFE,inheritedLocalEventOps,inheritedLocalAccepted,decisionFrontSize,observedFullFrontSize,minCmax,minTEC,minTWC,poolLevelAttribution
run-GAPL50K-C0-50_2_3_1-20260907,C0,50_2_3_1,20260907,GLOBAL_ORIGINAL,POST_HOC_PARSE_ONLY,6,600,30000,1250,324,1574,16595,4096,1076,315,457,327.143235215021,20986.969281118810,33426.304038135640,NOT_EXPORTED_BY_FROZEN_JAR
run-GAPL50K-C1-50_2_3_1-20260907,C1,50_2_3_1,20260907,GLOBAL_ORIGINAL,POST_HOC_PARSE_ONLY,6,600,30000,1071,365,1436,13823,4096,202,246,362,322.661195848627,20952.656957973464,33463.772705153664,NOT_EXPORTED_BY_FROZEN_JAR
run-GAPL50K-C2-50_2_3_1-20260907,C2,50_2_3_1,20260907,GLOBAL_ORIGINAL,POST_HOC_PARSE_ONLY,7,700,35000,1386,395,1781,13119,3733,251,272,376,327.143235215021,21071.876821825994,33474.318744511040,NOT_EXPORTED_BY_FROZEN_JAR
run-GAPL50K-C3-50_2_3_1-20260907,C3,50_2_3_1,20260907,GLOBAL_ORIGINAL,POST_HOC_PARSE_ONLY,7,700,35000,1376,395,1771,12165,3752,179,324,414,326.974040994844,20789.561319055887,33574.060716614110,NOT_EXPORTED_BY_FROZEN_JAR
run-GAPL50K-C0-100_5_3_1-20260907,C0,100_5_3_1,20260907,GLOBAL_ORIGINAL,POST_HOC_PARSE_ONLY,6,600,30000,1163,346,1509,16660,4096,274,122,172,785.568573469122,119448.299860238560,323328.759793166770,NOT_EXPORTED_BY_FROZEN_JAR
run-GAPL50K-C1-100_5_3_1-20260907,C1,100_5_3_1,20260907,GLOBAL_ORIGINAL,POST_HOC_PARSE_ONLY,6,600,30000,1073,367,1440,13819,3911,167,128,186,781.196481838411,119822.298821404070,330566.098655576500,NOT_EXPORTED_BY_FROZEN_JAR
run-GAPL50K-C2-100_5_3_1-20260907,C2,100_5_3_1,20260907,GLOBAL_ORIGINAL,POST_HOC_PARSE_ONLY,7,700,35000,1206,439,1645,13255,3774,124,125,191,789.070789042061,119842.989470634930,328570.160932468800,NOT_EXPORTED_BY_FROZEN_JAR
run-GAPL50K-C3-100_5_3_1-20260907,C3,100_5_3_1,20260907,GLOBAL_ORIGINAL,POST_HOC_PARSE_ONLY,7,700,35000,1243,430,1673,12263,3777,76,144,253,789.070789042061,118837.602257266320,328637.852671619850,NOT_EXPORTED_BY_FROZEN_JAR
run-GAPL50K-C0-50_2_3_1-20260914,C0,50_2_3_1,20260914,GLOBAL_ORIGINAL,POST_HOC_PARSE_ONLY,6,600,30000,1207,329,1536,16633,4096,851,373,492,325.992036196331,21025.167364630983,35558.302965590774,NOT_EXPORTED_BY_FROZEN_JAR
run-GAPL50K-C1-50_2_3_1-20260914,C1,50_2_3_1,20260914,GLOBAL_ORIGINAL,POST_HOC_PARSE_ONLY,6,600,30000,1143,347,1490,13769,4096,659,202,245,326.875325476401,21110.818428350358,36000.057864256070,NOT_EXPORTED_BY_FROZEN_JAR
run-GAPL50K-C2-50_2_3_1-20260914,C2,50_2_3_1,20260914,GLOBAL_ORIGINAL,POST_HOC_PARSE_ONLY,7,700,35000,1562,352,1914,12986,3688,287,216,317,331.026101904715,21150.129727081150,34658.822125057020,NOT_EXPORTED_BY_FROZEN_JAR
run-GAPL50K-C3-50_2_3_1-20260914,C3,50_2_3_1,20260914,GLOBAL_ORIGINAL,POST_HOC_PARSE_ONLY,7,700,35000,1576,350,1926,12010,3722,206,376,473,328.936245261133,21064.675823800600,35953.152823892415,NOT_EXPORTED_BY_FROZEN_JAR
run-GAPL50K-C0-100_5_3_1-20260914,C0,100_5_3_1,20260914,GLOBAL_ORIGINAL,POST_HOC_PARSE_ONLY,6,600,30000,1003,384,1387,16782,4096,271,176,332,790.544106709885,120083.430774496580,330661.126682908300,NOT_EXPORTED_BY_FROZEN_JAR
run-GAPL50K-C1-100_5_3_1-20260914,C1,100_5_3_1,20260914,GLOBAL_ORIGINAL,POST_HOC_PARSE_ONLY,6,600,30000,881,412,1293,13966,3941,117,181,302,789.510580861772,119528.178683673450,324326.905671111660,NOT_EXPORTED_BY_FROZEN_JAR
run-GAPL50K-C2-100_5_3_1-20260914,C2,100_5_3_1,20260914,GLOBAL_ORIGINAL,POST_HOC_PARSE_ONLY,7,700,35000,1256,426,1682,13218,3745,147,86,111,769.321013157564,118945.308537540880,329331.271355790960,NOT_EXPORTED_BY_FROZEN_JAR
run-GAPL50K-C3-100_5_3_1-20260914,C3,100_5_3_1,20260914,GLOBAL_ORIGINAL,POST_HOC_PARSE_ONLY,7,700,35000,1273,422,1695,12241,3770,181,131,254,790.922150788812,118167.075239346450,326889.254847338400,NOT_EXPORTED_BY_FROZEN_JAR
