runKey,profile,instance,seed,betaMaxProfileTxt,betaMaxLocalFeBudget,betaMinProfileTxt,maxFEsProfileTxt,terminationKind,actualFE,remainingFE,outerCycles,formalQgRounds,totalLocalFE,formalLocalFE,caTaLiteFE,localFeShare,globalPhaseFE,cfvfOffspring,qgSelections,qpActions,frontSize,schedPredictedKind,schedPredictedCycles,schedPredictedTotalLocalFE,schedPredictedFinalFE,scheduleValidation
run-GAPL50K-C0-50_2_3_1-20260907,C0,50_2_3_1,20260907,0.65,0.650000,0.25,50000,PHASE_CONSISTENT_TAIL_STOP,48269,1731,6,300,18169,16595,1574,0.376411361329,30100,30000,1200,25100,315,PHASE_CONSISTENT_TAIL_STOP,6,18169,48269,MATCH
run-GAPL50K-C1-50_2_3_1-20260907,C1,50_2_3_1,20260907,0.55,0.550000,0.25,50000,PHASE_CONSISTENT_TAIL_STOP,45359,4641,6,300,15259,13823,1436,0.33640512357,30100,30000,1200,25100,246,PHASE_CONSISTENT_TAIL_STOP,6,15259,45359,MATCH
run-GAPL50K-C2-50_2_3_1-20260907,C2,50_2_3_1,20260907,0.45,0.450000,0.25,50000,EXACT_MAX_FE,50000,0,7,350,14900,13119,1781,0.298,35100,35000,1400,30100,272,EXACT_MAX_FE,7,14900,50000,MATCH
run-GAPL50K-C3-50_2_3_1-20260907,C3,50_2_3_1,20260907,0.35,0.350000,0.25,50000,PHASE_CONSISTENT_TAIL_STOP,49036,964,7,350,13936,12165,1771,0.284199363733,35100,35000,1400,30100,324,PHASE_CONSISTENT_TAIL_STOP,7,13936,49036,MATCH
run-GAPL50K-C0-100_5_3_1-20260907,C0,100_5_3_1,20260907,0.65,0.650000,0.25,50000,PHASE_CONSISTENT_TAIL_STOP,48269,1731,6,300,18169,16660,1509,0.376411361329,30100,30000,1200,25100,122,PHASE_CONSISTENT_TAIL_STOP,6,18169,48269,MATCH
run-GAPL50K-C1-100_5_3_1-20260907,C1,100_5_3_1,20260907,0.55,0.550000,0.25,50000,PHASE_CONSISTENT_TAIL_STOP,45359,4641,6,300,15259,13819,1440,0.33640512357,30100,30000,1200,25100,128,PHASE_CONSISTENT_TAIL_STOP,6,15259,45359,MATCH
run-GAPL50K-C2-100_5_3_1-20260907,C2,100_5_3_1,20260907,0.45,0.450000,0.25,50000,EXACT_MAX_FE,50000,0,7,350,14900,13255,1645,0.298,35100,35000,1400,30100,125,EXACT_MAX_FE,7,14900,50000,MATCH
run-GAPL50K-C3-100_5_3_1-20260907,C3,100_5_3_1,20260907,0.35,0.350000,0.25,50000,PHASE_CONSISTENT_TAIL_STOP,49036,964,7,350,13936,12263,1673,0.284199363733,35100,35000,1400,30100,144,PHASE_CONSISTENT_TAIL_STOP,7,13936,49036,MATCH
run-GAPL50K-C0-50_2_3_1-20260914,C0,50_2_3_1,20260914,0.65,0.650000,0.25,50000,PHASE_CONSISTENT_TAIL_STOP,48269,1731,6,300,18169,16633,1536,0.376411361329,30100,30000,1200,25100,373,PHASE_CONSISTENT_TAIL_STOP,6,18169,48269,MATCH
run-GAPL50K-C1-50_2_3_1-20260914,C1,50_2_3_1,20260914,0.55,0.550000,0.25,50000,PHASE_CONSISTENT_TAIL_STOP,45359,4641,6,300,15259,13769,1490,0.33640512357,30100,30000,1200,25100,202,PHASE_CONSISTENT_TAIL_STOP,6,15259,45359,MATCH
run-GAPL50K-C2-50_2_3_1-20260914,C2,50_2_3_1,20260914,0.45,0.450000,0.25,50000,EXACT_MAX_FE,50000,0,7,350,14900,12986,1914,0.298,35100,35000,1400,30100,216,EXACT_MAX_FE,7,14900,50000,MATCH
run-GAPL50K-C3-50_2_3_1-20260914,C3,50_2_3_1,20260914,0.35,0.350000,0.25,50000,PHASE_CONSISTENT_TAIL_STOP,49036,964,7,350,13936,12010,1926,0.284199363733,35100,35000,1400,30100,376,PHASE_CONSISTENT_TAIL_STOP,7,13936,49036,MATCH
run-GAPL50K-C0-100_5_3_1-20260914,C0,100_5_3_1,20260914,0.65,0.650000,0.25,50000,PHASE_CONSISTENT_TAIL_STOP,48269,1731,6,300,18169,16782,1387,0.376411361329,30100,30000,1200,25100,176,PHASE_CONSISTENT_TAIL_STOP,6,18169,48269,MATCH
run-GAPL50K-C1-100_5_3_1-20260914,C1,100_5_3_1,20260914,0.55,0.550000,0.25,50000,PHASE_CONSISTENT_TAIL_STOP,45359,4641,6,300,15259,13966,1293,0.33640512357,30100,30000,1200,25100,181,PHASE_CONSISTENT_TAIL_STOP,6,15259,45359,MATCH
run-GAPL50K-C2-100_5_3_1-20260914,C2,100_5_3_1,20260914,0.45,0.450000,0.25,50000,EXACT_MAX_FE,50000,0,7,350,14900,13218,1682,0.298,35100,35000,1400,30100,86,EXACT_MAX_FE,7,14900,50000,MATCH
run-GAPL50K-C3-100_5_3_1-20260914,C3,100_5_3_1,20260914,0.35,0.350000,0.25,50000,PHASE_CONSISTENT_TAIL_STOP,49036,964,7,350,13936,12241,1695,0.284199363733,35100,35000,1400,30100,131,PHASE_CONSISTENT_TAIL_STOP,7,13936,49036,MATCH
