section,instance,profile,seed,gate,verdict,detail
GATE,100_5_3_1,C3,BOTH,G2_perUStrict,PASS,"u grid=[[1702, 1693, 1684, 1675], [1811, 1775, 1738, 1702], [2002, 1915, 1830, 1747], [2288, 2122, 1963, 1811], [2692, 2407, 2142, 1896], [3250, 2788, 2374, 2002], [4025, 3291, 2668, 2132], [5121, 3960, 3038, 2288], [6737, 4861, 3503, 2473]]"
GATE,100_5_3_1,C3,BOTH,G3_shareC0gtC3,PASS,"shares per seed={'20260907': '0.284199', '20260914': '0.284199'}"
GATE,100_5_3_1,C3,BOTH,G3_shareMedianOrdering,PASS,"profileMedians={'C0': '0.376411', 'C1': '0.336405', 'C2': '0.298000', 'C3': '0.284199'}"
GATE,100_5_3_1,C3,BOTH,G3_adjacentDropsGE1pp,PASS,"overallDrops_pp=['4.00', '3.84', '1.38'] count>=1pp=3"
GATE,100_5_3_1,C3,BOTH,G3_totalLocalStrict,PASS,"totalLocalFE median=[18169.0, 15259.0, 14900.0, 13936.0] (exact-stop identity caveat: C2 is EXACT_MAX_FE)"
GATE,100_5_3_1,C3,BOTH,G4_outerCyclesNonDecreasing,PASS,"perSeed outerCycles={'20260907': [6, 6, 7, 7], '20260914': [6, 6, 7, 7]}"
GATE,100_5_3_1,C3,BOTH,G4_cfvfNonDecreasing,PASS,"perSeed cfvfOffspring={'20260907': [30000, 30000, 35000, 35000], '20260914': [30000, 30000, 35000, 35000]}"
SCHEDULE,ALL,C0,BOTH,closedFormSchedule,PREDICTION,"kind=PHASE_CONSISTENT_TAIL_STOP cycles=6 finalFE=48269 cumulative=18169 perCycleAvg=3028.17 windows=(open=5100,close=6803,alloc=1703,u=0.102000);(open=11803,close=13673,alloc=1870,u=0.236060);(open=18673,close=20875,alloc=2202,u=0.373460);(open=25875,close=28652,alloc=2777,u=0.517500);(open=33652,close=37442,alloc=3790,u=0.673040);(open=42442,close=48269,alloc=5827,u=0.848840)"
SCHEDULE,ALL,C1,BOTH,closedFormSchedule,PREDICTION,"kind=PHASE_CONSISTENT_TAIL_STOP cycles=6 finalFE=45359 cumulative=15259 perCycleAvg=2543.17 windows=(open=5100,close=6794,alloc=1694,u=0.102000);(open=11794,close=13612,alloc=1818,u=0.235880);(open=18612,close=20669,alloc=2057,u=0.372240);(open=25669,close=28121,alloc=2452,u=0.513380);(open=33121,close=36206,alloc=3085,u=0.662420);(open=41206,close=45359,alloc=4153,u=0.824120)"
SCHEDULE,ALL,C2,BOTH,closedFormSchedule,PREDICTION,"kind=EXACT_MAX_FE cycles=7 finalFE=50000 cumulative=14900 perCycleAvg=2128.57 windows=(open=5100,close=6785,alloc=1685,u=0.102000);(open=11785,close=13551,alloc=1766,u=0.235700);(open=18551,close=20471,alloc=1920,u=0.371020);(open=25471,close=27633,alloc=2162,u=0.509420);(open=32633,close=35153,alloc=2520,u=0.652660);(open=40153,close=43204,alloc=3051,u=0.803060);(open=48204,close=50000,alloc=1796,u=0.964080)"
SCHEDULE,ALL,C3,BOTH,closedFormSchedule,PREDICTION,"kind=PHASE_CONSISTENT_TAIL_STOP cycles=7 finalFE=49036 cumulative=13936 perCycleAvg=1990.86 windows=(open=5100,close=6775,alloc=1675,u=0.102000);(open=11775,close=13491,alloc=1716,u=0.235500);(open=18491,close=20281,alloc=1790,u=0.369820);(open=25281,close=27182,alloc=1901,u=0.505620);(open=32182,close=34238,alloc=2056,u=0.643640);(open=39238,close=41501,alloc=2263,u=0.784760);(open=46501,close=49036,alloc=2535,u=0.930020)"
SCHEDULE_VALIDATION,50_2_3_1,C0,20260907,scheduleValidation,MATCH,"exported(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=6,total=18169) predicted(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=6,total=18169)"
SCHEDULE_VALIDATION,50_2_3_1,C1,20260907,scheduleValidation,MATCH,"exported(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=6,total=15259) predicted(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=6,total=15259)"
SCHEDULE_VALIDATION,50_2_3_1,C2,20260907,scheduleValidation,MATCH,"exported(kind=EXACT_MAX_FE,cycles=7,total=14900) predicted(kind=EXACT_MAX_FE,cycles=7,total=14900)"
SCHEDULE_VALIDATION,50_2_3_1,C3,20260907,scheduleValidation,MATCH,"exported(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=7,total=13936) predicted(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=7,total=13936)"
SCHEDULE_VALIDATION,100_5_3_1,C0,20260907,scheduleValidation,MATCH,"exported(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=6,total=18169) predicted(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=6,total=18169)"
SCHEDULE_VALIDATION,100_5_3_1,C1,20260907,scheduleValidation,MATCH,"exported(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=6,total=15259) predicted(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=6,total=15259)"
SCHEDULE_VALIDATION,100_5_3_1,C2,20260907,scheduleValidation,MATCH,"exported(kind=EXACT_MAX_FE,cycles=7,total=14900) predicted(kind=EXACT_MAX_FE,cycles=7,total=14900)"
SCHEDULE_VALIDATION,100_5_3_1,C3,20260907,scheduleValidation,MATCH,"exported(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=7,total=13936) predicted(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=7,total=13936)"
SCHEDULE_VALIDATION,50_2_3_1,C0,20260914,scheduleValidation,MATCH,"exported(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=6,total=18169) predicted(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=6,total=18169)"
SCHEDULE_VALIDATION,50_2_3_1,C1,20260914,scheduleValidation,MATCH,"exported(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=6,total=15259) predicted(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=6,total=15259)"
SCHEDULE_VALIDATION,50_2_3_1,C2,20260914,scheduleValidation,MATCH,"exported(kind=EXACT_MAX_FE,cycles=7,total=14900) predicted(kind=EXACT_MAX_FE,cycles=7,total=14900)"
SCHEDULE_VALIDATION,50_2_3_1,C3,20260914,scheduleValidation,MATCH,"exported(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=7,total=13936) predicted(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=7,total=13936)"
SCHEDULE_VALIDATION,100_5_3_1,C0,20260914,scheduleValidation,MATCH,"exported(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=6,total=18169) predicted(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=6,total=18169)"
SCHEDULE_VALIDATION,100_5_3_1,C1,20260914,scheduleValidation,MATCH,"exported(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=6,total=15259) predicted(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=6,total=15259)"
SCHEDULE_VALIDATION,100_5_3_1,C2,20260914,scheduleValidation,MATCH,"exported(kind=EXACT_MAX_FE,cycles=7,total=14900) predicted(kind=EXACT_MAX_FE,cycles=7,total=14900)"
SCHEDULE_VALIDATION,100_5_3_1,C3,20260914,scheduleValidation,MATCH,"exported(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=7,total=13936) predicted(kind=PHASE_CONSISTENT_TAIL_STOP,cycles=7,total=13936)"
AGGREGATE,ALL,ALL,BOTH,G1_structural,PASS,runtime betaMax per-value match 16/16=True; ladder 0.65>0.55>0.45>0.35=True
AGGREGATE,50_2_3_1,ALL,BOTH,G2_cumulativeStrict,PASS,"cumulative=[18169, 15259, 14900, 13936]"
AGGREGATE,50_2_3_1,ALL,BOTH,G2_perWindowStrict,PASS,"6 common windows=[[1703, 1694, 1685, 1675], [1870, 1818, 1766, 1716], [2202, 2057, 1920, 1790], [2777, 2452, 2162, 1901], [3790, 3085, 2520, 2056], [5827, 4153, 3051, 2263]]"
AGGREGATE,50_2_3_1,ALL,BOTH,G2_perUStrict,PASS,"u grid=[[1702, 1693, 1684, 1675], [1811, 1775, 1738, 1702], [2002, 1915, 1830, 1747], [2288, 2122, 1963, 1811], [2692, 2407, 2142, 1896], [3250, 2788, 2374, 2002], [4025, 3291, 2668, 2132], [5121, 3960, 3038, 2288], [6737, 4861, 3503, 2473]]"
AGGREGATE,100_5_3_1,ALL,BOTH,G2_cumulativeStrict,PASS,"cumulative=[18169, 15259, 14900, 13936]"
AGGREGATE,100_5_3_1,ALL,BOTH,G2_perWindowStrict,PASS,"6 common windows=[[1703, 1694, 1685, 1675], [1870, 1818, 1766, 1716], [2202, 2057, 1920, 1790], [2777, 2452, 2162, 1901], [3790, 3085, 2520, 2056], [5827, 4153, 3051, 2263]]"
AGGREGATE,100_5_3_1,ALL,BOTH,G2_perUStrict,PASS,"u grid=[[1702, 1693, 1684, 1675], [1811, 1775, 1738, 1702], [2002, 1915, 1830, 1747], [2288, 2122, 1963, 1811], [2692, 2407, 2142, 1896], [3250, 2788, 2374, 2002], [4025, 3291, 2668, 2132], [5121, 3960, 3038, 2288], [6737, 4861, 3503, 2473]]"
AGGREGATE,ALL,ALL,BOTH,G3_shareC0gtC3,PASS,"{'50_2_3_1|20260907': '0.376411>0.284199', '50_2_3_1|20260914': '0.376411>0.284199', '100_5_3_1|20260907': '0.376411>0.284199', '100_5_3_1|20260914': '0.376411>0.284199'}"
AGGREGATE,ALL,ALL,BOTH,G3_shareMedianOrdering,PASS,"overallMedians={'C0': '0.376411', 'C1': '0.336405', 'C2': '0.298000', 'C3': '0.284199'}; drops_pp=['4.00', '3.84', '1.38']"
AGGREGATE,ALL,ALL,BOTH,G3_adjacentDropsGE1pp,PASS,count=3 (need >=2)
AGGREGATE,ALL,ALL,BOTH,G3_totalLocalStrict,PASS,"totals=[18169.0, 15259.0, 14900.0, 13936.0] (exact-stop identity caveat applies to totalLocalFE, not localFeShare)"
AGGREGATE,ALL,ALL,BOTH,G4_behaviour,PASS,"{'50_2_3_1|20260907': 'cyc=[6, 6, 7, 7] cfvf=[30000, 30000, 35000, 35000] pass=True', '50_2_3_1|20260914': 'cyc=[6, 6, 7, 7] cfvf=[30000, 30000, 35000, 35000] pass=True', '100_5_3_1|20260907': 'cyc=[6, 6, 7, 7] cfvf=[30000, 30000, 35000, 35000] pass=True', '100_5_3_1|20260914': 'cyc=[6, 6, 7, 7] cfvf=[30000, 30000, 35000, 35000] pass=True'}"
AGGREGATE,ALL,ALL,BOTH,DOSE_RESOLUTION_GATE,PASSED,"G1=True G2(cum,win,u)=(((True, True, True), (True, True, True))) G3=True G4=True failedPattern(C0-only-separation)=False"
