checkpointTargetFE,checkpointObservedFE,overshootFE,evaluationCounterFE,frontType,frontSize
50000,50000,0,50026,checkpoint-decision-front,154
50000,50000,0,50026,checkpoint-observed-full-front,208
100000,100000,0,100000,checkpoint-decision-front,235
100000,100000,0,100000,checkpoint-observed-full-front,336
150000,150000,0,150000,checkpoint-decision-front,226
150000,150000,0,150000,checkpoint-observed-full-front,326
200000,200000,0,200021,checkpoint-decision-front,261
200000,200000,0,200021,checkpoint-observed-full-front,372
249003,249003,0,249003,terminal-decision-front,297
249003,249003,0,249003,terminal-observed-full-front,496
