instance,hvBaseline,hvFull,hvRatio,hvUnion,hvFullShare,hvBaselineShare,cBaselineOverFull,cFullOverBaseline,igdBaseline,igdFull,unionNondominated,baseNondominated,fullNondominated
10_2_2_1,1.052112,1.056969,1.004616,1.068923,0.988816,0.984272,0.396040,0.286486,0.015886,0.017900,255,185,202
10_2_3_1,1.000767,1.004358,1.003589,1.031659,0.973537,0.970055,0.221053,0.474178,0.033227,0.031857,276,230,190
10_3_2_1,0.849420,0.911192,1.072722,0.939563,0.969804,0.904058,0.348837,0.400000,0.043753,0.026681,153,115,129
