instance,arm,status,FE,frontSize,minCmax,minTEC,minTWC,cfvfOffspring,caTaLiteFE,archiveInsertions,dscrTeacherUses,dscrDominated,formalQgRounds,algorithmRunSeconds
10_2_2_1,baseline,COMPLETED,500000,185,44.583776,1907.091783,2624.319106,0,0,0,-1,-1,800,11.907
10_2_2_1,full,COMPLETED,500000,240,44.460898,1901.412509,2604.382868,80000,3898,1600,3200,0,800,25.907
10_2_3_1,baseline,COMPLETED,500000,231,49.158706,2744.431804,3249.504284,0,0,0,-1,-1,1000,18.649
10_2_3_1,full,COMPLETED,500000,176,48.717730,2722.441239,3280.285960,100000,4933,2000,4000,0,1000,30.662
10_3_2_1,baseline,COMPLETED,499642,115,93.677953,4785.614523,6216.800498,0,0,0,-1,-1,800,11.533
10_3_2_1,full,COMPLETED,499899,110,92.513950,4750.774861,6078.970245,80000,3559,1600,3200,0,800,21.649
