seed,windowEndFE,rounds,meanNmerge,meanNnd,maxNnd,meanRoverflow,maxRoverflow
20260901,50000,1,300.0,40.0,40,0.4,0.4
20260901,100000,2,299.0,50.5,59,0.505,0.59
