seed,arm,retainedRewardEvents,directionMin,directionMedian,directionMax,directionOutsideMinus1Plus1,directionBelowMinus1e6,rewardMin,rewardMedian,rewardMax
20260822,A3,700,-33306171913.79857,-0.23804634478594233,0.9708978684764483,153,1,-33306171915.28084,0.42186104227970855,3.2781801947270908
20260822,A3_CLIPPED,700,-1.0,-0.1465189659134857,0.9999999999912511,0,0,-3.0917341221169465,0.573891995723485,3.3291285300769484
20260823,A3,700,-21.60565163609973,-0.2085264138843883,0.8767116451434029,125,0,-21.872072098810197,0.41702642791286315,3.1159024165829625
20260823,A3_CLIPPED,700,-1.0,-0.18036723457040954,0.873924075554224,0,0,-3.0773370020178032,0.4831905097787741,3.147422218911989
20260824,A3,700,-38.330420126219074,-0.19079818215799355,0.8798815432326436,87,0,-39.825202840662065,0.486867036141881,3.2303203140747594
20260824,A3_CLIPPED,700,-1.0,-0.18353660218365064,0.9894793773354659,0,0,-3.0715246274057315,0.4974176259902779,3.4795604733991863
