runKey,profile,betaMax,instance,seed,population,maxFEs,outputDir,remoteWorkDir
GAPL50K-C0-50_2_3_1-20260907,C0,0.65,50_2_3_1,20260907,100,50000,results/run-GAPL50K-C0-50_2_3_1-20260907,seed-20260907
GAPL50K-C1-50_2_3_1-20260907,C1,0.55,50_2_3_1,20260907,100,50000,results/run-GAPL50K-C1-50_2_3_1-20260907,seed-20260907
GAPL50K-C2-50_2_3_1-20260907,C2,0.45,50_2_3_1,20260907,100,50000,results/run-GAPL50K-C2-50_2_3_1-20260907,seed-20260907
GAPL50K-C3-50_2_3_1-20260907,C3,0.35,50_2_3_1,20260907,100,50000,results/run-GAPL50K-C3-50_2_3_1-20260907,seed-20260907
GAPL50K-C0-50_2_3_1-20260914,C0,0.65,50_2_3_1,20260914,100,50000,results/run-GAPL50K-C0-50_2_3_1-20260914,seed-20260914
GAPL50K-C1-50_2_3_1-20260914,C1,0.55,50_2_3_1,20260914,100,50000,results/run-GAPL50K-C1-50_2_3_1-20260914,seed-20260914
GAPL50K-C2-50_2_3_1-20260914,C2,0.45,50_2_3_1,20260914,100,50000,results/run-GAPL50K-C2-50_2_3_1-20260914,seed-20260914
GAPL50K-C3-50_2_3_1-20260914,C3,0.35,50_2_3_1,20260914,100,50000,results/run-GAPL50K-C3-50_2_3_1-20260914,seed-20260914
GAPL50K-C0-100_5_3_1-20260907,C0,0.65,100_5_3_1,20260907,100,50000,results/run-GAPL50K-C0-100_5_3_1-20260907,seed-20260907
GAPL50K-C1-100_5_3_1-20260907,C1,0.55,100_5_3_1,20260907,100,50000,results/run-GAPL50K-C1-100_5_3_1-20260907,seed-20260907
GAPL50K-C2-100_5_3_1-20260907,C2,0.45,100_5_3_1,20260907,100,50000,results/run-GAPL50K-C2-100_5_3_1-20260907,seed-20260907
GAPL50K-C3-100_5_3_1-20260907,C3,0.35,100_5_3_1,20260907,100,50000,results/run-GAPL50K-C3-100_5_3_1-20260907,seed-20260907
GAPL50K-C0-100_5_3_1-20260914,C0,0.65,100_5_3_1,20260914,100,50000,results/run-GAPL50K-C0-100_5_3_1-20260914,seed-20260914
GAPL50K-C1-100_5_3_1-20260914,C1,0.55,100_5_3_1,20260914,100,50000,results/run-GAPL50K-C1-100_5_3_1-20260914,seed-20260914
GAPL50K-C2-100_5_3_1-20260914,C2,0.45,100_5_3_1,20260914,100,50000,results/run-GAPL50K-C2-100_5_3_1-20260914,seed-20260914
GAPL50K-C3-100_5_3_1-20260914,C3,0.35,100_5_3_1,20260914,100,50000,results/run-GAPL50K-C3-100_5_3_1-20260914,seed-20260914
