arm,status,FE,caTaTestCalls,caTaApplyCalls,caTaLiteFE,decisions,testDecisions,applyDecisions,legalDecisions,actionLines,reasons,macrosSeen,n4Accepted,n5Accepted,frontSize,minCmax
full-20k-20_2_3_1,COMPLETED,20000,190,59,249,100,41,59,100,249,APPLY_BEST+APPLY_EXPLORE+APPLY_HORIZON_COMPLETE_TEST+CONSECUTIVE_APPLY_FAILURE_RETEST+TEST,N1+N2+N3+N4+N5,11,4,82,196.162206
full-5k-I1-10_2_2_1,COMPLETED,5000,32,13,45,20,7,13,20,45,APPLY_BEST+TEST,N1+N2+N3+N4+N5,3,2,64,45.666708
