instance,matrix,label,seed,status,HV,IGD,Spacing,C_A_R,C_R_A,nondominatedCount,minCmax,minTEC,minTWC
"20_2_3_1","FM","FM0",20260808,COMPLETED,0.32315651944762660,0.68295268255077290,0.011449740131897033,0.062857142857142860,1.0000000000000000,20,112.24489795918367,11097.684981684983,9101.7838827838820
"20_2_3_1","FM","FM0",20260809,COMPLETED,0.30443897471880943,0.71415308833741700,0.0047572378111262305,0.0057142857142857140,1.0000000000000000,15,113.44217687074831,11133.618001046574,9221.7399267399250
"20_2_3_1","FM","FM0",20260810,COMPLETED,0.28310336924758633,0.70799975053905280,0.013232546569164092,0.0000000000000000,1.0000000000000000,25,112.24489795918367,11165.611721611722,9347.9285714285690
"20_2_3_1","FM","FM1",20260808,NOT_EXPOSED,NA,NA,NA,NA,NA,0,NA,NA,NA
"20_2_3_1","FM","FM1",20260809,NOT_EXPOSED,NA,NA,NA,NA,NA,0,NA,NA,NA
"20_2_3_1","FM","FM1",20260810,NOT_EXPOSED,NA,NA,NA,NA,NA,0,NA,NA,NA
"20_2_3_1","FM","FM2",20260808,NOT_EXPOSED,NA,NA,NA,NA,NA,0,NA,NA,NA
"20_2_3_1","FM","FM2",20260809,NOT_EXPOSED,NA,NA,NA,NA,NA,0,NA,NA,NA
"20_2_3_1","FM","FM2",20260810,NOT_EXPOSED,NA,NA,NA,NA,NA,0,NA,NA,NA
"20_2_3_1","FM","FM3",20260808,COMPLETED,0.28707280947550610,0.34821430761221350,0.040423227642896300,0.0000000000000000,1.0000000000000000,56,220.19593012476366,9864.5328382078260,13614.904996429748
"20_2_3_1","FM","FM3",20260809,COMPLETED,0.35368039154150965,0.28998900026105956,0.030371568460650148,0.045714285714285714,1.0000000000000000,49,207.74577922332958,9509.5337365963530,13502.975187532658
"20_2_3_1","FM","FM3",20260810,COMPLETED,0.29374432598677347,0.36751306437076875,0.035192044117253950,0.011428571428571429,1.0000000000000000,59,213.53388523555975,9565.2387165038560,13660.879681404518
"20_2_3_1","FULL","B0",20260808,COMPLETED,0.23848015754798582,0.72958858641837100,0.0093691362032297420,0.0000000000000000,1.0000000000000000,7,113.44217687074831,11268.535845107273,9290.9963369963350
"20_2_3_1","FULL","B0",20260809,COMPLETED,0.33861875931013510,0.70609913459061780,0.0052839943134509370,0.13142857142857142,1.0000000000000000,25,113.44217687074831,11063.508634222919,9169.8827838827820
"20_2_3_1","FULL","B0",20260810,COMPLETED,0.20731734790019823,0.74094529746183850,0.0059623729564536050,0.0000000000000000,1.0000000000000000,12,112.24489795918367,11340.773678702251,9269.3443223443210
"20_2_3_1","FULL","B1",20260808,COMPLETED,0.31779798795352890,0.31655358332273610,0.029939599135169600,0.0000000000000000,1.0000000000000000,52,220.87284065671096,9853.1629137751390,13361.704889261135
"20_2_3_1","FULL","B1",20260809,COMPLETED,0.34240544074366440,0.30776666803619800,0.035534896819226240,0.068571428571428570,1.0000000000000000,55,217.75571724149242,9676.9501407892600,13392.460219803364
"20_2_3_1","FULL","B1",20260810,COMPLETED,0.29224291931556845,0.34634314005422010,0.031577547276571350,0.0057142857142857140,1.0000000000000000,42,215.87905784349084,9995.0688615525100,13646.103026021985
"20_2_3_1","FULL","B2",20260808,COMPLETED,0.40438580100674680,0.26391315236891070,0.042740984542469370,0.0000000000000000,1.0000000000000000,69,222.12637504010990,9235.4098808513680,13709.336285344958
"20_2_3_1","FULL","B2",20260809,COMPLETED,0.50142284907051880,0.21224926988942397,0.043044579376977240,0.062857142857142860,1.0000000000000000,62,221.68763864042467,8935.2439441968270,13199.123984055846
"20_2_3_1","FULL","B2",20260810,COMPLETED,0.45713665594048775,0.24064301076833240,0.047405122164676156,0.011428571428571429,1.0000000000000000,49,238.69713931789727,9058.3583544767930,13069.899595071867
"20_2_3_1","FULL","B3",20260808,COMPLETED,0.47873977641804966,0.21224981187704353,0.036885150775341820,0.028571428571428570,1.0000000000000000,70,205.51767813615550,8981.0263468808950,13460.046331040045
"20_2_3_1","FULL","B3",20260809,COMPLETED,0.48469862864573680,0.21585248185120900,0.034468159829408340,0.051428571428571430,1.0000000000000000,87,212.30989918821380,9027.1622162145500,13173.041530428596
"20_2_3_1","FULL","B3",20260810,COMPLETED,0.46717462669811540,0.22256789710489994,0.033865927012928910,0.011428571428571429,1.0000000000000000,71,225.56993111435270,9058.5711843617080,13198.453569602025
"20_2_3_1","FULL","B4",20260808,COMPLETED,0.45735294792814940,0.21277334339386230,0.035356572263167414,0.017142857142857144,1.0000000000000000,76,194.27463903430638,9376.3543631514300,13509.779315157219
"20_2_3_1","FULL","B4",20260809,COMPLETED,0.50608958874722510,0.22945371205706600,0.033764381874998285,0.097142857142857140,1.0000000000000000,53,221.47923093665105,9215.4560626708940,12864.601295589138
"20_2_3_1","FULL","B4",20260810,COMPLETED,0.52221317508148690,0.21589870019537596,0.047568113287518370,0.16000000000000000,1.0000000000000000,56,239.15251713105403,8960.7455503468850,12923.576949806307
"20_2_3_1","FULL","B5",20260808,COMPLETED,0.36069368744922140,0.28634745469072580,0.037341350082422224,0.0000000000000000,1.0000000000000000,54,207.08447912513319,9837.1441496847760,13261.220122554252
"20_2_3_1","FULL","B5",20260809,COMPLETED,0.49826169812647070,0.21533821080834445,0.033530362635082224,0.068571428571428570,1.0000000000000000,84,194.86728295461790,8972.2662549942030,13264.027725511450
"20_2_3_1","FULL","B5",20260810,COMPLETED,0.46417076989522820,0.20751863478807214,0.040731553218358730,0.062857142857142860,1.0000000000000000,65,222.71824934689155,9134.3137584189900,13142.842681382604
"20_2_3_1","FULL","B6",20260808,NOT_EXPOSED,NA,NA,NA,NA,NA,0,NA,NA,NA
"20_2_3_1","FULL","B6",20260809,NOT_EXPOSED,NA,NA,NA,NA,NA,0,NA,NA,NA
"20_2_3_1","FULL","B6",20260810,NOT_EXPOSED,NA,NA,NA,NA,NA,0,NA,NA,NA
"20_2_3_1","FULL","B7",20260808,COMPLETED,0.35452991136545140,0.28741614280199180,0.033298533069424320,0.0000000000000000,1.0000000000000000,84,201.47172103458166,9246.4616616428000,13209.778535565483
"20_2_3_1","FULL","B7",20260809,COMPLETED,0.37784164985065610,0.28535868584065610,0.031276702690619770,0.0057142857142857140,1.0000000000000000,70,208.06573608881297,9435.3467866622450,13460.839165537383
"20_2_3_1","FULL","B7",20260810,COMPLETED,0.42066349279913123,0.23133225359177537,0.063014396287557940,0.062857142857142860,1.0000000000000000,61,221.60622688400042,9461.0197035894630,13439.591185497615
