instance,instanceSha256,matrix,label,seed,status,reason,configurationSha256,initialPopulationSha256,fullEvaluations,wallClockMillis,cpuNanos,cfvfRepairs,caTaEvaluations,illegalSolutions,Fmax,Favg,FE,VarFw,highFatigueRatio,longestContinuousWork,totalNaturalRecovery,loadImbalance,frontSize
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM3",20260809,COMPLETED,"MAX_FES_REACHED","feba247e718a8ab2874c42b9ad6cc4afc679d03ab7327a41050b08d1de109e2b","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,128,125000000,0,0,0,0.99998113497630780,0.68140414807790880,55.518625945743790,0.057114885343332120,0.087323543783611050,239.83256027517712,362.30164202101196,0.56452943129657600,57
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM3",20260810,COMPLETED,"MAX_FES_REACHED","feba247e718a8ab2874c42b9ad6cc4afc679d03ab7327a41050b08d1de109e2b","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,136,140625000,0,0,0,0.99999192067097980,0.68372390759925550,52.913368912000685,0.053078098207629110,0.092605403932705530,226.67522904283345,360.61201031180630,0.50939960063781190,61
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B0",20260808,COMPLETED,"MAX_FES_REACHED","7d984a45010462ffc74a4be1a2d11576550280f38e43f14e2c8dee107963df4d","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,116,125000000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,10
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B0",20260809,COMPLETED,"MAX_FES_REACHED","7d984a45010462ffc74a4be1a2d11576550280f38e43f14e2c8dee107963df4d","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,101,109375000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,25
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B0",20260810,COMPLETED,"MAX_FES_REACHED","7d984a45010462ffc74a4be1a2d11576550280f38e43f14e2c8dee107963df4d","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,113,109375000,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,14
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B1",20260808,COMPLETED,"MAX_FES_REACHED","693ec0fb9073e03afd5fcba2c0dae0ae1b1c3cbd0ef8595e4e1c4867d53fa9ef","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,149,140625000,0,0,0,0.99977355026142590,0.67849334190130020,48.230578003653484,0.057985078490665710,0.095597787723817720,217.09895138276500,332.93182308203180,0.52357433290293510,55
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B1",20260809,COMPLETED,"MAX_FES_REACHED","693ec0fb9073e03afd5fcba2c0dae0ae1b1c3cbd0ef8595e4e1c4867d53fa9ef","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,127,125000000,0,0,0,0.99996519566077800,0.67794837869496370,46.619392876356070,0.052971095925871730,0.088153645622465080,211.38359383365372,340.84768711319420,0.51246035983745910,59
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B1",20260810,COMPLETED,"MAX_FES_REACHED","693ec0fb9073e03afd5fcba2c0dae0ae1b1c3cbd0ef8595e4e1c4867d53fa9ef","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,131,125000000,0,0,0,0.99999136354514350,0.67267245408509320,46.752854932915350,0.052666333260463450,0.087626272567967750,227.28161675630517,358.20902270917986,0.49042476444378820,42
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B2",20260808,COMPLETED,"MAX_FES_REACHED","c6ca0246630bf6e282b3370a201f639d6ae8a6911cfe0a417ae8ba1afb3ee1fd","bf204db566288948d54aeb4800f781fc5fe97abf01d8d6505e4b4bb5167dd12a",2000,217,218750000,0,0,0,0.99997913589196200,0.66728046959491880,48.324564012054680,0.052108803094014820,0.083833350836259440,225.83407981651303,439.43925484787945,0.57234912974533300,69
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B2",20260809,COMPLETED,"MAX_FES_REACHED","a68c66a0780813536f6911c3906ef8b336383a425d6ed3fe195a30aed8e2ab7e","23a9c46b99d0a067ad7ccdd4050557a58bfaf855ee405c10191cd3eb528d3749",2000,167,156250000,0,0,0,0.99999508411998150,0.68884050287827110,45.853405333143700,0.052539861286184514,0.078445624880744120,217.09099524819210,455.23076320944483,0.57732027512116620,62
"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FULL","B2",20260810,COMPLETED,"MAX_FES_REACHED","138813ba8b27f6185e71b34e1a6cb27d51e7673e6891546de5b6b052ef1aabf8","02349f62489674b67e1473939205d0b99c031a82e2e0144e553b2a3f70657d78",2000,183,187500000,0,0,0,0.99996392869011120,0.68105190909392570,46.960046626710570,0.054611276936551780,0.084407954584292640,219.72005106888625,436.31834431473150,0.56436733888762040,49
