instance,arm,seed,cycle,fe,pool,ndTotal,g1Lt1,g1Eq1,g1Total,g2Lt1,g2Eq1,g2Total,g3Lt1,g3Eq1,g3Total,g4Lt1,g4Eq1,g4Total,ovfLt1,ovfEq1,ovfTotal,rejG1,rejG2,rejG3,rejG4,rejOvf,rejTotal,absorbable,absorbRate,ovfRate
100_2_3_1,BASE,20260823,59,465273,282,102,15,0,15,55,0,55,15,0,15,15,0,15,2,0,2,2,0,0,0,0,2,2,1.0,0.0196078431372549
100_2_3_1,BASE,20260823,60,477894,265,90,15,0,15,55,0,55,15,0,15,5,0,5,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260823,61,491160,275,106,15,0,15,55,0,55,15,0,15,15,0,15,6,0,6,5,0,1,0,0,6,6,1.0,0.05660377358490566
100_2_3_1,BASE,20260823,62,500000,261,101,15,0,15,55,0,55,15,0,15,15,0,15,1,0,1,0,0,0,1,0,1,1,1.0,0.009900990099009901
100_2_3_1,BASE,20260824,1,6767,279,16,15,0,15,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260824,2,13435,302,34,15,0,15,19,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260824,3,20106,291,42,15,0,15,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260824,4,26781,281,57,15,0,15,41,1,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260824,5,33462,285,49,15,0,15,33,1,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260824,6,40149,284,42,14,1,15,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260824,7,46844,263,70,15,0,15,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260824,8,53549,273,63,15,0,15,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260824,9,60264,276,62,15,0,15,47,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260824,10,66991,282,45,15,0,15,30,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260824,11,73732,276,39,15,0,15,24,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260824,12,80488,281,63,15,0,15,48,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260824,13,87260,283,57,15,0,15,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260824,14,94049,282,70,15,0,15,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260824,15,100858,278,105,14,1,15,55,0,55,14,1,15,15,0,15,5,0,5,1,0,3,1,0,5,5,1.0,0.047619047619047616
100_2_3_1,BASE,20260824,16,107687,277,102,15,0,15,55,0,55,15,0,15,15,0,15,2,0,2,0,0,0,2,0,2,2,1.0,0.0196078431372549
100_2_3_1,BASE,20260824,17,114539,274,111,15,0,15,55,0,55,15,0,15,15,0,15,11,0,11,0,0,4,7,0,11,11,1.0,0.0990990990990991
100_2_3_1,BASE,20260824,18,121415,284,101,15,0,15,55,0,55,15,0,15,15,0,15,1,0,1,0,0,0,1,0,1,1,1.0,0.009900990099009901
100_2_3_1,BASE,20260824,19,128316,266,105,15,0,15,55,0,55,15,0,15,15,0,15,5,0,5,0,0,3,1,1,5,4,0.8,0.047619047619047616
100_2_3_1,BASE,20260824,20,135245,267,108,15,0,15,55,0,55,15,0,15,15,0,15,8,0,8,4,0,2,2,0,8,8,1.0,0.07407407407407407
100_2_3_1,BASE,20260824,21,142203,259,112,15,0,15,55,0,55,15,0,15,15,0,15,12,0,12,0,0,9,1,2,12,10,0.8333333333333334,0.10714285714285714
100_2_3_1,BASE,20260824,22,149192,283,120,15,0,15,55,0,55,15,0,15,15,0,15,18,2,20,0,0,1,6,13,20,7,0.35,0.16666666666666666
100_2_3_1,BASE,20260824,23,156214,280,108,14,1,15,55,0,55,15,0,15,15,0,15,8,0,8,1,0,2,1,4,8,4,0.5,0.07407407407407407
100_2_3_1,BASE,20260824,24,163271,281,106,15,0,15,55,0,55,15,0,15,15,0,15,6,0,6,0,0,0,2,4,6,2,0.3333333333333333,0.05660377358490566
100_2_3_1,BASE,20260824,25,170366,282,102,15,0,15,55,0,55,15,0,15,15,0,15,2,0,2,0,0,2,0,0,2,2,1.0,0.0196078431372549
100_2_3_1,BASE,20260824,26,177500,281,100,15,0,15,55,0,55,15,0,15,15,0,15,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260824,27,184676,269,106,15,0,15,55,0,55,15,0,15,15,0,15,6,0,6,0,0,1,3,2,6,4,0.6666666666666666,0.05660377358490566
100_2_3_1,BASE,20260824,28,191896,272,102,15,0,15,55,0,55,15,0,15,15,0,15,2,0,2,0,0,2,0,0,2,2,1.0,0.0196078431372549
100_2_3_1,BASE,20260824,29,199163,271,112,15,0,15,55,0,55,15,0,15,15,0,15,12,0,12,0,0,5,5,2,12,10,0.8333333333333334,0.10714285714285714
100_2_3_1,BASE,20260824,30,206480,271,107,15,0,15,55,0,55,15,0,15,15,0,15,7,0,7,0,0,0,6,1,7,6,0.8571428571428571,0.06542056074766354
100_2_3_1,BASE,20260824,31,213849,273,108,13,2,15,55,0,55,15,0,15,15,0,15,8,0,8,3,0,2,2,1,8,7,0.875,0.07407407407407407
100_2_3_1,BASE,20260824,32,221274,275,117,15,0,15,55,0,55,15,0,15,15,0,15,17,0,17,0,0,7,7,3,17,14,0.8235294117647058,0.1452991452991453
100_2_3_1,BASE,20260824,33,228758,264,108,15,0,15,55,0,55,15,0,15,15,0,15,8,0,8,3,0,1,4,0,8,8,1.0,0.07407407407407407
100_2_3_1,BASE,20260824,34,236304,273,101,15,0,15,55,0,55,15,0,15,15,0,15,1,0,1,0,0,1,0,0,1,1,1.0,0.009900990099009901
100_2_3_1,BASE,20260824,35,243916,272,114,15,0,15,55,0,55,15,0,15,15,0,15,14,0,14,1,0,4,2,7,14,7,0.5,0.12280701754385964
100_2_3_1,BASE,20260824,36,251598,260,108,15,0,15,55,0,55,15,0,15,15,0,15,8,0,8,3,0,3,1,1,8,7,0.875,0.07407407407407407
100_2_3_1,BASE,20260824,37,259354,283,109,15,0,15,55,0,55,15,0,15,15,0,15,9,0,9,9,0,0,0,0,9,9,1.0,0.08256880733944955
100_2_3_1,BASE,20260824,38,267188,279,120,15,0,15,55,0,55,15,0,15,15,0,15,20,0,20,1,0,8,6,5,20,15,0.75,0.16666666666666666
100_2_3_1,BASE,20260824,39,275106,283,108,15,0,15,55,0,55,15,0,15,15,0,15,8,0,8,0,0,4,2,2,8,6,0.75,0.07407407407407407
100_2_3_1,BASE,20260824,40,283112,273,109,15,0,15,55,0,55,15,0,15,15,0,15,9,0,9,4,0,2,0,3,9,6,0.6666666666666666,0.08256880733944955
100_2_3_1,BASE,20260824,41,291213,281,104,15,0,15,55,0,55,15,0,15,15,0,15,4,0,4,1,0,1,1,1,4,3,0.75,0.038461538461538464
100_2_3_1,BASE,20260824,42,299414,275,110,15,0,15,55,0,55,15,0,15,15,0,15,10,0,10,1,0,8,1,0,10,10,1.0,0.09090909090909091
100_2_3_1,BASE,20260824,43,307723,274,112,15,0,15,55,0,55,15,0,15,15,0,15,12,0,12,0,0,4,6,2,12,10,0.8333333333333334,0.10714285714285714
100_2_3_1,BASE,20260824,44,316147,281,98,15,0,15,55,0,55,15,0,15,13,0,13,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260824,45,324694,285,108,15,0,15,55,0,55,15,0,15,15,0,15,8,0,8,2,0,1,2,3,8,5,0.625,0.07407407407407407
100_2_3_1,BASE,20260824,46,333373,271,114,15,0,15,55,0,55,15,0,15,15,0,15,14,0,14,0,0,9,0,5,14,9,0.6428571428571429,0.12280701754385964
100_2_3_1,BASE,20260824,47,342194,272,105,15,0,15,55,0,55,15,0,15,15,0,15,5,0,5,0,0,1,2,2,5,3,0.6,0.047619047619047616
100_2_3_1,BASE,20260824,48,351168,277,117,15,0,15,55,0,55,15,0,15,15,0,15,17,0,17,0,0,7,0,10,17,7,0.4117647058823529,0.1452991452991453
100_2_3_1,BASE,20260824,49,360308,276,120,15,0,15,55,0,55,15,0,15,15,0,15,20,0,20,0,0,9,1,10,20,10,0.5,0.16666666666666666
100_2_3_1,BASE,20260824,50,369628,268,110,15,0,15,55,0,55,15,0,15,15,0,15,10,0,10,0,0,0,2,8,10,2,0.2,0.09090909090909091
100_2_3_1,BASE,20260824,51,379143,288,110,15,0,15,55,0,55,15,0,15,15,0,15,10,0,10,1,0,2,4,3,10,7,0.7,0.09090909090909091
100_2_3_1,BASE,20260824,52,388872,289,110,15,0,15,55,0,55,15,0,15,15,0,15,10,0,10,0,0,7,1,2,10,8,0.8,0.09090909090909091
100_2_3_1,BASE,20260824,53,398836,286,110,15,0,15,55,0,55,15,0,15,15,0,15,10,0,10,0,0,5,3,2,10,8,0.8,0.09090909090909091
100_2_3_1,BASE,20260824,54,409059,269,111,15,0,15,55,0,55,15,0,15,15,0,15,11,0,11,0,0,6,3,2,11,9,0.8181818181818182,0.0990990990990991
100_2_3_1,BASE,20260824,55,419570,278,117,15,0,15,55,0,55,15,0,15,15,0,15,17,0,17,0,0,10,0,7,17,10,0.5882352941176471,0.1452991452991453
100_2_3_1,BASE,20260824,56,430402,277,111,15,0,15,55,0,55,15,0,15,15,0,15,11,0,11,0,0,4,1,6,11,5,0.45454545454545453,0.0990990990990991
100_2_3_1,BASE,20260824,57,441595,290,106,15,0,15,55,0,55,15,0,15,15,0,15,6,0,6,0,0,5,0,1,6,5,0.8333333333333334,0.05660377358490566
100_2_3_1,BASE,20260824,58,453199,285,107,15,0,15,55,0,55,15,0,15,15,0,15,7,0,7,0,0,4,2,1,7,6,0.8571428571428571,0.06542056074766354
100_2_3_1,BASE,20260824,59,465273,293,119,15,0,15,55,0,55,15,0,15,15,0,15,19,0,19,1,0,5,5,8,19,11,0.5789473684210527,0.15966386554621848
100_2_3_1,BASE,20260824,60,477894,299,118,15,0,15,55,0,55,15,0,15,15,0,15,18,0,18,0,0,11,2,5,18,13,0.7222222222222222,0.15254237288135594
100_2_3_1,BASE,20260824,61,491160,289,113,15,0,15,55,0,55,15,0,15,15,0,15,13,0,13,0,0,10,1,2,13,11,0.8461538461538461,0.11504424778761062
100_2_3_1,BASE,20260824,62,500000,278,110,15,0,15,55,0,55,15,0,15,15,0,15,10,0,10,0,0,8,0,2,10,8,0.8,0.09090909090909091
20_2_3_1,QGS,20260822,1,29322,300,36,15,0,15,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260822,2,58109,300,74,15,0,15,55,0,55,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260822,3,86784,300,107,15,0,15,55,0,55,15,0,15,15,0,15,7,0,7,5,0,1,1,0,7,7,1.0,0.06542056074766354
20_2_3_1,QGS,20260822,4,115581,300,88,15,0,15,55,0,55,15,0,15,3,0,3,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260822,5,144442,299,115,15,0,15,55,0,55,15,0,15,15,0,15,15,0,15,2,0,0,11,2,15,13,0.8666666666666667,0.13043478260869565
20_2_3_1,QGS,20260822,6,173139,300,85,15,0,15,55,0,55,14,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260822,7,201531,300,100,15,0,15,55,0,55,15,0,15,15,0,15,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260822,8,229607,300,113,15,0,15,55,0,55,15,0,15,12,3,15,13,0,13,10,0,0,3,0,13,13,1.0,0.11504424778761062
20_2_3_1,QGS,20260822,9,258480,300,103,15,0,15,55,0,55,15,0,15,15,0,15,3,0,3,1,0,2,0,0,3,3,1.0,0.02912621359223301
20_2_3_1,QGS,20260822,10,287142,300,113,15,0,15,55,0,55,15,0,15,15,0,15,13,0,13,2,0,3,7,1,13,12,0.9230769230769231,0.11504424778761062
20_2_3_1,QGS,20260822,11,315447,300,110,14,1,15,55,0,55,14,1,15,15,0,15,10,0,10,6,0,4,0,0,10,10,1.0,0.09090909090909091
20_2_3_1,QGS,20260822,12,344194,300,125,14,1,15,55,0,55,13,2,15,15,0,15,25,0,25,6,0,3,9,7,25,18,0.72,0.2
20_2_3_1,QGS,20260822,13,372726,300,105,14,1,15,55,0,55,15,0,15,15,0,15,5,0,5,1,0,2,0,2,5,3,0.6,0.047619047619047616
20_2_3_1,QGS,20260822,14,400901,300,111,15,0,15,55,0,55,15,0,15,14,1,15,11,0,11,3,0,2,2,4,11,7,0.6363636363636364,0.0990990990990991
20_2_3_1,QGS,20260822,15,429245,300,104,12,3,15,55,0,55,14,1,15,14,1,15,4,0,4,2,0,1,1,0,4,4,1.0,0.038461538461538464
20_2_3_1,QGS,20260822,16,457995,300,117,15,0,15,55,0,55,15,0,15,15,0,15,17,0,17,7,0,2,4,4,17,13,0.7647058823529411,0.1452991452991453
20_2_3_1,QGS,20260822,17,486786,300,119,15,0,15,55,0,55,15,0,15,15,0,15,18,1,19,3,0,3,9,4,19,15,0.7894736842105263,0.15966386554621848
20_2_3_1,QGS,20260822,18,500000,234,115,13,2,15,55,0,55,15,0,15,15,0,15,15,0,15,4,0,4,4,3,15,12,0.8,0.13043478260869565
20_2_3_1,QGS,20260823,1,29545,300,42,15,0,15,27,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260823,2,58947,300,76,15,0,15,55,0,55,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260823,3,88035,300,89,15,0,15,55,0,55,14,1,15,4,0,4,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260823,4,117030,300,84,15,0,15,55,0,55,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260823,5,146236,300,113,15,0,15,55,0,55,15,0,15,15,0,15,13,0,13,0,0,6,4,3,13,10,0.7692307692307693,0.11504424778761062
20_2_3_1,QGS,20260823,6,175379,300,119,15,0,15,55,0,55,14,1,15,15,0,15,18,1,19,3,0,7,2,7,19,12,0.631578947368421,0.15966386554621848
20_2_3_1,QGS,20260823,7,204629,300,104,15,0,15,55,0,55,15,0,15,15,0,15,4,0,4,0,0,1,3,0,4,4,1.0,0.038461538461538464
20_2_3_1,QGS,20260823,8,233067,300,98,15,0,15,55,0,55,15,0,15,13,0,13,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260823,9,261818,300,109,15,0,15,55,0,55,15,0,15,15,0,15,9,0,9,1,0,4,3,1,9,8,0.8888888888888888,0.08256880733944955
20_2_3_1,QGS,20260823,10,291126,300,94,15,0,15,55,0,55,15,0,15,9,0,9,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260823,11,319879,300,94,15,0,15,55,0,55,12,3,15,9,0,9,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260823,12,349240,300,91,15,0,15,55,0,55,13,2,15,6,0,6,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260823,13,377832,300,108,13,2,15,55,0,55,13,2,15,14,1,15,8,0,8,4,0,3,1,0,8,8,1.0,0.07407407407407407
20_2_3_1,QGS,20260823,14,407142,300,108,15,0,15,55,0,55,13,2,15,15,0,15,8,0,8,0,0,4,4,0,8,8,1.0,0.07407407407407407
20_2_3_1,QGS,20260823,15,436469,300,112,15,0,15,55,0,55,15,0,15,14,1,15,12,0,12,0,0,1,3,8,12,4,0.3333333333333333,0.10714285714285714
20_2_3_1,QGS,20260823,16,465618,300,102,15,0,15,55,0,55,15,0,15,15,0,15,2,0,2,0,0,1,1,0,2,2,1.0,0.0196078431372549
20_2_3_1,QGS,20260823,17,494766,300,103,15,0,15,55,0,55,15,0,15,15,0,15,3,0,3,0,0,3,0,0,3,3,1.0,0.02912621359223301
20_2_3_1,QGS,20260823,18,500000,202,102,15,0,15,55,0,55,12,3,15,15,0,15,2,0,2,0,0,2,0,0,2,2,1.0,0.0196078431372549
20_2_3_1,QGS,20260824,1,28391,300,37,15,0,15,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260824,2,56804,300,62,15,0,15,47,0,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260824,3,85220,300,91,15,0,15,55,0,55,15,0,15,6,0,6,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260824,4,114009,300,89,15,0,15,55,0,55,15,0,15,4,0,4,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260824,5,142606,300,89,15,0,15,55,0,55,15,0,15,4,0,4,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260824,6,171229,300,70,15,0,15,55,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260824,7,200179,300,86,15,0,15,55,0,55,15,0,15,1,0,1,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260824,8,229342,300,65,15,0,15,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260824,9,258344,300,66,15,0,15,51,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260824,10,286959,300,85,15,0,15,55,0,55,15,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260824,11,315753,300,104,15,0,15,55,0,55,15,0,15,15,0,15,4,0,4,0,0,4,0,0,4,4,1.0,0.038461538461538464
20_2_3_1,QGS,20260824,12,344517,300,94,15,0,15,55,0,55,15,0,15,9,0,9,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260824,13,372998,300,104,15,0,15,55,0,55,15,0,15,15,0,15,4,0,4,0,0,4,0,0,4,4,1.0,0.038461538461538464
20_2_3_1,QGS,20260824,14,401824,300,98,15,0,15,55,0,55,15,0,15,13,0,13,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260824,15,430627,300,105,15,0,15,55,0,55,14,1,15,15,0,15,5,0,5,0,0,5,0,0,5,5,1.0,0.047619047619047616
20_2_3_1,QGS,20260824,16,459767,300,94,15,0,15,55,0,55,14,1,15,9,0,9,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,QGS,20260824,17,488615,300,105,15,0,15,55,0,55,15,0,15,15,0,15,5,0,5,0,0,4,1,0,5,5,1.0,0.047619047619047616
20_2_3_1,QGS,20260824,18,500000,225,100,15,0,15,55,0,55,15,0,15,15,0,15,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,BASE,20260822,1,6767,310,37,15,0,15,22,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,BASE,20260822,2,13435,278,38,15,0,15,22,1,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,BASE,20260822,3,20106,267,47,15,0,15,32,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,BASE,20260822,4,26781,247,82,13,2,15,55,0,55,12,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,BASE,20260822,5,33462,270,94,15,0,15,55,0,55,15,0,15,9,0,9,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,BASE,20260822,6,40149,256,94,15,0,15,55,0,55,15,0,15,9,0,9,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,BASE,20260822,7,46844,255,101,12,3,15,55,0,55,15,0,15,15,0,15,1,0,1,1,0,0,0,0,1,1,1.0,0.009900990099009901
20_2_3_1,BASE,20260822,8,53549,269,113,15,0,15,55,0,55,15,0,15,15,0,15,13,0,13,3,0,5,4,1,13,12,0.9230769230769231,0.11504424778761062
20_2_3_1,BASE,20260822,9,60264,253,117,15,0,15,55,0,55,15,0,15,15,0,15,17,0,17,3,0,1,2,11,17,6,0.35294117647058826,0.1452991452991453
20_2_3_1,BASE,20260822,10,66991,257,91,15,0,15,55,0,55,14,1,15,6,0,6,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,BASE,20260822,11,73732,257,87,15,0,15,55,0,55,15,0,15,2,0,2,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,BASE,20260822,12,80488,277,100,15,0,15,55,0,55,15,0,15,14,1,15,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,BASE,20260822,13,87260,268,104,15,0,15,55,0,55,15,0,15,15,0,15,4,0,4,2,0,0,0,2,4,2,0.5,0.038461538461538464
20_2_3_1,BASE,20260822,14,94049,277,123,15,0,15,55,0,55,15,0,15,15,0,15,23,0,23,8,0,0,4,11,23,12,0.5217391304347826,0.18699186991869918
20_2_3_1,BASE,20260822,15,100858,261,119,15,0,15,55,0,55,15,0,15,15,0,15,19,0,19,0,0,11,4,4,19,15,0.7894736842105263,0.15966386554621848
20_2_3_1,BASE,20260822,16,107687,266,113,15,0,15,55,0,55,15,0,15,15,0,15,13,0,13,1,0,5,5,2,13,11,0.8461538461538461,0.11504424778761062
20_2_3_1,BASE,20260822,17,114539,264,108,15,0,15,55,0,55,15,0,15,15,0,15,8,0,8,1,0,6,0,1,8,7,0.875,0.07407407407407407
20_2_3_1,BASE,20260822,18,121415,275,96,15,0,15,55,0,55,15,0,15,11,0,11,0,0,0,0,0,0,0,0,0,0,nan,0.0
20_2_3_1,BASE,20260822,19,128316,273,111,15,0,15,55,0,55,15,0,15,15,0,15,11,0,11,6,0,0,4,1,11,10,0.9090909090909091,0.0990990990990991
20_2_3_1,BASE,20260822,20,135245,270,110,15,0,15,55,0,55,15,0,15,15,0,15,10,0,10,2,0,1,2,5,10,5,0.5,0.09090909090909091
20_2_3_1,BASE,20260822,21,142203,276,107,15,0,15,55,0,55,15,0,15,15,0,15,7,0,7,0,0,3,0,4,7,3,0.42857142857142855,0.06542056074766354
20_2_3_1,BASE,20260822,22,149192,280,127,15,0,15,55,0,55,15,0,15,15,0,15,25,2,27,1,0,6,2,18,27,9,0.3333333333333333,0.2125984251968504
20_2_3_1,BASE,20260822,23,156214,277,111,15,0,15,55,0,55,15,0,15,15,0,15,11,0,11,1,0,1,3,6,11,5,0.45454545454545453,0.0990990990990991
20_2_3_1,BASE,20260822,24,163271,271,104,15,0,15,55,0,55,15,0,15,15,0,15,4,0,4,1,0,1,0,2,4,2,0.5,0.038461538461538464
20_2_3_1,BASE,20260822,25,170366,267,107,15,0,15,55,0,55,15,0,15,15,0,15,7,0,7,0,0,3,1,3,7,4,0.5714285714285714,0.06542056074766354
20_2_3_1,BASE,20260822,26,177500,279,106,15,0,15,55,0,55,15,0,15,15,0,15,6,0,6,1,0,2,1,2,6,4,0.6666666666666666,0.05660377358490566
20_2_3_1,BASE,20260822,27,184676,277,125,15,0,15,55,0,55,14,1,15,15,0,15,25,0,25,1,0,7,4,13,25,12,0.48,0.2
20_2_3_1,BASE,20260822,28,191896,280,113,15,0,15,55,0,55,14,1,15,15,0,15,13,0,13,0,0,5,2,6,13,7,0.5384615384615384,0.11504424778761062
20_2_3_1,BASE,20260822,29,199163,278,121,15,0,15,55,0,55,15,0,15,15,0,15,21,0,21,2,0,6,2,11,21,10,0.47619047619047616,0.17355371900826447
20_2_3_1,BASE,20260822,30,206480,269,115,15,0,15,55,0,55,15,0,15,15,0,15,15,0,15,0,0,5,0,10,15,5,0.3333333333333333,0.13043478260869565
20_2_3_1,BASE,20260822,31,213849,274,105,15,0,15,55,0,55,15,0,15,15,0,15,5,0,5,0,0,2,1,2,5,3,0.6,0.047619047619047616
20_2_3_1,BASE,20260822,32,221274,274,120,15,0,15,55,0,55,15,0,15,15,0,15,20,0,20,2,0,2,4,12,20,8,0.4,0.16666666666666666
20_2_3_1,BASE,20260822,33,228758,252,105,15,0,15,55,0,55,15,0,15,15,0,15,5,0,5,1,0,3,0,1,5,4,0.8,0.047619047619047616
20_2_3_1,BASE,20260822,34,236304,277,106,15,0,15,55,0,55,15,0,15,15,0,15,6,0,6,0,0,1,4,1,6,5,0.8333333333333334,0.05660377358490566
20_2_3_1,BASE,20260822,35,243916,277,110,15,0,15,55,0,55,15,0,15,15,0,15,10,0,10,2,0,0,1,7,10,3,0.3,0.09090909090909091
20_2_3_1,BASE,20260822,36,251598,289,106,15,0,15,55,0,55,15,0,15,15,0,15,6,0,6,0,0,0,1,5,6,1,0.16666666666666666,0.05660377358490566
20_2_3_1,BASE,20260822,37,259354,286,111,15,0,15,55,0,55,15,0,15,15,0,15,11,0,11,0,0,5,5,1,11,10,0.9090909090909091,0.0990990990990991
20_2_3_1,BASE,20260822,38,267188,278,107,15,0,15,55,0,55,15,0,15,15,0,15,7,0,7,0,0,6,1,0,7,7,1.0,0.06542056074766354
20_2_3_1,BASE,20260822,39,275106,284,108,15,0,15,55,0,55,15,0,15,15,0,15,8,0,8,0,0,3,2,3,8,5,0.625,0.07407407407407407
20_2_3_1,BASE,20260822,40,283112,274,112,15,0,15,55,0,55,15,0,15,15,0,15,12,0,12,0,0,1,3,8,12,4,0.3333333333333333,0.10714285714285714
20_2_3_1,BASE,20260822,41,291213,267,112,14,1,15,55,0,55,15,0,15,14,1,15,12,0,12,4,0,1,3,4,12,8,0.6666666666666666,0.10714285714285714
20_2_3_1,BASE,20260822,42,299414,286,103,15,0,15,55,0,55,15,0,15,15,0,15,2,1,3,0,0,2,0,1,3,2,0.6666666666666666,0.02912621359223301
20_2_3_1,BASE,20260822,43,307723,287,113,15,0,15,55,0,55,15,0,15,15,0,15,13,0,13,4,0,1,3,5,13,8,0.6153846153846154,0.11504424778761062
20_2_3_1,BASE,20260822,44,316147,281,108,14,1,15,55,0,55,15,0,15,15,0,15,8,0,8,2,0,2,1,3,8,5,0.625,0.07407407407407407
20_2_3_1,BASE,20260822,45,324694,281,117,14,1,15,55,0,55,15,0,15,15,0,15,17,0,17,9,0,0,2,6,17,11,0.6470588235294118,0.1452991452991453
20_2_3_1,BASE,20260822,46,333373,283,109,15,0,15,55,0,55,15,0,15,15,0,15,9,0,9,3,0,3,0,3,9,6,0.6666666666666666,0.08256880733944955
20_2_3_1,BASE,20260822,47,342194,287,105,15,0,15,55,0,55,15,0,15,14,1,15,5,0,5,0,0,1,2,2,5,3,0.6,0.047619047619047616
20_2_3_1,BASE,20260822,48,351168,296,110,15,0,15,55,0,55,15,0,15,15,0,15,10,0,10,1,0,1,4,4,10,6,0.6,0.09090909090909091
20_2_3_1,BASE,20260822,49,360308,284,110,14,1,15,55,0,55,15,0,15,15,0,15,10,0,10,3,0,3,2,2,10,8,0.8,0.09090909090909091
