instance,arm,seed,cycle,fe,pool,ndTotal,g1Lt1,g1Eq1,g1Total,g2Lt1,g2Eq1,g2Total,g3Lt1,g3Eq1,g3Total,g4Lt1,g4Eq1,g4Total,ovfLt1,ovfEq1,ovfTotal,rejG1,rejG2,rejG3,rejG4,rejOvf,rejTotal,absorbable,absorbRate,ovfRate
100_2_3_1,QGS,20260823,9,287091,300,96,15,0,15,55,0,55,15,0,15,11,0,11,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260823,10,318896,300,87,15,0,15,55,0,55,15,0,15,2,0,2,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260823,11,350705,300,96,14,1,15,55,0,55,15,0,15,11,0,11,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260823,12,382618,300,88,11,4,15,55,0,55,15,0,15,3,0,3,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260823,13,414520,300,100,0,15,15,55,0,55,15,0,15,8,7,15,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260823,14,446437,300,103,0,15,15,55,0,55,15,0,15,10,5,15,0,3,3,0,0,0,3,0,3,3,1.0,0.02912621359223301
100_2_3_1,QGS,20260823,15,478303,300,103,1,14,15,55,0,55,15,0,15,15,0,15,1,2,3,1,0,0,0,2,3,1,0.3333333333333333,0.02912621359223301
100_2_3_1,QGS,20260823,16,500000,263,102,14,1,15,55,0,55,15,0,15,15,0,15,2,0,2,2,0,0,0,0,2,2,1.0,0.0196078431372549
100_2_3_1,QGS,20260824,1,31896,300,29,15,0,15,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260824,2,63800,300,40,15,0,15,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260824,3,95747,300,46,15,0,15,31,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260824,4,127768,299,40,15,0,15,25,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260824,5,159760,299,68,15,0,15,48,5,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260824,6,191815,297,69,15,0,15,54,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260824,7,223721,299,57,15,0,15,42,0,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260824,8,255730,296,36,15,0,15,21,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260824,9,287791,300,65,15,0,15,50,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260824,10,319846,298,75,15,0,15,55,0,55,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260824,11,351995,296,51,15,0,15,36,0,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260824,12,384051,297,73,14,1,15,55,0,55,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260824,13,416071,296,95,5,10,15,55,0,55,15,0,15,10,0,10,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260824,14,448018,298,79,15,0,15,55,0,55,9,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260824,15,480079,296,78,15,0,15,55,0,55,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,QGS,20260824,16,500000,256,74,14,1,15,55,0,55,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,1,6767,293,11,11,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,2,13435,291,29,15,0,15,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,3,20106,281,29,15,0,15,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,4,26781,269,35,15,0,15,20,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,5,33462,277,49,15,0,15,34,0,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,6,40149,255,62,8,7,15,46,1,47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,7,46844,256,76,15,0,15,55,0,55,6,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,8,53549,267,77,11,4,15,55,0,55,7,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,9,60264,269,104,11,4,15,55,0,55,15,0,15,15,0,15,4,0,4,4,0,0,0,0,4,4,1.0,0.038461538461538464
100_2_3_1,BASE,20260822,10,66991,266,103,15,0,15,55,0,55,15,0,15,15,0,15,3,0,3,3,0,0,0,0,3,3,1.0,0.02912621359223301
100_2_3_1,BASE,20260822,11,73732,264,101,15,0,15,55,0,55,15,0,15,14,1,15,1,0,1,0,0,0,1,0,1,1,1.0,0.009900990099009901
100_2_3_1,BASE,20260822,12,80488,260,104,15,0,15,55,0,55,15,0,15,15,0,15,4,0,4,4,0,0,0,0,4,4,1.0,0.038461538461538464
100_2_3_1,BASE,20260822,13,87260,253,67,15,0,15,52,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,14,94049,255,90,15,0,15,55,0,55,14,1,15,5,0,5,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,15,100858,261,103,14,1,15,55,0,55,15,0,15,15,0,15,3,0,3,3,0,0,0,0,3,3,1.0,0.02912621359223301
100_2_3_1,BASE,20260822,16,107687,267,80,15,0,15,55,0,55,10,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,17,114539,277,84,15,0,15,55,0,55,14,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,18,121415,281,72,15,0,15,55,0,55,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
100_2_3_1,BASE,20260822,19,128316,283,104,15,0,15,55,0,55,15,0,15,15,0,15,4,0,4,2,0,1,1,0,4,4,1.0,0.038461538461538464
100_2_3_1,BASE,20260822,20,135245,264,102,15,0,15,55,0,55,15,0,15,15,0,15,2,0,2,0,0,2,0,0,2,2,1.0,0.0196078431372549
100_2_3_1,BASE,20260822,21,142203,269,85,14,1,15,55,0,55,14,1,15,0,0,0,0,0,0,0,0,0,0,0,0,0,nan,0.0
