instance,arm,seed,rounds,medianNd,totalRejNd,totalAbsorbable,absorbPct,totalOvf,medianOvfRate
100_2_3_1,QGS,20260822,16,73.0,39,35,89.7%,4,0.0%
100_2_3_1,QGS,20260823,16,96.0,51,41,80.4%,10,0.0%
100_2_3_1,QGS,20260824,16,66.5,0,0,0.0%,0,0.0%
100_2_3_1,BASE,20260822,62,97.5,152,120,78.9%,32,0.0%
100_2_3_1,BASE,20260823,62,101.5,243,173,71.2%,70,1.5%
100_2_3_1,BASE,20260824,62,108.0,451,318,70.5%,133,7.4%
20_2_3_1,QGS,20260822,18,108.5,157,130,82.8%,27,7.8%
20_2_3_1,QGS,20260823,18,102.0,80,61,76.2%,19,2.0%
20_2_3_1,QGS,20260824,18,90.0,18,18,100.0%,0,0.0%
20_2_3_1,BASE,20260822,62,107.5,528,312,59.1%,216,7.0%
20_2_3_1,BASE,20260823,62,108.0,502,405,80.7%,97,7.4%
20_2_3_1,BASE,20260824,62,110.0,551,460,83.5%,91,9.1%
