instance,arm,seed,rounds,globalYes,globalYesPct,regionYes,regionYesPct,regionG1,regionG1Pct,ratioRegionOverGlobal
20_2_3_1,QGS,20260822,18,4,22.2%,18,100.0%,18,100.0%,4.50x
20_2_3_1,BASE,20260822,62,9,14.5%,62,100.0%,62,100.0%,6.89x
