checkpointTargetFE,checkpointObservedFE,overshootFE,evaluationCounterFE,frontType,frontSize
50000,50000,0,50026,checkpoint-decision-front,332
50000,50000,0,50026,checkpoint-observed-full-front,358
100000,100000,0,100000,checkpoint-decision-front,367
100000,100000,0,100000,checkpoint-observed-full-front,406
150000,150000,0,150000,checkpoint-decision-front,309
150000,150000,0,150000,checkpoint-observed-full-front,437
200000,200000,0,200021,checkpoint-decision-front,341
200000,200000,0,200021,checkpoint-observed-full-front,440
249003,249003,0,249003,terminal-decision-front,449
249003,249003,0,249003,terminal-observed-full-front,541
