runKey,telemetryMode,actualFE,decoderCalls,remainingFE,terminationKind,outerCycles,ledgerRows,heapUsedPeak,heapCommittedPeak,gcCollectionCount,gcCollectionTime,status,failures,acceptance
SAOBS-20000-C0-100_5_3_1-20260901,OFF,15258,15258,4742,PHASE_CONSISTENT_TAIL_STOP,2,0,945796576,1227882496,46,490,COMPLETED,NONE,PASS
SAOBS-20000-C0-100_5_3_1-20260901,ON,15258,15258,4742,PHASE_CONSISTENT_TAIL_STOP,2,15258,940463104,1204813824,59,591,COMPLETED,NONE,PASS
