"File","Extension","ExpectedSha256","ReplaySha256","Same"
"fig01_i1_resource_structure.pdf",".pdf","9490FDFA527EF4B6342CB744F5D31AC6EE1DB3B3D13D14710205886EFCEB17FF","9490FDFA527EF4B6342CB744F5D31AC6EE1DB3B3D13D14710205886EFCEB17FF","True"
"fig01_i1_resource_structure.png",".png","29D677CB9C74B12F4C6AC1A7D4B25DC2948B4E76FD57708A64100E52980457C4","29D677CB9C74B12F4C6AC1A7D4B25DC2948B4E76FD57708A64100E52980457C4","True"
"fig01_i1_resource_structure.svg",".svg","7F483AADE996DFE2EDC0C40EBC852EB99E0FE70CD984C351783C7411FFFC569B","7F483AADE996DFE2EDC0C40EBC852EB99E0FE70CD984C351783C7411FFFC569B","True"
"fig02_x0_four_vector_encoding.pdf",".pdf","C6612C6D20E6A710F2AB08D9F75389936C6F95A721D388873595E3D447E84DD3","C6612C6D20E6A710F2AB08D9F75389936C6F95A721D388873595E3D447E84DD3","True"
"fig02_x0_four_vector_encoding.png",".png","1CF7E14103371A107D9A1CE1D1BFCA23E3E396715E255183B5431E6B336239E3","1CF7E14103371A107D9A1CE1D1BFCA23E3E396715E255183B5431E6B336239E3","True"
"fig02_x0_four_vector_encoding.svg",".svg","E1CF7EC6B9393F0437FF2A8E27D1548A2F094AC8BE971306FEB03DDAEFE9548F","E1CF7EC6B9393F0437FF2A8E27D1548A2F094AC8BE971306FEB03DDAEFE9548F","True"
"fig03_fm3_decoding_flow.pdf",".pdf","AE1D478FF5196E727472CBD49D16832AECCC7B0566BA61A45E12D2A3F05781E9","AE1D478FF5196E727472CBD49D16832AECCC7B0566BA61A45E12D2A3F05781E9","True"
"fig03_fm3_decoding_flow.png",".png","2AA5BAD681B8602B9558018BFAC2032AF9308E52F93EB3EBA3CE1BBF14EE6403","2AA5BAD681B8602B9558018BFAC2032AF9308E52F93EB3EBA3CE1BBF14EE6403","True"
"fig03_fm3_decoding_flow.svg",".svg","66AC78E6473018A07A63461C2FB6C8213796D120B85BBDCEFFCD89DCCDFBCC64","66AC78E6473018A07A63461C2FB6C8213796D120B85BBDCEFFCD89DCCDFBCC64","True"
"fig04_fm3_machine_gantt.pdf",".pdf","36233BBD0FBA70EC75A07D5F415D5634D478470F5603921A5C0B4D09FC8E32E8","36233BBD0FBA70EC75A07D5F415D5634D478470F5603921A5C0B4D09FC8E32E8","True"
"fig04_fm3_machine_gantt.png",".png","1DBC264E2F91C6C5AA4DFDD1C805F26C7A59ACEDE50202C22BE6D605CEC7E7FB","1DBC264E2F91C6C5AA4DFDD1C805F26C7A59ACEDE50202C22BE6D605CEC7E7FB","True"
"fig04_fm3_machine_gantt.svg",".svg","CFF7FCA3610597E874374E6D3AC11DF148FE5118CCA5F8F155AA2466E77B9FDD","CFF7FCA3610597E874374E6D3AC11DF148FE5118CCA5F8F155AA2466E77B9FDD","True"
"fig05_worker_fatigue_trajectories.pdf",".pdf","70308DFBE2F4CE780AE8E76C54B0319275E6631A1E9CD8555A9B9185BC96075D","70308DFBE2F4CE780AE8E76C54B0319275E6631A1E9CD8555A9B9185BC96075D","True"
"fig05_worker_fatigue_trajectories.png",".png","EFCCC1E23B7BF617098454B6BC15F12219B03DDC36A93830145053D6B42FF32E","EFCCC1E23B7BF617098454B6BC15F12219B03DDC36A93830145053D6B42FF32E","True"
"fig05_worker_fatigue_trajectories.svg",".svg","E1B1BE1280E7E6AEDD76A8CFFAE3DB8F2991F1CE0339CC9FA93E7F3AF8A87A9C","E1B1BE1280E7E6AEDD76A8CFFAE3DB8F2991F1CE0339CC9FA93E7F3AF8A87A9C","True"
"fig06_fm0_fm3_objective_comparison.pdf",".pdf","6178A194ADBD6544877FA8E61AAEA9DDD50043C34C24946F5BA9A20319DCE151","6178A194ADBD6544877FA8E61AAEA9DDD50043C34C24946F5BA9A20319DCE151","True"
"fig06_fm0_fm3_objective_comparison.png",".png","1092AF11FFAD97E718EADEB133412710508D171B870D957EE83D09D30D66A552","1092AF11FFAD97E718EADEB133412710508D171B870D957EE83D09D30D66A552","True"
"fig06_fm0_fm3_objective_comparison.svg",".svg","59A827F66CB03E8CF021575D1AE8F0473D1E0BEFD782A648A17F4AD223D285B4","59A827F66CB03E8CF021575D1AE8F0473D1E0BEFD782A648A17F4AD223D285B4","True"
"fig06b_fm0_machine_gantt.pdf",".pdf","E889CFF397ED79F6A67EBE1FF865ADE2560F2EA6A0189C72EDA78D7234A2D9C4","E889CFF397ED79F6A67EBE1FF865ADE2560F2EA6A0189C72EDA78D7234A2D9C4","True"
