instance,matrix,label,seed,status,HV,IGD,Spacing,C_A_R,C_R_A,nondominatedCount,minCmax,minTEC,minTWC
"20_2_3_1","FM","FM0",20260808,COMPLETED,0.66324265725493510,0.14104387087044776,0.10737701290192049,0.19444444444444445,1.0000000000000000,33,215.31318681318680,9003.2771550793510,13347.254174397034
"20_2_3_1","FM","FM0",20260809,COMPLETED,0.96969752143655190,0.049863407306326210,0.046054440693613480,0.61111111111111120,1.0000000000000000,25,208.81952662721892,8900.1870213074020,12503.829170829170
"20_2_3_1","FM","FM0",20260810,COMPLETED,0.64797115091819830,0.14472379590914330,0.062702732932157710,0.19444444444444445,1.0000000000000000,31,205.86480186480185,9583.1142868120900,13037.920079920080
"20_2_3_1","FM","FM1",20260808,COMPLETED,0.051070196691146790,0.70096345597634580,0.068346005534847820,0.0000000000000000,1.0000000000000000,12,261.80817493451440,10777.136603771172,14678.690867007992
"20_2_3_1","FM","FM1",20260809,COMPLETED,0.042406136977670110,0.69220788139449780,0.039803088289065765,0.0000000000000000,1.0000000000000000,10,254.65183168654036,11040.350925899530,15310.524272856215
"20_2_3_1","FM","FM1",20260810,COMPLETED,0.046022420055809150,0.68289806293975740,0.079200952324325800,0.0000000000000000,1.0000000000000000,8,250.25412214563062,10859.754138295011,15274.458038018720
"20_2_3_1","FM","FM2",20260808,COMPLETED,0.15539597258836110,0.54578146271824180,0.13548375905628280,0.0000000000000000,1.0000000000000000,18,234.40984488791875,9898.8683402185600,13656.694045500015
"20_2_3_1","FM","FM2",20260809,COMPLETED,0.14397128711646073,0.52119342759821130,0.071376732550776630,0.0000000000000000,1.0000000000000000,17,249.63080694870507,10119.942692641973,13563.237907834544
"20_2_3_1","FM","FM2",20260810,COMPLETED,0.15262823684222868,0.50371299154252880,0.074978922863776860,0.0000000000000000,1.0000000000000000,13,242.70253722412082,10511.771350292482,14218.934773730343
"20_2_3_1","FM","FM3",20260808,COMPLETED,0.11906578746421712,0.54587794827880640,0.088662048831229660,0.0000000000000000,1.0000000000000000,13,230.98988614636278,10475.123290273132,14057.559515502438
"20_2_3_1","FM","FM3",20260809,COMPLETED,0.14040570837114838,0.53867173502071340,0.036198566026159965,0.0000000000000000,1.0000000000000000,16,246.06963462729183,10374.110799782920,14447.506803415275
"20_2_3_1","FM","FM3",20260810,COMPLETED,0.17302479693454295,0.45480855023173890,0.10846716021889936,0.0000000000000000,1.0000000000000000,9,241.07471517436160,10206.834101442506,14614.065611163816
"20_2_3_1","FULL","B0",20260808,COMPLETED,0.66324265725493510,0.14104387087044776,0.10737701290192049,0.19444444444444445,1.0000000000000000,33,215.31318681318680,9003.2771550793510,13347.254174397034
"20_2_3_1","FULL","B0",20260809,COMPLETED,0.96969752143655190,0.049863407306326210,0.046054440693613480,0.61111111111111120,1.0000000000000000,25,208.81952662721892,8900.1870213074020,12503.829170829170
"20_2_3_1","FULL","B0",20260810,COMPLETED,0.64797115091819830,0.14472379590914330,0.062702732932157710,0.19444444444444445,1.0000000000000000,31,205.86480186480185,9583.1142868120900,13037.920079920080
"20_2_3_1","FULL","B1",20260808,COMPLETED,0.11906578746421712,0.54587794827880640,0.088662048831229660,0.0000000000000000,1.0000000000000000,13,230.98988614636278,10475.123290273132,14057.559515502438
"20_2_3_1","FULL","B1",20260809,COMPLETED,0.14040570837114838,0.53867173502071340,0.036198566026159965,0.0000000000000000,1.0000000000000000,16,246.06963462729183,10374.110799782920,14447.506803415275
"20_2_3_1","FULL","B1",20260810,COMPLETED,0.17302479693454295,0.45480855023173890,0.10846716021889936,0.0000000000000000,1.0000000000000000,9,241.07471517436160,10206.834101442506,14614.065611163816
"20_2_3_1","FULL","B2",20260808,COMPLETED,0.12330001230442146,0.57433369851211580,0.053498659716445850,0.0000000000000000,1.0000000000000000,21,248.79509786094934,10219.711287847134,13937.796083267694
"20_2_3_1","FULL","B2",20260809,COMPLETED,0.12748528898507410,0.53653758765253990,0.051778618896066870,0.0000000000000000,1.0000000000000000,13,235.65790441001620,10276.301463673770,13527.770422999512
"20_2_3_1","FULL","B2",20260810,COMPLETED,0.18539998451498563,0.49173238212721110,0.065405742315987230,0.0000000000000000,1.0000000000000000,23,234.75945527433302,10200.407594678500,14790.094546808117
"20_2_3_1","FULL","B3",20260808,COMPLETED,0.12330001230442146,0.57433369851211580,0.053498659716445850,0.0000000000000000,1.0000000000000000,21,248.79509786094934,10219.711287847134,13937.796083267694
"20_2_3_1","FULL","B3",20260809,COMPLETED,0.12748528898507410,0.53653758765253990,0.051778618896066870,0.0000000000000000,1.0000000000000000,13,235.65790441001620,10276.301463673770,13527.770422999512
"20_2_3_1","FULL","B3",20260810,COMPLETED,0.18539998451498563,0.49173238212721110,0.065405742315987230,0.0000000000000000,1.0000000000000000,23,234.75945527433302,10200.407594678500,14790.094546808117
"20_2_3_1","FULL","B4",20260808,COMPLETED,0.21097157277720738,0.44291657995114003,0.061236390499892230,0.0000000000000000,1.0000000000000000,22,243.58922432259010,9985.6620913162770,14358.399858317844
"20_2_3_1","FULL","B4",20260809,COMPLETED,0.15183756259280420,0.51545437460952760,0.077583762612962850,0.0000000000000000,1.0000000000000000,16,244.55120795988324,10368.434560072832,13862.928852657780
"20_2_3_1","FULL","B4",20260810,COMPLETED,0.16687314566567724,0.51163661432834770,0.060697133544146250,0.0000000000000000,1.0000000000000000,27,241.33827729715568,10312.757560857033,14383.692888708734
"20_2_3_1","FULL","B5",20260808,COMPLETED,0.20608810804406360,0.43841019208950520,0.070674287210199140,0.0000000000000000,1.0000000000000000,16,243.58922432259010,10147.120349165078,13738.746327426703
"20_2_3_1","FULL","B5",20260809,COMPLETED,0.11849233635061894,0.53965102061298580,0.11419504579149603,0.0000000000000000,1.0000000000000000,15,232.01886933501964,10612.424205698228,13862.928852657780
"20_2_3_1","FULL","B5",20260810,COMPLETED,0.14679524911163472,0.52801681740066510,0.086823483864556490,0.0000000000000000,1.0000000000000000,36,227.10136842007583,9999.2678863171310,14209.033951105654
"20_2_3_1","FULL","B6",20260808,COMPLETED,0.18941455184320116,0.51718081510255260,0.045173366732263730,0.0000000000000000,1.0000000000000000,22,243.58922432259010,9436.2185101379960,14525.395463148852
"20_2_3_1","FULL","B6",20260809,COMPLETED,0.11853016473535938,0.59069020241265170,0.073835551346553580,0.0000000000000000,1.0000000000000000,16,235.18529161603210,10526.182855599340,13777.844419565540
"20_2_3_1","FULL","B6",20260810,COMPLETED,0.14870535306440810,0.53287953345187310,0.095923738843287430,0.0000000000000000,1.0000000000000000,21,227.10136842007583,10214.420425209692,14870.823988770338
"20_2_3_1","FULL","B7",20260808,COMPLETED,0.17585951220662016,0.51032319494220150,0.056712369669649140,0.0000000000000000,1.0000000000000000,22,236.49322046067060,10231.828508523842,13930.797341527320
"20_2_3_1","FULL","B7",20260809,COMPLETED,0.14375239937864207,0.53778073058236380,0.040305519801875960,0.0000000000000000,1.0000000000000000,19,231.53400176983814,10603.231120501772,13919.459520367891
"20_2_3_1","FULL","B7",20260810,COMPLETED,0.30427196004052576,0.35387039579343527,0.065675833736497810,0.0000000000000000,1.0000000000000000,21,237.95220933556854,10056.585382542993,14645.792675135839
"20_2_3_1","FULL","FULL",20260808,COMPLETED,0.22124451874373850,0.47672204008086920,0.063655903414738520,0.0000000000000000,1.0000000000000000,25,235.31554158743808,10108.231791032165,14412.238771929688
"20_2_3_1","FULL","FULL",20260809,COMPLETED,0.13524166393129558,0.54134054962315140,0.090592155721388700,0.0000000000000000,1.0000000000000000,20,240.23929039351530,10307.719671179850,13919.459520367891
"20_2_3_1","FULL","FULL",20260810,COMPLETED,0.25084292935561170,0.42372679026389126,0.083911761879016620,0.0000000000000000,1.0000000000000000,15,220.60776305463392,10336.760368925634,14790.755506820196
