runId,sourceRunId,reused,instance,instanceSha256,matrix,label,seed,status,reason,configurationSha256,mechanismVectorHash,initialPopulationSha256,fullEvaluations,wallClockMillis,cpuNanos,cfvfRepairs,caTaEvaluations,illegalSolutions,Fmax,Favg,FE,VarFw,highFatigueRatio,longestContinuousWork,totalNaturalRecovery,loadImbalance,frontSize
"20_2_3_1|FM|FM0|20260808","20_2_3_1|FM|FM0|20260808",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM0",20260808,COMPLETED,"BUDGET_BEFORE_PARTIAL_GENERATION","869b9278ddd35bd86457b4c87961d581070ab65ce41c44d2fc1cea429cb0dbf0","88e759a873549e8d5cb344311f9b0ffa33e7c3c50aa9c3179187f860c06ac7d8","ffca83d43be7a67b8860ad5ccbd5e3d51c2a0f7880509879c59ecbeac0dc9ebe",1966,26,31250000,0,1666,0,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,212.93879859636158,0.0000000000000000,0.53947872523447930,34
"20_2_3_1|FM|FM0|20260809","20_2_3_1|FM|FM0|20260809",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM0",20260809,COMPLETED,"BUDGET_BEFORE_PARTIAL_GENERATION","90facd8b11ef66f3e81ba3f66e93ae3b90e23bccbdae595c5941ccedc7f38afe","88e759a873549e8d5cb344311f9b0ffa33e7c3c50aa9c3179187f860c06ac7d8","53768fbc14fa722afe25c9c5862be2bf9ec16f9bf121a398b4e498607b65830b",1962,26,31250000,0,1662,0,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,196.78562009419160,0.0000000000000000,0.53390893532035740,25
"20_2_3_1|FM|FM0|20260810","20_2_3_1|FM|FM0|20260810",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM0",20260810,COMPLETED,"BUDGET_BEFORE_PARTIAL_GENERATION","da5e2eb108cc90a71102e96807b1953914b6f4d1f72f9f1017b639d584b063e6","88e759a873549e8d5cb344311f9b0ffa33e7c3c50aa9c3179187f860c06ac7d8","bd358176d9e5ec8ae89aa4bb51483e40751162eafe9c0513a6919bc5ff518f62",1965,24,15625000,0,1665,0,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,0.0000000000000000,211.20956728489523,0.0000000000000000,0.54731026583458190,31
"20_2_3_1|FM|FM1|20260808","20_2_3_1|FM|FM1|20260808",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM1",20260808,COMPLETED,"BUDGET_BEFORE_PARTIAL_GENERATION","584922d6f32151ff6d70e0867d933611172f5944790389ca14f5fd010b852cae","016594cb3b7b2af888f43c59038baf3e2c26d10b1926a7a8d8f6c2bdbecb1579","ffca83d43be7a67b8860ad5ccbd5e3d51c2a0f7880509879c59ecbeac0dc9ebe",1950,40,31250000,0,1650,0,0.99999485347149790,0.74325413806611650,85.345391084396870,0.13980921541695449,0.13108733836848105,279.70088544128580,0.0000000000000000,0.58881202098345450,33
"20_2_3_1|FM|FM1|20260809","20_2_3_1|FM|FM1|20260809",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM1",20260809,COMPLETED,"BUDGET_BEFORE_PARTIAL_GENERATION","f5c1cc0d691296a8e223f0652ca3c332a6c873cc853fbc5a69455d26d55a4c61","016594cb3b7b2af888f43c59038baf3e2c26d10b1926a7a8d8f6c2bdbecb1579","53768fbc14fa722afe25c9c5862be2bf9ec16f9bf121a398b4e498607b65830b",1975,38,46875000,0,1675,0,0.99999267292036450,0.74387912928497430,83.460017562870930,0.14223403443338395,0.13479934901885388,254.89713508163880,0.0000000000000000,0.54517465647487310,26
"20_2_3_1|FM|FM1|20260810","20_2_3_1|FM|FM1|20260810",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM1",20260810,COMPLETED,"BUDGET_BEFORE_PARTIAL_GENERATION","9291ceb27a7f0ad98a44ad08d43d20b46aa1c6ad777f5f7f5ebf9c185e800f24","016594cb3b7b2af888f43c59038baf3e2c26d10b1926a7a8d8f6c2bdbecb1579","bd358176d9e5ec8ae89aa4bb51483e40751162eafe9c0513a6919bc5ff518f62",1961,37,46875000,0,1661,0,0.99998739865851060,0.76401560026036930,91.787471081639800,0.15775501732482736,0.13678743945704908,264.03534849160080,0.0000000000000000,0.56317637113517560,32
"20_2_3_1|FM|FM2|20260808","20_2_3_1|FM|FM2|20260808",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM2",20260808,COMPLETED,"BUDGET_BEFORE_PARTIAL_GENERATION","b3bf4b817636f04809d9c40f8779ca06140923e528f6de8b465c9ec1f5c8458b","1422eefd89ab3bc29b63c5f9228b5287141b82d15677ef21378616fc0c3d170f","ffca83d43be7a67b8860ad5ccbd5e3d51c2a0f7880509879c59ecbeac0dc9ebe",1956,42,31250000,0,1656,0,0.99997494840832090,0.65897881458117750,41.101287319632150,0.046461307471235210,0.085179145233485690,206.46020998769580,373.72721938488270,0.46754591316836286,32
"20_2_3_1|FM|FM2|20260809","20_2_3_1|FM|FM2|20260809",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM2",20260809,COMPLETED,"BUDGET_BEFORE_PARTIAL_GENERATION","02e65e92c9e523775305d9bd7d6e969527674d904441474f9b4a807b177a5724","1422eefd89ab3bc29b63c5f9228b5287141b82d15677ef21378616fc0c3d170f","53768fbc14fa722afe25c9c5862be2bf9ec16f9bf121a398b4e498607b65830b",1969,41,31250000,0,1669,0,0.99998745853804740,0.67573872066394000,54.976208634732930,0.057588539845853410,0.089364938498927830,248.26505335707014,324.46015713056937,0.56343592918239940,37
"20_2_3_1|FM|FM2|20260810","20_2_3_1|FM|FM2|20260810",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM2",20260810,COMPLETED,"BUDGET_BEFORE_PARTIAL_GENERATION","93a4384d353efa5473436444063467e98815ac2c03091a5346adb0847b298a02","1422eefd89ab3bc29b63c5f9228b5287141b82d15677ef21378616fc0c3d170f","bd358176d9e5ec8ae89aa4bb51483e40751162eafe9c0513a6919bc5ff518f62",1968,41,46875000,0,1668,0,0.99989818321815190,0.68163789919788730,50.952781991126630,0.058575942587054640,0.094345521319861570,222.43027820202732,280.81057267576773,0.51534613333164140,25
"20_2_3_1|FM|FM3|20260808","20_2_3_1|FM|FM3|20260808",false,"20_2_3_1","47d32d48e719219c5fa2b41e08278518c8162e3eb88398b5a4e8f54b61578a08","FM","FM3",20260808,COMPLETED,"BUDGET_BEFORE_PARTIAL_GENERATION","c48424e29a74581f226b5561235bd1478dcc15eecd3b3056fdddb0293bd7146a","e0bef85c2e2395491016f9ef93b53f4b0422cc765597aa967ea2ba7ac5479a3f","ffca83d43be7a67b8860ad5ccbd5e3d51c2a0f7880509879c59ecbeac0dc9ebe",1974,42,46875000,0,1674,0,0.99999905932373180,0.67359142229908240,62.178917122131860,0.059382075004723735,0.090370466862343600,266.14023386343720,385.37736990165920,0.60206186108673780,36
