schemaVersion,semanticTag,matrix,label,mechanism,configurationKey,registryStatus,reason,population,maxFEs,physicalSubswarmSizes,frontEligible,mechanismVectorHash
"p8-ablation-v3","fatigue_improved","FV","FV0","canonical baseline GA resource update","FV0","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"db9f6049896ca2d2e9d14439d9d33d053022c220e4b4482637b73d3926ef00d8"
"p8-ablation-v3","fatigue_improved","FV","FV1","FA-only leader update","FV1","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"c1dbe33e31f95a0f8172c0506a9165fca5fc1265e48d8cb9bfc0c10c3b5c96f4"
"p8-ablation-v3","fatigue_improved","FV","FV2","independent FA/MA/WA update","FV2","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"8f341c4561a676bb17bbbf59b6a57861b2b640693e358e99d2725ce33bf13982"
"p8-ablation-v3","fatigue_improved","FV","FV3","coupled FMW/MW/M/W update","FV3","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"6e96d5eeb755b2e34a7f6e5b7a289cd12a17f1d3ba48ee58b7528b40b597860b"
"p8-ablation-v3","fatigue_improved","FV","FV4","FV3 without resource inertia","FV4","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"86b42af08a440bef287a193ad8d6ab4a1d75ab20ac5ac01d9d13ff100d4488f0"
"p8-ablation-v3","fatigue_improved","FV","FV5","FV3 without legal exploration","FV5","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"2d7435fa36308e19626e8d4afa15dd13ed8f31226fe502fa07bab9c2566ecac7"
"p8-ablation-v3","fatigue_improved","FV","FV-Full","Qg/Qp plus complete CFVF","FV-Full","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"97bc400ebd39037f6bd11d26a53080c09ca06439d6bf9f6061cf3cf8cd85b583"
"p8-ablation-v3","deterministic_canonical","FM","FM0","deterministic canonical fixed worker efficiency","FM0","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"88e759a873549e8d5cb344311f9b0ffa33e7c3c50aa9c3179187f860c06ac7d8"
"p8-ablation-v3","fatigue_improved","FM","FM1","fatigue accumulation and duration feedback only","FM1","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"016594cb3b7b2af888f43c59038baf3e2c26d10b1926a7a8d8f6c2bdbecb1579"
"p8-ablation-v3","fatigue_improved","FM","FM2","accumulation plus natural recovery","FM2","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"1422eefd89ab3bc29b63c5f9228b5287141b82d15677ef21378616fc0c3d170f"
"p8-ablation-v3","fatigue_improved","FM","FM3","FM2 plus fatigue-aware worker selection","FM3","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"e0bef85c2e2395491016f9ef93b53f4b0422cc765597aa967ea2ba7ac5479a3f"
"p8-ablation-v3","fatigue_improved","QP","QP0","single baseline pbest","QP0","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"4939f214035d0ec64cfff9dd25cb33f6d25c121bbbad3a14f1911134d9c33f06"
"p8-ablation-v3","fatigue_improved","QP","QP1","lineage archive plus directional pbest","QP1","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"dbe8aa646acd52fe3d1ebc37126f47b255afff9bbb10e195d45be2ddbfcbdea6"
"p8-ablation-v3","fatigue_improved","QP","QP2","lineage archive plus four random policies","QP2","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"e2a84965ffdd61aecc0ccb05bdfe3cd92a9be806db0a4ea59360c761273e25d9"
"p8-ablation-v3","fatigue_improved","QP","QP3","lineage archive plus Q-pbest","QP3","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"00228e7456ca9844bb1a8116c66141c9a10af66cb9a72b0eb88f0e129809693e"
"p8-ablation-v3","fatigue_improved","QP","QP4","QP3 plus synchronous Q-gbest","QP4","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"4ed16c9d2f20774905d8caa0f83d2fc1e7cffb5dbebb72aac0ddf447753f3ada"
"p8-ablation-v3","fatigue_improved","QP","QP5","QP3 plus block-frozen Qp/Qg","QP5","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"e3cd8148357513d01646d4f0c5bf46d06048db9c1e9f21a2cc63a041aab844d4"
"p8-ablation-v3","fatigue_improved","QP","QP6","QP5 plus complete CFVF","QP6","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"4e4f63920dd74aef3cab1c6ce503ff28f5f4ded3719ec2b0d91cad04834093c5"
"p8-ablation-v3","fatigue_improved","VNS","V0","fixed-order original O1-O9","V0","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"97bc400ebd39037f6bd11d26a53080c09ca06439d6bf9f6061cf3cf8cd85b583"
"p8-ablation-v3","fatigue_improved","VNS","V1","fixed-order O1-O13","V1","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"bb78cbb181058240156e2a37888279e64e02df8447d4822e9491cf5df18ea139"
"p8-ablation-v3","fatigue_improved","VNS","V2","V1 plus Need-aware factory selection","V2","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"33c744c1c4aa56ad18c445cbdba142616cb8e384fae7387402b32c0f46902309"
"p8-ablation-v3","fatigue_improved","VNS","V3","V2 plus context-free Test-and-Apply","V3","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"a76233028e19cdaf099c69afa68c530a7941388ed6d1fda55425df209382226f"
"p8-ablation-v3","fatigue_improved","VNS","V4","V3 plus context without FAT/cost credit","V4","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"fc68c37b9376b83e2b2660e8de8f306a92b1ecbe3b107bb71b628f2b64cc6d1b"
"p8-ablation-v3","fatigue_improved","VNS","V5","V4 plus cost credit without FAT","V5","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"cefeff7f34282a63293ab60f86fef4017897e3df277152b9ddc23d172e9b8d5e"
"p8-ablation-v3","fatigue_improved","VNS","V-Full","V5 plus FAT fatigue context","V-Full","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"4bff64b7409f8f7d98a897db67137e6af02e9b4942e37956e0dc32d9383a29dd"
"p8-ablation-v3","deterministic_canonical","FULL","B0","deterministic canonical HMOPSO-QGS (Qg/PDDR/O1-O9)","B0","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"88e759a873549e8d5cb344311f9b0ffa33e7c3c50aa9c3179187f860c06ac7d8"
"p8-ablation-v3","fatigue_improved","FULL","B1","B0 plus fatigue-aware canonical decoder","B1","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"e0bef85c2e2395491016f9ef93b53f4b0422cc765597aa967ea2ba7ac5479a3f"
"p8-ablation-v3","fatigue_improved","FULL","B2","B1 plus complete CFVF","B2","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"4bc8c04ad3475efecb3910740783b176571a95c4fd477a550e79c012fcdaa0a0"
"p8-ablation-v3","fatigue_improved","FULL","B3","B2 plus lineage personal archive","B3","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"563049f334f97839083f0185325716edc88e7dc6517a56cc6936284f141bca00"
"p8-ablation-v3","fatigue_improved","FULL","B4","B3 plus Q-pbest","B4","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"01ccda74628eb0f1166c55504174ae0b56f8420b991a985aeda8395c04312ca3"
"p8-ablation-v3","fatigue_improved","FULL","B5","B4 plus block-frozen dual Q","B5","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"97bc400ebd39037f6bd11d26a53080c09ca06439d6bf9f6061cf3cf8cd85b583"
"p8-ablation-v3","fatigue_improved","FULL","B6","B5 plus fixed-order O1-O13","B6","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"bb78cbb181058240156e2a37888279e64e02df8447d4822e9491cf5df18ea139"
"p8-ablation-v3","fatigue_improved","FULL","B7","B6 plus contextual Test-and-Apply without FAT","B7","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"cefeff7f34282a63293ab60f86fef4017897e3df277152b9ddc23d172e9b8d5e"
"p8-ablation-v3","fatigue_improved","FULL","FULL","all approved modules including FAT context","FULL","COMPLETED","Exact P8 ablation profile p8-ablation-v3",100,2000,"[20, 40, 20, 20]",true,"4bff64b7409f8f7d98a897db67137e6af02e9b4942e37956e0dc32d9383a29dd"
