label,status,reason,initialHash,FE,frontSize,frontHash,baselineUpdates,cfvfOffspring,pddrEvents,archiveInsertions,qgSelections,qpActions,fixedEvents,cataTest,cataApply,formalOuter,formalQRounds,criticalSwap,criticalInsert,o1o9
FULL,PASS,,ffca83d43be7a67b8860ad5ccbd5e3d51c2a0f7880509879c59ecbeac0dc9ebe,20000,76,3766ee200c3c47e3e30af3f2a99cbc991a91acc9daa72c476cec222b2cc97479,0,7000,70,7000,280,6300,0,7946,4954,0,0,0,0,0
B1,PASS,,ffca83d43be7a67b8860ad5ccbd5e3d51c2a0f7880509879c59ecbeac0dc9ebe,20000,36,5e1363dbadef8f4510fbba05bc5daa3608fe035ed5d3ef55e27b0b1b0d3e28bb,5000,0,1,0,200,0,17361,0,0,1,50,65,65,14770
