observedFE,source,candidateFingerprint,Cmax,TEC,TWC,parentLineageId
1,INITIAL_POPULATION,0cd8083dfbfe8bfa620f012524985b585ae14db4e74b026fae2e185fd767a9e5,1114.0942500804956,135578.42767585206,445568.2969572059,-1
2,INITIAL_POPULATION,9c60ef4582e6c20a0e154c0d5a9c1d4ab5c6d5e448aa5c39f32e18d042eca122,1086.0255903704588,130653.7566240918,422820.00782377,-1
3,INITIAL_POPULATION,88a3549d9c17f90b286b807f4cceebf455ca6fed538b64c1b4467126626fb66f,1027.418249914569,132863.3778614839,419574.89455800323,-1
4,INITIAL_POPULATION,db517ba1ff1c6e6055de6295c39bb12c5d86a7603efffa9144d62fe55dd4bf26,984.3050413549596,134587.92852991115,450883.85214726836,-1
5,INITIAL_POPULATION,c3091feabd011f98188bf1440649c7218b885defa72719b8b9df532209e0bb52,1089.802923005785,134562.0116464996,422236.3303434369,-1
6,INITIAL_POPULATION,bfba4420220510c3e2c0a1922cb13a768dc01ecc63c9e5f38c170db104002d1e,1068.2968420023437,133867.24942515697,454993.0722295793,-1
7,INITIAL_POPULATION,d4cd7e6477492921b875674b4213f2f5d0dd100fac9f17b51d01b9de7e2c3a20,984.8844075421576,133296.72143439227,402629.24440862413,-1
8,INITIAL_POPULATION,d44b98e3b869569a185d74242f0005f5d46ade6ac31e8f54b4620e42b9aea12a,1158.4995054594822,133777.2599741002,451546.554234402,-1
9,INITIAL_POPULATION,5d0f1487efceefdbb9a789526eaa6d269ab2e61f6562fd796cab8c4a7140bce5,1174.5272399772118,132007.66574023722,437772.4259025035,-1
10,INITIAL_POPULATION,df758311457d5b6acae75e061209b83afd5ddf60472f12cac3c7d5cc66552034,1060.791361298958,132024.04315033037,438668.2752792293,-1
11,INITIAL_POPULATION,5f73d16c4556cdc3543041cb2842f2fe407565a2f7e024bba37864236f9c2cb5,1122.082560480579,135448.3392044136,463480.1243359676,-1
12,INITIAL_POPULATION,8b712279caff519503b5beee26208ca5c54024187a0ce3cbae23cd39253ded2d,939.5336728049475,131893.41854274698,402815.863320314,-1
13,INITIAL_POPULATION,076ca109ad3f2bda6daa08342c1630e5e9e7543ba7b07c015a87a93288a51c69,1461.3164385611553,132692.50939532244,466624.4736196698,-1
14,INITIAL_POPULATION,7aa855b66c4e3c7b76600b494c1b44e071cb93061f328214c6c38282a88caf08,961.5435641650747,133960.2969644755,430356.00729974324,-1
15,INITIAL_POPULATION,599c4866c6d40ab5cfe52a0da77e654fd707de34f2a5d3bfccd16d80da43208d,1108.242712174189,135640.1557275066,461918.3910149303,-1
16,INITIAL_POPULATION,7e2dc75df54249ceb39defc9905508bea57fe4362b6c594cd7e6820828713463,1025.0311217467602,132792.5509205247,403750.8097641552,-1
17,INITIAL_POPULATION,abbe3f06cca6501e15bf03ef1e3f3cf50e4667beaf58d07e6fdb9341a12f6e78,1207.6994721852225,133679.44003982903,426915.71034639364,-1
18,INITIAL_POPULATION,e5ad640b5e8c0ea46a171a54fa500c586b79131778ae622447028055f1918aba,1353.6515508556233,135234.03439422435,496641.57674915344,-1
19,INITIAL_POPULATION,02265e483d16727246324cf60402b19db3fd6fb6f9a527635f2669bf7be7067e,1131.3011037093404,135550.2582290998,478144.09829864,-1
20,INITIAL_POPULATION,8a5cc6e4bdd02f433ba7dc8dc33aef26f56ca4be03c282493fc4868fac7c4d70,970.501245630017,132522.16848052156,432288.05303207616,-1
21,INITIAL_POPULATION,7141a1394a37c1374cf742f1d10509f3b96818ec261cc0ce5bf5410a67a87728,979.5917469283481,133569.34500473307,448571.4690261653,-1
22,INITIAL_POPULATION,f9a4de2039e49633663e6baf712fc8e61a50ac40cb6a07f199c16c12897dc90a,934.594758719446,132525.3630170516,392621.5445041285,-1
23,INITIAL_POPULATION,a43998e65a5f29b22d12af0144aff66bd512f87677b3f1042b2abd5f5bd1e238,1017.4329197685084,132319.82015761116,420213.5748696438,-1
24,INITIAL_POPULATION,232b58b603afd0da478196d1c7bdc801fa7da1d0cba457bd63e6a15a3888dcf7,1081.5083781514265,136911.33409144604,473046.4990894743,-1
25,INITIAL_POPULATION,1ae71a3f9803dd13a87baa608a445524f82b700e420ce1d177fefd734c367f74,963.5938054355929,128984.61629266899,426888.19548761373,-1
26,INITIAL_POPULATION,04c8bfccfa1390638e2dbdfa2a7c6dbba1c398e922576e28cac58a88fb4072e9,1062.8968603293313,134423.1375867412,398385.96322264266,-1
