arm,status,FE,frontSize,minCmax,minTEC,minTWC,formalOuterCycles,formalQgRounds,cfvfOffspring,caTaLiteFE,formalLocalFE,dscrTeacherUses,archiveInsertions
baseline-20_2_4_1,COMPLETED,500000,247,111.030456,6858.992703,13116.870413,18,900,0,0,409900,-1,0
full-20_2_4_1,COMPLETED,500000,291,109.914064,6811.109882,13087.439988,17,850,85000,3811,411089,3400,1700
cross-20_2_4_1,69,83,386,208,178
baseline-20_5_3_1,COMPLETED,500000,192,251.739216,21228.370163,38996.147886,17,850,0,0,414900,-1,0
full-20_5_3_1,COMPLETED,500000,242,258.999383,20646.543630,37702.863203,17,850,85000,3979,410921,3400,1700
cross-20_5_3_1,0,151,283,91,192
