instance,hvBaseline,hvFull,hvRatio,hvUnion,hvFullShare,hvBaselineShare,cBaselineOverFull,cFullOverBaseline,igdBaseline,igdFull,unionNondominated,baseNondominated,fullNondominated
20_2_3_1,0.980335,0.987410,1.007217,1.039536,0.949856,0.943050,0.397394,0.166667,0.036811,0.035186,425,289,307
20_2_4_1,1.109868,1.112112,1.002022,1.148706,0.968143,0.966189,0.285223,0.279352,0.033455,0.030176,386,247,291
20_5_3_1,0.967808,0.888407,0.917958,1.005382,0.883651,0.962627,0.623967,0.000000,0.120601,0.066908,283,192,242
