instance,seed,arm,cycle,FE,windowEndFE,cmaxGap,tecGap,twcGap,workingSize,archiveSize
100_2_4_1,20260901,A2,1,31503,50000,0.0,0.0,0.0,100,43
100_2_4_1,20260901,A2,2,63171,100000,0.0,0.0,0.0,100,53
100_2_4_1,20260901,A2,3,95253,100000,0.0,0.0,0.0,100,120
100_2_4_1,20260901,A2,4,127245,150000,0.0,0.0,0.0,100,120
100_2_4_1,20260901,A2,5,159074,200000,0.0,0.0,0.0,100,135
100_2_4_1,20260901,A2,6,190550,200000,0.0,0.0,0.0,100,134
100_2_4_1,20260901,A2,7,222105,250000,0.0,0.0,0.0,100,137
100_2_4_1,20260901,A2,8,250000,250000,0.7077902097853439,0.0,0.0,100,143
100_2_4_1,20260901,A4,1,6768,50000,5.573213966181356,373.8129647198293,1188.226389845251,100,23
100_2_4_1,20260901,A4,2,13442,50000,0.0,0.0,3203.0257615283626,100,43
100_2_4_1,20260901,A4,3,20128,50000,0.0,218.48664669832942,330.39556768698094,100,59
100_2_4_1,20260901,A4,4,26830,50000,0.0,191.73204058219562,320.5611298374133,100,53
100_2_4_1,20260901,A4,5,33554,50000,0.0,210.41457961889682,662.3376359872345,100,113
100_2_4_1,20260901,A4,6,40306,50000,0.0,0.0,661.0533381176501,100,129
100_2_4_1,20260901,A4,7,47091,50000,0.0,50.40864016371779,186.13338939732057,100,132
100_2_4_1,20260901,A4,8,53915,100000,0.0,165.80198656277207,661.6236331257533,100,136
100_2_4_1,20260901,A4,9,60785,100000,0.0,224.40427510608424,203.41518935615022,100,146
100_2_4_1,20260901,A4,10,67707,100000,0.0,138.51576100328384,509.78042591114354,100,159
100_2_4_1,20260901,A4,11,74688,100000,0.0,281.2848797208135,267.34143344141194,100,161
100_2_4_1,20260901,A4,12,81736,100000,0.0,191.70792322149646,267.34143344141194,100,158
100_2_4_1,20260901,A4,13,88860,100000,0.0,37.354971215296246,631.2745822642464,100,166
100_2_4_1,20260901,A4,14,96068,100000,0.0,85.86090698257613,465.7120741444669,100,199
100_2_4_1,20260901,A4,15,103371,150000,0.0,110.08354944073653,240.89735310258402,100,145
100_2_4_1,20260901,A4,16,110780,150000,0.0,207.28089205011202,219.956787198229,100,170
100_2_4_1,20260901,A4,17,118307,150000,0.0,207.28089205011202,308.8376731131284,100,188
100_2_4_1,20260901,A4,18,125967,150000,0.0,277.0712705058686,254.32911884671194,100,173
100_2_4_1,20260901,A4,19,133776,150000,0.0,277.0712705058686,755.8552431029675,100,169
