instance,seed,arm,status,actualFE,hardGatesPass,terminalCheckpointPass,checkpointTriplesObserved,expectedCheckpointTriples,contractVersion,accepted
100_2_4_1,20260901,A2,COMPLETED,250000,true,true,30,30,V35_MIDHORIZON_D_CONTRACT_V3_1,true
100_2_4_1,20260901,A4,COMPLETED,250000,true,true,30,30,V35_MIDHORIZON_D_CONTRACT_V3_1,true
100_2_4_1,20260902,A2,COMPLETED,250000,true,true,30,30,V35_MIDHORIZON_D_CONTRACT_V3_1,true
100_2_4_1,20260902,A4,COMPLETED,250000,true,true,30,30,V35_MIDHORIZON_D_CONTRACT_V3_1,true
100_2_4_1,20260903,A2,COMPLETED,250000,true,true,30,30,V35_MIDHORIZON_D_CONTRACT_V3_1,true
100_2_4_1,20260903,A4,COMPLETED,250000,true,true,30,30,V35_MIDHORIZON_D_CONTRACT_V3_1,true
100_5_3_1,20260901,A2,COMPLETED,250000,true,true,30,30,V35_MIDHORIZON_D_CONTRACT_V3_1,true
100_5_3_1,20260901,A4,COMPLETED,250000,true,true,30,30,V35_MIDHORIZON_D_CONTRACT_V3_1,true
100_5_3_1,20260902,A2,COMPLETED,250000,true,true,30,30,V35_MIDHORIZON_D_CONTRACT_V3_1,true
100_5_3_1,20260902,A4,COMPLETED,250000,true,true,30,30,V35_MIDHORIZON_D_CONTRACT_V3_1,true
100_5_3_1,20260903,A2,COMPLETED,250000,true,true,30,30,V35_MIDHORIZON_D_CONTRACT_V3_1,true
100_5_3_1,20260903,A4,COMPLETED,250000,true,true,30,30,V35_MIDHORIZON_D_CONTRACT_V3_1,true
