instance,seed,arm,windowEndFE,medianCmaxGap,maxCmaxGap,medianTecGap,maxTecGap,medianTwcGap,maxTwcGap,medianArchiveSize
100_2_4_1,20260901,A2,50000,0.0,0.0,0.0,0.0,0.0,0.0,43.0
100_2_4_1,20260901,A2,100000,0.0,0.0,0.0,0.0,0.0,0.0,86.5
100_2_4_1,20260901,A2,150000,0.0,0.0,0.0,0.0,0.0,0.0,120.0
100_2_4_1,20260901,A2,200000,0.0,0.0,0.0,0.0,0.0,0.0,134.5
100_2_4_1,20260901,A2,250000,0.35389510489267195,0.7077902097853439,0.0,0.0,0.0,0.0,140.0
100_2_4_1,20260901,A4,50000,0.0,5.573213966181356,191.73204058219562,373.8129647198293,661.0533381176501,3203.0257615283626,59.0
100_2_4_1,20260901,A4,100000,0.0,0.0,165.80198656277207,281.2848797208135,465.7120741444669,661.6236331257533,159.0
100_2_4_1,20260901,A4,150000,0.0,0.0,207.28089205011202,277.0712705058686,308.8376731131284,755.8552431029675,170.0
100_2_4_1,20260901,A4,200000,7.628186236588817,7.628186236588817,147.8385188322136,150.33002578693413,394.72522444976494,394.72522444976494,194.0
100_2_4_1,20260901,A4,250000,7.628186236588817,7.628186236588817,165.72837738424278,216.11008674439654,241.3476633434475,241.3476633434475,246.0
100_2_4_1,20260902,A2,50000,0.0,0.0,0.0,0.0,0.0,0.0,48.0
100_2_4_1,20260902,A2,100000,0.0,0.0,0.0,0.0,0.0,0.0,88.5
100_2_4_1,20260902,A2,150000,0.0,0.0,0.0,0.0,0.0,0.0,133.0
100_2_4_1,20260902,A2,200000,0.0,0.0,0.0,0.0,0.0,0.0,107.0
100_2_4_1,20260902,A2,250000,0.0,0.0,0.0,0.0,0.0,0.0,108.5
100_2_4_1,20260902,A4,50000,0.0,0.0,309.174599512502,783.2727799809945,550.7741280744958,1790.0780930137407,109.0
100_2_4_1,20260902,A4,100000,0.0,0.0,99.08350104239798,195.00215746953472,330.10412420809735,893.4173356507818,173.0
