granularity,instance,seed,arm,cohortWindowEndFE,representative,poolRepresentatives,pddrSelected,poolToPddrRate,enteredNextPopulation,poolToNextRate,nextCycleEligible,survivedNextCycle,nextToNextCycleRate,teacherUsed,nextToTeacherRate,teacherExposure,teacherProducedImprovement,teacherToImprovementRate,improvedOffspringCount
LABEL_EVENT,100_2_4_1,20260901,A2,50000,E_B,1,1,1.0,1,1.0,1,0,0.0,1,1.0,3,1,1.0,3
LABEL_EVENT,100_2_4_1,20260901,A2,50000,E_C,1,1,1.0,1,1.0,1,1,1.0,1,1.0,82,1,1.0,200
LABEL_EVENT,100_2_4_1,20260901,A2,50000,E_E,1,1,1.0,1,1.0,1,0,0.0,0,0.0,0,0,,0
LABEL_EVENT,100_2_4_1,20260901,A2,50000,E_W,1,1,1.0,1,1.0,1,0,0.0,1,1.0,4,1,1.0,24
LABEL_EVENT,100_2_4_1,20260901,A2,100000,E_B,2,2,1.0,2,1.0,2,1,0.5,0,0.0,0,0,,0
LABEL_EVENT,100_2_4_1,20260901,A2,100000,E_C,2,2,1.0,2,1.0,2,2,1.0,2,1.0,112,2,1.0,229
LABEL_EVENT,100_2_4_1,20260901,A2,100000,E_E,2,2,1.0,2,1.0,2,2,1.0,1,0.5,3,1,1.0,35
LABEL_EVENT,100_2_4_1,20260901,A2,100000,E_W,2,2,1.0,2,1.0,2,2,1.0,2,1.0,41,2,1.0,53
LABEL_EVENT,100_2_4_1,20260901,A2,150000,E_B,1,1,1.0,1,1.0,1,1,1.0,0,0.0,0,0,,0
LABEL_EVENT,100_2_4_1,20260901,A2,150000,E_C,1,1,1.0,1,1.0,1,1,1.0,1,1.0,44,1,1.0,97
LABEL_EVENT,100_2_4_1,20260901,A2,150000,E_E,1,1,1.0,1,1.0,1,1,1.0,1,1.0,3,1,1.0,84
LABEL_EVENT,100_2_4_1,20260901,A2,150000,E_W,1,1,1.0,1,1.0,1,1,1.0,1,1.0,21,1,1.0,21
LABEL_EVENT,100_2_4_1,20260901,A2,200000,E_B,2,2,1.0,2,1.0,2,2,1.0,0,0.0,0,0,,0
LABEL_EVENT,100_2_4_1,20260901,A2,200000,E_C,2,2,1.0,2,1.0,2,2,1.0,2,1.0,54,2,1.0,153
LABEL_EVENT,100_2_4_1,20260901,A2,200000,E_E,2,2,1.0,2,1.0,2,2,1.0,2,1.0,2,2,1.0,64
LABEL_EVENT,100_2_4_1,20260901,A2,200000,E_W,2,2,1.0,2,1.0,2,2,1.0,2,1.0,54,2,1.0,112
LABEL_EVENT,100_2_4_1,20260901,A2,250000,E_B,2,2,1.0,2,1.0,1,1,1.0,0,0.0,0,0,,0
LABEL_EVENT,100_2_4_1,20260901,A2,250000,E_C,2,1,0.5,1,0.5,1,0,0.0,1,1.0,11,1,1.0,26
LABEL_EVENT,100_2_4_1,20260901,A2,250000,E_E,2,2,1.0,2,1.0,1,1,1.0,1,0.5,1,1,1.0,32
LABEL_EVENT,100_2_4_1,20260901,A2,250000,E_W,2,2,1.0,2,1.0,1,1,1.0,1,0.5,4,1,1.0,17
LABEL_EVENT,100_2_4_1,20260901,A4,50000,E_B,7,7,1.0,7,1.0,7,5,0.7142857142857143,7,1.0,2659,4,0.5714285714285714,91
LABEL_EVENT,100_2_4_1,20260901,A4,50000,E_C,7,7,1.0,7,1.0,7,7,1.0,7,1.0,655,5,0.7142857142857143,1662
LABEL_EVENT,100_2_4_1,20260901,A4,50000,E_E,7,7,1.0,7,1.0,7,3,0.42857142857142855,6,0.8571428571428571,2546,6,1.0,1031
LABEL_EVENT,100_2_4_1,20260901,A4,50000,E_W,7,7,1.0,7,1.0,7,3,0.42857142857142855,7,1.0,509,5,0.7142857142857143,196
LABEL_EVENT,100_2_4_1,20260901,A4,100000,E_B,7,7,1.0,7,1.0,7,6,0.8571428571428571,5,0.7142857142857143,21,0,0.0,0
LABEL_EVENT,100_2_4_1,20260901,A4,100000,E_C,7,7,1.0,7,1.0,7,7,1.0,7,1.0,1062,7,1.0,2769
LABEL_EVENT,100_2_4_1,20260901,A4,100000,E_E,7,7,1.0,7,1.0,7,4,0.5714285714285714,7,1.0,1110,7,1.0,558
LABEL_EVENT,100_2_4_1,20260901,A4,100000,E_W,7,7,1.0,7,1.0,7,6,0.8571428571428571,7,1.0,245,6,0.8571428571428571,347
LABEL_EVENT,100_2_4_1,20260901,A4,150000,E_B,7,7,1.0,7,1.0,7,7,1.0,7,1.0,76,0,0.0,0
LABEL_EVENT,100_2_4_1,20260901,A4,150000,E_C,7,7,1.0,7,1.0,7,7,1.0,7,1.0,440,7,1.0,1359
LABEL_EVENT,100_2_4_1,20260901,A4,150000,E_E,7,7,1.0,7,1.0,7,5,0.7142857142857143,6,0.8571428571428571,1524,6,1.0,711
LABEL_EVENT,100_2_4_1,20260901,A4,150000,E_W,7,7,1.0,7,1.0,7,3,0.42857142857142855,7,1.0,1233,5,0.7142857142857143,411
LABEL_EVENT,100_2_4_1,20260901,A4,200000,E_B,5,5,1.0,5,1.0,5,5,1.0,4,0.8,64,1,0.25,3
LABEL_EVENT,100_2_4_1,20260901,A4,200000,E_C,5,4,0.8,4,0.8,4,3,0.75,4,1.0,32,3,0.75,62
LABEL_EVENT,100_2_4_1,20260901,A4,200000,E_E,5,5,1.0,5,1.0,5,4,0.8,5,1.0,2490,4,0.8,1033
LABEL_EVENT,100_2_4_1,20260901,A4,200000,E_W,5,5,1.0,5,1.0,5,4,0.8,5,1.0,699,5,1.0,268
LABEL_EVENT,100_2_4_1,20260901,A4,250000,E_B,5,5,1.0,5,1.0,4,4,1.0,1,0.2,4,0,0.0,0
LABEL_EVENT,100_2_4_1,20260901,A4,250000,E_C,5,5,1.0,5,1.0,4,4,1.0,3,0.6,3,0,0.0,0
LABEL_EVENT,100_2_4_1,20260901,A4,250000,E_E,5,5,1.0,5,1.0,4,3,0.75,4,0.8,1029,4,1.0,648
