instance,seed,arm,checkpointFE,referenceFamily,frontType,frontSize,minCmax,minTEC,minTWC,HV,IGD
100_2_4_1,20260901,A2,25000,FORMAL_DECISION,decisionArchiveFront,48,647.3694943984907,46871.64044074042,79803.87983667271,0.0,1.5968092601273478
100_2_4_1,20260901,A2,50000,FORMAL_DECISION,decisionArchiveFront,58,620.1836997274739,43946.34447675728,70218.97503209114,0.34526720928896315,0.30342340280027574
100_2_4_1,20260901,A2,75000,FORMAL_DECISION,decisionArchiveFront,118,620.1836997274739,42847.834577542846,68757.48219259059,0.5002051477256573,0.1750961084583955
100_2_4_1,20260901,A2,100000,FORMAL_DECISION,decisionArchiveFront,135,620.1836997274739,42047.03304501456,67777.65752884252,0.6043834641827247,0.13581108543706022
100_2_4_1,20260901,A2,125000,FORMAL_DECISION,decisionArchiveFront,130,620.1836997274739,42047.03304501456,67777.65752884252,0.6082971768819257,0.13442898784704652
100_2_4_1,20260901,A2,150000,FORMAL_DECISION,decisionArchiveFront,129,620.1836997274739,41155.503462225824,67777.65752884252,0.6569184754198194,0.11976686582208618
100_2_4_1,20260901,A2,175000,FORMAL_DECISION,decisionArchiveFront,134,620.1836997274739,41155.503462225824,67464.91751050897,0.6804822240879563,0.11562613415805328
100_2_4_1,20260901,A2,200000,FORMAL_DECISION,decisionArchiveFront,139,620.1836997274739,41155.503462225824,67464.91751050897,0.6923702744482892,0.1104913208323913
100_2_4_1,20260901,A2,225000,FORMAL_DECISION,decisionArchiveFront,141,620.1836997274739,41155.503462225824,67323.9215374865,0.7069790914358836,0.10819834344242377
100_2_4_1,20260901,A2,250000,FORMAL_DECISION,decisionArchiveFront,143,620.1836997274739,41155.503462225824,67323.9215374865,0.7087810051924673,0.1076852695470005
100_2_4_1,20260901,A4,25000,FORMAL_DECISION,decisionArchiveFront,56,616.2104485298418,46743.101697748,74734.09056798131,0.016316416039614805,0.8218099763080876
100_2_4_1,20260901,A4,50000,FORMAL_DECISION,decisionArchiveFront,128,599.9797345869551,45858.801518536355,73001.36899830676,0.08849676670801081,0.6149036581202681
100_2_4_1,20260901,A4,75000,FORMAL_DECISION,decisionArchiveFront,165,599.9797345869551,45070.555816940265,71893.01989121905,0.1624445344332779,0.4923554143838024
100_2_4_1,20260901,A4,100000,FORMAL_DECISION,decisionArchiveFront,145,599.9797345869551,44760.235958671,71301.88519388529,0.21934104957386158,0.4180901498181652
100_2_4_1,20260901,A4,125000,FORMAL_DECISION,decisionArchiveFront,173,599.9797345869551,44513.28302652425,70903.4672604312,0.2563096880815928,0.36443178906445
100_2_4_1,20260901,A4,150000,FORMAL_DECISION,decisionArchiveFront,187,599.9797345869551,44327.136295932,70291.2675766577,0.32619520859869333,0.2935101402835602
100_2_4_1,20260901,A4,175000,FORMAL_DECISION,decisionArchiveFront,194,599.9797345869551,44205.60152108848,69131.65365588958,0.4092311537869412,0.2206148647666922
100_2_4_1,20260901,A4,200000,FORMAL_DECISION,decisionArchiveFront,225,599.9797345869551,43950.255020186916,69023.62704438687,0.4353593617639745,0.2025740991497226
100_2_4_1,20260901,A4,225000,FORMAL_DECISION,decisionArchiveFront,257,599.9797345869551,43617.11888519773,68714.1162760748,0.4753243800419165,0.1813290761760708
100_2_4_1,20260901,A4,250000,FORMAL_DECISION,decisionArchiveFront,259,599.9797345869551,43617.11888519773,68714.1162760748,0.4899559719935576,0.16688631978886126
100_2_4_1,20260902,A2,25000,FORMAL_DECISION,decisionArchiveFront,37,649.6717786536759,45551.435765155315,75587.38458972896,0.0,0.9097832531267622
100_2_4_1,20260902,A2,50000,FORMAL_DECISION,decisionArchiveFront,70,621.8799906687234,43554.943838235355,72115.99482593755,0.10930781433504824,0.5527798851453358
100_2_4_1,20260902,A2,75000,FORMAL_DECISION,decisionArchiveFront,105,621.8799906687234,42922.275733140385,71207.98296589578,0.18795501107862708,0.4299318689878017
100_2_4_1,20260902,A2,100000,FORMAL_DECISION,decisionArchiveFront,128,621.8799906687234,42237.32661214767,70106.36629002559,0.25980907720335644,0.3875280013401045
100_2_4_1,20260902,A2,125000,FORMAL_DECISION,decisionArchiveFront,128,621.8799906687234,42237.32661214767,70106.36629002559,0.25980907720335644,0.3875280013401045
100_2_4_1,20260902,A2,150000,FORMAL_DECISION,decisionArchiveFront,105,618.4355074031091,42218.737518761576,70106.36629002559,0.28317835358391374,0.36832021349960775
100_2_4_1,20260902,A2,175000,FORMAL_DECISION,decisionArchiveFront,109,618.4355074031091,42218.737518761576,70106.36629002559,0.3306382936929353,0.3181445408368163
100_2_4_1,20260902,A2,200000,FORMAL_DECISION,decisionArchiveFront,108,618.4355074031091,41855.58384922796,68841.764437712,0.40781685434545456,0.2868900074346813
100_2_4_1,20260902,A2,225000,FORMAL_DECISION,decisionArchiveFront,110,618.4355074031091,41793.93436635659,68841.764437712,0.41268193259211333,0.28630340997826226
100_2_4_1,20260902,A2,250000,FORMAL_DECISION,decisionArchiveFront,109,618.4355074031091,41793.93436635659,68841.764437712,0.4306809410200716,0.27340152607814294
100_2_4_1,20260902,A4,25000,FORMAL_DECISION,decisionArchiveFront,73,596.6234068343277,47062.15032390838,73525.18336986512,0.0028755062498503656,0.8456156372020636
100_2_4_1,20260902,A4,50000,FORMAL_DECISION,decisionArchiveFront,161,596.6234068343277,46088.28238807993,72530.3462104695,0.05663373774725437,0.6568833350016273
100_2_4_1,20260902,A4,75000,FORMAL_DECISION,decisionArchiveFront,154,596.6234068343277,45315.48132911233,70991.00751972663,0.1355771247325479,0.514418733906489
100_2_4_1,20260902,A4,100000,FORMAL_DECISION,decisionArchiveFront,212,596.6234068343277,44837.050482822786,70398.73774754404,0.23299278682830904,0.3911870347963272
100_2_4_1,20260902,A4,125000,FORMAL_DECISION,decisionArchiveFront,267,596.6234068343277,44534.76190474133,70398.73774754404,0.2639011552480892,0.3657291489101252
100_2_4_1,20260902,A4,150000,FORMAL_DECISION,decisionArchiveFront,222,596.6234068343277,44528.33701580485,69866.7199450499,0.2865291519642464,0.3338150458337399
100_2_4_1,20260902,A4,175000,FORMAL_DECISION,decisionArchiveFront,229,595.7717843625286,44266.970619305794,69533.31834233152,0.33890974203827806,0.289079363503407
100_2_4_1,20260902,A4,200000,FORMAL_DECISION,decisionArchiveFront,257,595.2081205114579,44139.9949758348,69475.0092279582,0.3597620460935711,0.2697540565349301
100_2_4_1,20260902,A4,225000,FORMAL_DECISION,decisionArchiveFront,283,595.2081205114579,43085.93292106481,69215.21966192381,0.3666682716419505,0.26208098445711675
100_2_4_1,20260902,A4,250000,FORMAL_DECISION,decisionArchiveFront,315,595.2081205114579,42630.15173356875,69215.21966192381,0.4013432306919035,0.23873820733195492
100_2_4_1,20260903,A2,25000,FORMAL_DECISION,decisionArchiveFront,86,614.5250684363914,45414.90112525747,71815.43054434248,0.08246719481784859,0.5850331403856298
100_2_4_1,20260903,A2,50000,FORMAL_DECISION,decisionArchiveFront,95,600.5778129881518,44181.602790232406,69949.89559292118,0.2614667370372994,0.3347277519573823
100_2_4_1,20260903,A2,75000,FORMAL_DECISION,decisionArchiveFront,97,600.5778129881518,43474.08062626116,69407.87448269915,0.3321280285572044,0.2618769363699532
100_2_4_1,20260903,A2,100000,FORMAL_DECISION,decisionArchiveFront,62,600.5778129881518,43070.44594798888,67583.19442790464,0.5116468722578486,0.16168920458249653
100_2_4_1,20260903,A2,125000,FORMAL_DECISION,decisionArchiveFront,69,600.5778129881518,43070.44594798888,67583.19442790464,0.5228603839302945,0.15471997189096254
100_2_4_1,20260903,A2,150000,FORMAL_DECISION,decisionArchiveFront,113,600.5778129881518,42550.508384837885,67449.83126427804,0.554993660403581,0.13893905853676117
100_2_4_1,20260903,A2,175000,FORMAL_DECISION,decisionArchiveFront,125,600.5778129881518,41842.73411991822,67193.85441317552,0.6120345077325805,0.12457293194502815
100_2_4_1,20260903,A2,200000,FORMAL_DECISION,decisionArchiveFront,145,600.5778129881518,41724.858309541116,67152.28594696625,0.6368655900852043,0.11694944196388622
100_2_4_1,20260903,A2,225000,FORMAL_DECISION,decisionArchiveFront,170,598.5782982772212,41633.79394179987,66902.43422569586,0.6560440237589888,0.11443954122044517
100_2_4_1,20260903,A2,250000,FORMAL_DECISION,decisionArchiveFront,144,598.5782982772212,41310.53007649315,66902.43422569586,0.669781444693334,0.11701561056816932
100_2_4_1,20260903,A4,25000,FORMAL_DECISION,decisionArchiveFront,87,605.4384931986937,45376.90580707118,72740.15810615246,0.10193309991894278,0.6065655471177159
100_2_4_1,20260903,A4,50000,FORMAL_DECISION,decisionArchiveFront,145,593.4428722062963,44414.33423678481,70008.41907706257,0.3345754042100336,0.2725229444615188
100_2_4_1,20260903,A4,75000,FORMAL_DECISION,decisionArchiveFront,202,593.4428722062963,43341.8442515156,69342.83136210062,0.4244437973235574,0.21291111454386893
100_2_4_1,20260903,A4,100000,FORMAL_DECISION,decisionArchiveFront,216,592.9502808536482,43287.89581101171,68467.02884094417,0.5114473151381222,0.14436486481576044
100_2_4_1,20260903,A4,125000,FORMAL_DECISION,decisionArchiveFront,284,592.9502808536482,43039.83110375994,68131.63695098291,0.566793241434542,0.10926886618815687
100_2_4_1,20260903,A4,150000,FORMAL_DECISION,decisionArchiveFront,273,592.9502808536482,42730.131757780735,67971.10774325233,0.6186842343626087,0.08308518578389963
