instance,checkpointFE,medianDeltaCmaxBetter,medianDeltaHVBetter,medianDeltaIGDBetter,jointA4WorseSeeds
100_2_4_1,25000,0.04813177966873564,2875506249.8503656,0.07053066288499601,0
100_2_4_1,50000,0.03257738819868529,-0.4818875659368532,-0.18832713102236132,2
100_2_4_1,75000,0.03257738819868529,-0.2786724655304241,-0.19651221743016298,2
100_2_4_1,100000,0.03257738819868529,-0.10321537131690704,-0.009441984691607983,2
100_2_4_1,125000,0.03257738819868529,0.015750327466541293,0.056251038259421356,1
100_2_4_1,150000,0.03257738819868529,0.011832819627365007,0.09368252515390284,1
100_2_4_1,175000,0.03257738819868529,0.02501660728089919,0.09135840350099705,1
100_2_4_1,200000,0.03257738819868529,-0.11783428698407121,0.05973003749059703,1
100_2_4_1,225000,0.03257738819868529,-0.11149909243941106,0.08460404129655531,1
100_2_4_1,250000,0.03257738819868529,-0.06811936060760315,0.12678538866780373,1
100_5_3_1,25000,0.054774378017876144,-0.10590835814125103,-0.08571503482512849,2
100_5_3_1,50000,0.02258065225540888,-0.055931793297391855,-0.17769208259502767,2
100_5_3_1,75000,0.024881014759611523,-0.08527776230078156,-0.25480917649925233,2
100_5_3_1,100000,0.024747187609001124,-0.08454583962210042,-0.12150176219943912,2
100_5_3_1,125000,0.024747187609001124,-0.0650528038709382,-0.03766620787664172,3
100_5_3_1,150000,0.024747187609001124,-0.06985558597542281,-0.020752734192795254,2
100_5_3_1,175000,0.024747187609001124,-0.08994773575276545,-0.15716613126920104,3
100_5_3_1,200000,0.024983317372035758,-0.07927144487098248,-0.1649738744877484,3
100_5_3_1,225000,0.024983317372035758,-0.06540681480450708,-0.13386069063654651,3
100_5_3_1,250000,0.024983317372035758,-0.08290456765290427,-0.13033734634629987,3
