instance,seed,arm,cycle,FE,windowEndFE,poolSize,uniqueObjectiveCount,strictNdCount,selectedCount
100_2_4_1,20260901,A2,1,31503,50000,300,248,32,100
100_2_4_1,20260901,A2,2,63171,100000,300,264,27,100
100_2_4_1,20260901,A2,3,95253,100000,300,266,53,100
100_2_4_1,20260901,A2,4,127245,150000,300,266,59,100
100_2_4_1,20260901,A2,5,159074,200000,300,265,70,100
100_2_4_1,20260901,A2,6,190550,200000,300,265,67,100
100_2_4_1,20260901,A2,7,222105,250000,300,262,68,100
100_2_4_1,20260901,A2,8,250000,250000,286,249,70,100
100_2_4_1,20260901,A4,1,6768,50000,254,202,13,100
100_2_4_1,20260901,A4,2,13442,50000,240,188,14,100
100_2_4_1,20260901,A4,3,20128,50000,233,186,21,100
100_2_4_1,20260901,A4,4,26830,50000,243,205,20,100
100_2_4_1,20260901,A4,5,33554,50000,226,182,29,100
100_2_4_1,20260901,A4,6,40306,50000,228,191,37,100
100_2_4_1,20260901,A4,7,47091,50000,230,183,37,100
100_2_4_1,20260901,A4,8,53915,100000,230,181,51,100
100_2_4_1,20260901,A4,9,60785,100000,224,179,53,100
100_2_4_1,20260901,A4,10,67707,100000,228,182,59,100
100_2_4_1,20260901,A4,11,74688,100000,221,178,50,100
100_2_4_1,20260901,A4,12,81736,100000,223,177,55,100
100_2_4_1,20260901,A4,13,88860,100000,232,189,54,100
100_2_4_1,20260901,A4,14,96068,100000,228,188,49,100
100_2_4_1,20260901,A4,15,103371,150000,220,181,55,100
100_2_4_1,20260901,A4,16,110780,150000,230,191,57,100
100_2_4_1,20260901,A4,17,118307,150000,226,187,67,100
100_2_4_1,20260901,A4,18,125967,150000,225,187,54,100
100_2_4_1,20260901,A4,19,133776,150000,234,191,52,100
100_2_4_1,20260901,A4,20,141753,150000,230,182,55,100
100_2_4_1,20260901,A4,21,149920,150000,240,198,55,100
100_2_4_1,20260901,A4,22,158303,200000,244,198,55,100
100_2_4_1,20260901,A4,23,166933,200000,243,198,65,100
100_2_4_1,20260901,A4,24,175848,200000,242,196,57,100
100_2_4_1,20260901,A4,25,185095,200000,245,201,60,100
100_2_4_1,20260901,A4,26,194733,200000,240,197,55,100
100_2_4_1,20260901,A4,27,204840,250000,252,211,65,100
100_2_4_1,20260901,A4,28,215519,250000,249,210,72,100
100_2_4_1,20260901,A4,29,226914,250000,254,217,63,100
100_2_4_1,20260901,A4,30,239235,250000,243,205,58,100
100_2_4_1,20260901,A4,31,250000,250000,249,207,62,100
100_2_4_1,20260902,A2,1,30774,50000,300,245,34,100
100_2_4_1,20260902,A2,2,62533,100000,300,270,42,100
100_2_4_1,20260902,A2,3,94298,100000,300,265,45,100
100_2_4_1,20260902,A2,4,125786,150000,300,259,48,100
100_2_4_1,20260902,A2,5,157152,200000,300,251,50,100
