instance,referenceFamily,Cmax,TEC,TWC
100_2_4_1,FORMAL_DECISION,602.4718631549015,47188.484757317165,70237.06504233305
100_2_4_1,FORMAL_DECISION,602.495071407544,47393.927603385135,69281.96327231177
100_2_4_1,FORMAL_DECISION,602.495071407544,47534.50736323815,69270.11813038128
100_2_4_1,FORMAL_DECISION,602.7446192966121,47103.580264914126,70989.69206209359
100_2_4_1,FORMAL_DECISION,603.8997395780767,47137.94591767617,70304.53559217646
100_2_4_1,FORMAL_DECISION,604.0662860701193,47104.6705083984,70423.82673594462
100_2_4_1,FORMAL_DECISION,605.0501144693163,47266.98179624317,70051.79351941266
100_2_4_1,FORMAL_DECISION,605.4384931986937,47039.03256008499,71215.94321835376
100_2_4_1,FORMAL_DECISION,606.0996502509554,47539.613260152815,69234.60674557254
100_2_4_1,FORMAL_DECISION,607.5187509335951,47276.94671844188,69852.16147083085
100_2_4_1,FORMAL_DECISION,607.6625627571589,47385.0623211826,69080.10928784346
100_2_4_1,FORMAL_DECISION,608.1453935659215,47313.44281427974,69727.71963373519
100_2_4_1,FORMAL_DECISION,608.1644107328773,47177.41009326777,70202.28643560072
100_2_4_1,FORMAL_DECISION,608.1700543808696,47153.12323630712,69705.44051966822
100_2_4_1,FORMAL_DECISION,608.5077815698431,47319.46156798958,69342.82959575274
100_2_4_1,FORMAL_DECISION,608.5903636873422,46920.10042374005,72586.78751199757
100_2_4_1,FORMAL_DECISION,610.165335779818,47052.909644524,70906.63038657584
100_2_4_1,FORMAL_DECISION,610.3738239727404,47230.01208841711,69355.56282969457
100_2_4_1,FORMAL_DECISION,610.590096148431,47046.458670589156,70748.22716134004
100_2_4_1,FORMAL_DECISION,610.899747963176,47170.53752880471,69438.28624021508
100_2_4_1,FORMAL_DECISION,610.899747963176,47198.893822182064,69322.25551009757
100_2_4_1,FORMAL_DECISION,612.063615537518,46976.11997150891,72151.02602225485
100_2_4_1,FORMAL_DECISION,612.3647841596324,47100.038165000835,70231.57835571362
100_2_4_1,FORMAL_DECISION,612.5461840032867,47023.20825501556,69698.22279996217
100_2_4_1,FORMAL_DECISION,613.2240901647315,46969.97288109459,71076.84144148888
100_2_4_1,FORMAL_DECISION,613.328190609769,46947.5694790481,71196.54757616358
100_2_4_1,FORMAL_DECISION,613.4171490992711,46924.26855189406,72041.11937048059
100_2_4_1,FORMAL_DECISION,613.4623099315506,46896.475263511726,69224.92906285395
100_2_4_1,FORMAL_DECISION,613.4623099315506,47011.66135957731,69199.96394117971
100_2_4_1,FORMAL_DECISION,613.4754945784437,47331.590143382346,69172.1791337838
100_2_4_1,FORMAL_DECISION,613.4754945784437,47338.77701945517,69146.5056576223
100_2_4_1,FORMAL_DECISION,613.4755884092928,47138.854787673365,69153.39383311073
100_2_4_1,FORMAL_DECISION,613.5969130941193,46885.000012853525,69365.80853465239
100_2_4_1,FORMAL_DECISION,613.8997182271548,47132.89706177951,69114.7694423172
100_2_4_1,FORMAL_DECISION,613.8997182271548,47135.13758279402,69032.03788233724
100_2_4_1,FORMAL_DECISION,613.8997182271548,47231.30615188175,68977.11082616939
100_2_4_1,FORMAL_DECISION,614.1605697057709,46852.97740762503,70768.0240379217
100_2_4_1,FORMAL_DECISION,615.7537419918832,47115.78456578803,69092.0074765317
100_2_4_1,FORMAL_DECISION,616.9947689514514,46924.74050259811,69212.72793468581
100_2_4_1,FORMAL_DECISION,617.2337888952655,46938.763231888835,69171.95629602263
100_2_4_1,FORMAL_DECISION,617.9473337565387,46731.21199040931,69880.04635706054
100_2_4_1,FORMAL_DECISION,617.9473337565387,46838.62501622313,69772.22558187757
100_2_4_1,FORMAL_DECISION,617.9473337565387,46875.97851638317,69635.58815313442
100_2_4_1,FORMAL_DECISION,620.0165811835894,47028.66850883397,69129.08698349759
100_2_4_1,FORMAL_DECISION,620.8270214242152,46346.59384860172,72346.97945475497
100_2_4_1,FORMAL_DECISION,620.8914899372593,46243.866533039574,72957.36372454083
100_2_4_1,FORMAL_DECISION,621.3759319767905,46926.149934577275,69199.18974350076
100_2_4_1,FORMAL_DECISION,621.5762575607595,46770.571465852954,69847.92553569259
100_2_4_1,FORMAL_DECISION,621.5762575607595,46829.16407435248,69056.44520137315
100_2_4_1,FORMAL_DECISION,621.5762575607595,46869.850784751616,69030.88532543801
100_2_4_1,FORMAL_DECISION,621.5762575607595,46965.018190569186,68977.42834504828
100_2_4_1,FORMAL_DECISION,622.8579220155971,47002.132109248734,68812.62713489789
100_2_4_1,FORMAL_DECISION,623.4711510059175,46722.97471779218,70247.01349471702
100_2_4_1,FORMAL_DECISION,623.5261222726652,46603.419707996705,72263.09473321089
100_2_4_1,FORMAL_DECISION,623.5831719933957,46530.3221363328,71972.66901183293
100_2_4_1,FORMAL_DECISION,623.8061137073354,46775.88761072918,69810.2004184543
100_2_4_1,FORMAL_DECISION,624.0347223539541,46674.03046662212,71152.97286137487
100_2_4_1,FORMAL_DECISION,624.197867781713,46671.68618494723,71202.80841236781
100_2_4_1,FORMAL_DECISION,624.197867781713,46824.722988330584,69611.46666372704
100_2_4_1,FORMAL_DECISION,624.4405672390051,46819.9178975263,69163.22285866993
100_2_4_1,FORMAL_DECISION,624.4405672390051,46935.82035044287,68765.85897758501
100_2_4_1,FORMAL_DECISION,624.4405672390051,47045.42493318133,68509.90223318513
100_2_4_1,FORMAL_DECISION,624.8190867734019,46907.665331187796,68907.03799284062
100_2_4_1,FORMAL_DECISION,625.5418897649349,46709.91155452812,70139.7454650333
100_2_4_1,FORMAL_DECISION,625.7607097551778,46809.86878637166,69018.50629176326
100_2_4_1,FORMAL_DECISION,625.7615130497101,46678.629039321146,70537.97323996664
100_2_4_1,FORMAL_DECISION,625.762592998845,46774.66875996493,69712.3031450153
100_2_4_1,FORMAL_DECISION,626.1168073539973,46629.45025397504,70534.83951548605
100_2_4_1,FORMAL_DECISION,626.610311352266,46431.33125280045,70679.21433025056
100_2_4_1,FORMAL_DECISION,626.6988463435156,46418.4902343524,70446.93189429925
100_2_4_1,FORMAL_DECISION,627.2997160764246,46745.769114468574,68871.2942914048
100_2_4_1,FORMAL_DECISION,627.895296959118,46072.10096762356,73048.24553235051
100_2_4_1,FORMAL_DECISION,628.3379658857099,46408.357930812796,71965.47618790473
100_2_4_1,FORMAL_DECISION,630.4608756061915,46606.70037634419,68953.2118279208
100_2_4_1,FORMAL_DECISION,630.5452759954812,46811.17337554485,68841.96904177516
100_2_4_1,FORMAL_DECISION,630.7432297925026,46476.6337961472,70279.52117725572
100_2_4_1,FORMAL_DECISION,631.4744065712538,46543.689571948096,70229.67037941316
100_2_4_1,FORMAL_DECISION,631.7549842092993,46713.30134965846,68819.09500579008
100_2_4_1,FORMAL_DECISION,631.9712992734605,46879.3693659043,68550.47715893587
100_2_4_1,FORMAL_DECISION,632.667439085565,46297.84913182186,72865.53910806173
100_2_4_1,FORMAL_DECISION,632.7461064838567,46404.722304807045,70112.59914402384
100_2_4_1,FORMAL_DECISION,633.133289838723,45922.32433528638,73271.6215419379
100_2_4_1,FORMAL_DECISION,633.4601743244867,46274.11161912169,70911.64411681709
100_2_4_1,FORMAL_DECISION,634.2131387006489,47338.668102973505,68493.89467401251
100_2_4_1,FORMAL_DECISION,634.3999520291914,46932.73239045152,68470.6506711366
100_2_4_1,FORMAL_DECISION,634.7218728483036,46732.51930322984,68761.10462690634
100_2_4_1,FORMAL_DECISION,634.721905764174,46840.33038833266,68753.9293918481
100_2_4_1,FORMAL_DECISION,636.0104817744577,46209.14698016015,72416.5163316446
100_2_4_1,FORMAL_DECISION,636.1411307658317,46382.52505490845,70901.58997891333
100_2_4_1,FORMAL_DECISION,636.1411307658317,46569.788165887745,69074.8617746197
100_2_4_1,FORMAL_DECISION,636.3897040534329,46318.51431524147,70638.66998208617
100_2_4_1,FORMAL_DECISION,636.3897040534329,46361.92213952067,70470.19331261396
100_2_4_1,FORMAL_DECISION,636.3897040534329,46377.692724384455,69954.36131463696
100_2_4_1,FORMAL_DECISION,636.7168720637329,46258.992573106094,71079.82162469297
100_2_4_1,FORMAL_DECISION,637.4185280309455,46364.17143719355,69701.99341361079
100_2_4_1,FORMAL_DECISION,637.9491343458249,46785.34931541478,68475.04158225039
100_2_4_1,FORMAL_DECISION,637.967572775256,46696.043803664536,68470.11568533293
100_2_4_1,FORMAL_DECISION,638.7068949050171,46637.79704246941,68898.08847737718
100_2_4_1,FORMAL_DECISION,639.2759647179206,46224.08183979109,70125.87469919075
100_2_4_1,FORMAL_DECISION,639.5797103844025,46073.77637240979,71770.61267506088
100_2_4_1,FORMAL_DECISION,639.9703453025961,46668.372990990356,68802.19633123383
100_2_4_1,FORMAL_DECISION,639.9705802937792,46586.01592210488,68704.58488080396
100_2_4_1,FORMAL_DECISION,639.9706806846843,46669.076106014705,68603.22032501396
100_2_4_1,FORMAL_DECISION,639.9712358855872,46585.57262411676,69041.74173366155
100_2_4_1,FORMAL_DECISION,639.9745837712422,46603.64892946488,68584.17833833126
100_2_4_1,FORMAL_DECISION,641.2020029198823,46793.44565736594,68180.63684292324
100_2_4_1,FORMAL_DECISION,641.2919140073756,46618.299776816515,68569.02456489595
100_2_4_1,FORMAL_DECISION,641.871084525288,45784.885874072126,71291.34684595588
100_2_4_1,FORMAL_DECISION,643.3196978682895,46509.60007790486,68547.70186285117
100_2_4_1,FORMAL_DECISION,643.3865858866128,46684.308040523785,68503.93751746682
100_2_4_1,FORMAL_DECISION,644.2992702158137,46010.63544041487,69932.11252370784
100_2_4_1,FORMAL_DECISION,646.0489147258137,46500.44065412465,69250.23483258694
100_2_4_1,FORMAL_DECISION,646.1063391923332,46534.17357880657,68521.49029729152
100_2_4_1,FORMAL_DECISION,646.2845661117815,46651.631256349094,68235.67894147024
100_2_4_1,FORMAL_DECISION,646.3465244594278,45579.01451935287,70999.72660299984
100_2_4_1,FORMAL_DECISION,646.4841559954973,46473.855813690345,69273.16856037088
100_2_4_1,FORMAL_DECISION,647.0885593599698,46337.33682799974,69883.39271590451
100_2_4_1,FORMAL_DECISION,648.734058125556,46516.049699293326,68425.3206736529
100_2_4_1,FORMAL_DECISION,649.6208196596485,44941.56204371149,72085.7915604409
100_2_4_1,FORMAL_DECISION,650.6471256775123,45538.215081209026,70835.8394600115
100_2_4_1,FORMAL_DECISION,650.7361030365525,46580.828184956925,68340.58182784848
100_2_4_1,FORMAL_DECISION,650.8401446032539,45158.31876762694,70903.13390367207
100_2_4_1,FORMAL_DECISION,650.9296878243048,46433.82855410523,69631.4098813539
100_2_4_1,FORMAL_DECISION,651.3423333381411,46462.51740246781,68320.41208389033
100_2_4_1,FORMAL_DECISION,651.5144986164504,46455.34909886855,69482.91230276687
100_2_4_1,FORMAL_DECISION,651.7611758539517,47031.263592130446,68005.58770883807
100_2_4_1,FORMAL_DECISION,651.8786263766513,45940.53105389076,70395.8733917034
100_2_4_1,FORMAL_DECISION,652.512519144096,46565.46966247934,68182.04970555312
100_2_4_1,FORMAL_DECISION,652.512519144096,46890.20797917899,67810.32175779952
100_2_4_1,FORMAL_DECISION,652.7845654247315,46413.05235723502,68263.07132153581
100_2_4_1,FORMAL_DECISION,652.7845654247315,46507.13526518084,68154.95435432975
100_2_4_1,FORMAL_DECISION,652.7845654247315,46579.08564225564,68151.62239766425
100_2_4_1,FORMAL_DECISION,652.7845654247315,46606.534429200154,68108.33763900063
100_2_4_1,FORMAL_DECISION,652.7845654247315,46664.3775520628,67589.40930751726
100_2_4_1,FORMAL_DECISION,652.9383754465706,46424.578301576345,68204.1231052237
100_2_4_1,FORMAL_DECISION,653.2130262548612,46657.29737001516,68000.70639080499
100_2_4_1,FORMAL_DECISION,653.4308513076027,46574.710667596446,68148.75466910767
100_2_4_1,FORMAL_DECISION,653.4333924992742,46292.84852896167,69814.16724849708
100_2_4_1,FORMAL_DECISION,653.4333924992742,46304.01910595086,69573.89489552405
100_2_4_1,FORMAL_DECISION,653.4333924992742,46361.388961943565,68878.0144032101
100_2_4_1,FORMAL_DECISION,653.4333924992742,46379.05377219593,68497.92980436291
100_2_4_1,FORMAL_DECISION,653.4333924992742,46407.118260987074,68464.6018812443
100_2_4_1,FORMAL_DECISION,653.4333924992742,46412.607492531126,68164.06387557065
100_2_4_1,FORMAL_DECISION,653.4333924992742,46413.991820162126,68063.13235883493
100_2_4_1,FORMAL_DECISION,653.4333924992742,46457.7301541563,68051.65326430401
100_2_4_1,FORMAL_DECISION,653.4333924992742,46588.861646225785,67958.13111357417
100_2_4_1,FORMAL_DECISION,653.4334224129857,46513.28323961215,68025.69422258892
100_2_4_1,FORMAL_DECISION,653.4594543251476,46115.553374825846,69482.22103551847
100_2_4_1,FORMAL_DECISION,653.4594543251476,46287.168584428626,69101.3444452892
100_2_4_1,FORMAL_DECISION,653.542525071055,46180.392641857004,69223.08692160995
100_2_4_1,FORMAL_DECISION,653.542525071055,46320.473876676726,69092.79136764359
100_2_4_1,FORMAL_DECISION,653.5425260058418,46352.71402953126,68780.28611259116
100_2_4_1,FORMAL_DECISION,653.8521717775695,45578.167164200866,70460.7937748294
100_2_4_1,FORMAL_DECISION,653.9045376714221,46324.83772581952,68247.64756287127
100_2_4_1,FORMAL_DECISION,654.0583642932278,46625.0361434318,67774.88987466262
100_2_4_1,FORMAL_DECISION,654.6417046697129,46399.54682107259,68095.3709488902
100_2_4_1,FORMAL_DECISION,654.9950396532772,46440.518874479254,68022.10868233706
100_2_4_1,FORMAL_DECISION,656.2490588694249,46502.53139589142,67731.63343333351
100_2_4_1,FORMAL_DECISION,656.2490588694249,46710.289067178936,67375.1442371377
100_2_4_1,FORMAL_DECISION,656.6762258007577,46375.28559086719,68065.540906033
100_2_4_1,FORMAL_DECISION,656.7377275656426,46573.7967997235,67481.48546167993
100_2_4_1,FORMAL_DECISION,657.4698382566754,45540.67204875965,70405.05027570842
100_2_4_1,FORMAL_DECISION,658.2044178923713,46203.946075031454,69004.78640836597
100_2_4_1,FORMAL_DECISION,658.6104132567855,46478.207609423764,67936.57551970395
100_2_4_1,FORMAL_DECISION,658.6106599372396,46529.70640886021,67714.17765738326
100_2_4_1,FORMAL_DECISION,658.9481589394508,46414.51330818195,67864.00709040376
100_2_4_1,FORMAL_DECISION,659.1071446965755,46006.0223380971,70037.81729164589
100_2_4_1,FORMAL_DECISION,659.607509643545,46749.11394415365,67359.78285779517
100_2_4_1,FORMAL_DECISION,659.8322863021785,46479.90459109502,67817.05358476634
100_2_4_1,FORMAL_DECISION,660.5226599531537,46308.24690828985,68078.5795861898
100_2_4_1,FORMAL_DECISION,661.676983001844,46334.26982491478,68065.41301044555
100_2_4_1,FORMAL_DECISION,662.1002228805667,46502.34538644403,67508.99993389864
100_2_4_1,FORMAL_DECISION,662.1057126968013,46090.382059037845,69929.89710487708
100_2_4_1,FORMAL_DECISION,662.1672434403265,46394.184975812765,67724.76939619743
100_2_4_1,FORMAL_DECISION,662.1672434403265,46443.47683575899,67587.8769276526
100_2_4_1,FORMAL_DECISION,662.1752342307421,46275.207558457965,68790.17589864027
100_2_4_1,FORMAL_DECISION,662.3537888078629,46116.787183541666,68397.98835305653
100_2_4_1,FORMAL_DECISION,662.4708101877518,46261.57615335554,67815.88593531711
100_2_4_1,FORMAL_DECISION,662.5416576966718,45929.18820746507,70364.52479702994
100_2_4_1,FORMAL_DECISION,662.9595595656895,45991.775946958674,69506.20238313053
100_2_4_1,FORMAL_DECISION,663.2336036673063,46191.16041509672,68333.81805272699
100_2_4_1,FORMAL_DECISION,663.2949911091854,45471.17362432447,70583.73328548917
100_2_4_1,FORMAL_DECISION,663.6121232366552,46673.95946573863,67481.0570140826
100_2_4_1,FORMAL_DECISION,663.6121232366552,46681.73099531945,67434.50665279914
100_2_4_1,FORMAL_DECISION,663.6571882139386,46438.69313718726,67718.18254509284
100_2_4_1,FORMAL_DECISION,663.6571887337043,46298.32055226742,67600.28948004275
100_2_4_1,FORMAL_DECISION,663.6571887337043,46651.472330410674,67426.73451839916
100_2_4_1,FORMAL_DECISION,663.6571887337043,46652.74386195402,67426.52594130044
100_2_4_1,FORMAL_DECISION,663.6571887337043,46657.067654371596,67388.2754369867
100_2_4_1,FORMAL_DECISION,663.6571887337043,46658.79740524583,67383.0988429139
100_2_4_1,FORMAL_DECISION,663.6773191988192,46154.687661091026,67683.03813744918
100_2_4_1,FORMAL_DECISION,664.1415778200233,45999.54993451439,69407.67576185126
100_2_4_1,FORMAL_DECISION,664.1415778200233,46087.86673986995,69232.11714711308
100_2_4_1,FORMAL_DECISION,664.2254918521078,45215.51804221937,70665.9930257211
100_2_4_1,FORMAL_DECISION,665.0214183208088,45364.387857433,70597.29466778874
100_2_4_1,FORMAL_DECISION,665.6606708191931,45716.48401480843,70207.16424411614
100_2_4_1,FORMAL_DECISION,667.0685010774903,45111.096984964024,71974.06461054947
100_2_4_1,FORMAL_DECISION,667.1523164138946,44915.78069556387,71675.58771554708
100_2_4_1,FORMAL_DECISION,667.1605187643756,45700.97083782764,70381.1362394579
100_2_4_1,FORMAL_DECISION,667.1605187643756,45985.937782587156,69997.86488267542
100_2_4_1,FORMAL_DECISION,667.1605192056237,45664.031383158195,70338.38030381002
100_2_4_1,FORMAL_DECISION,667.415735734638,45102.39245400243,70148.08063513672
100_2_4_1,FORMAL_DECISION,667.5606650402505,45817.13900537783,70048.47809521247
100_2_4_1,FORMAL_DECISION,667.6520780380387,46223.9643347983,67502.24965152705
100_2_4_1,FORMAL_DECISION,667.6520780380387,46257.17583060839,67497.20876164503
100_2_4_1,FORMAL_DECISION,667.6520780380387,46290.69943112716,67466.6702197596
100_2_4_1,FORMAL_DECISION,668.2655208966638,46070.10455950878,68508.11880398725
100_2_4_1,FORMAL_DECISION,668.8219446659267,45959.576542376024,69636.04489904919
100_2_4_1,FORMAL_DECISION,669.3335733543734,46559.72438083573,67371.8429589344
100_2_4_1,FORMAL_DECISION,669.3512346592071,46219.126415730134,67572.84498371114
100_2_4_1,FORMAL_DECISION,669.4667571741506,45029.16137943051,71100.6948934586
100_2_4_1,FORMAL_DECISION,669.7255892101391,45695.47109809308,70070.16679716264
100_2_4_1,FORMAL_DECISION,669.8032537114848,45760.55233009704,69779.10269516081
100_2_4_1,FORMAL_DECISION,670.3407248152574,45947.27716570663,69369.39875654795
100_2_4_1,FORMAL_DECISION,670.4243924401209,46120.3970321492,68279.97601793444
100_2_4_1,FORMAL_DECISION,670.4702115163598,45709.128717194675,70025.66034210351
100_2_4_1,FORMAL_DECISION,671.2024970743616,46489.57459870845,67421.68334142579
100_2_4_1,FORMAL_DECISION,671.2056458851752,46145.58263648371,68212.91359139005
100_2_4_1,FORMAL_DECISION,671.4787293937212,45575.17543761131,70146.79605536076
100_2_4_1,FORMAL_DECISION,671.6971723199015,46447.12925482711,67342.07365619877
100_2_4_1,FORMAL_DECISION,672.7197569168767,45660.54620892898,69792.38070077416
100_2_4_1,FORMAL_DECISION,672.8191132244793,45301.508938898645,70128.88694936797
100_2_4_1,FORMAL_DECISION,673.4171636754328,46695.19797284282,67339.55297891537
100_2_4_1,FORMAL_DECISION,673.4171636754328,46703.96652202932,67313.01305348826
100_2_4_1,FORMAL_DECISION,673.4212959677607,46662.69054388418,67171.17751540453
100_2_4_1,FORMAL_DECISION,673.682242087039,45086.4614039503,70830.32362020755
100_2_4_1,FORMAL_DECISION,675.3215960724696,46371.2246071315,67325.21662483345
100_2_4_1,FORMAL_DECISION,675.3216862574892,46365.705041728164,67335.23594204536
100_2_4_1,FORMAL_DECISION,675.3217559833606,46396.74595551193,67290.68342060072
100_2_4_1,FORMAL_DECISION,675.5892616104915,45648.77787792466,70021.46490379586
100_2_4_1,FORMAL_DECISION,675.7045200233474,45010.13814929319,70323.79217813382
100_2_4_1,FORMAL_DECISION,675.7569823680974,45047.29898895515,69869.27972024662
100_2_4_1,FORMAL_DECISION,676.4512576339617,46218.404212264504,67390.44512985976
100_2_4_1,FORMAL_DECISION,676.470214540907,45619.93344787737,69526.7869547935
100_2_4_1,FORMAL_DECISION,676.5301483431841,44731.786604246336,69859.65166167155
100_2_4_1,FORMAL_DECISION,676.9278596128333,45891.27377962892,68825.62936630928
100_2_4_1,FORMAL_DECISION,677.0077478820219,46358.355653609324,67255.71659261837
100_2_4_1,FORMAL_DECISION,677.043669475639,46266.59686346042,67323.13084506472
100_2_4_1,FORMAL_DECISION,677.2939243839006,44630.375714868576,71237.06180113644
100_2_4_1,FORMAL_DECISION,677.4702159497368,45546.35088019351,69730.3485615171
100_2_4_1,FORMAL_DECISION,677.4702159497368,45566.95294176893,69537.40915760958
100_2_4_1,FORMAL_DECISION,677.4702159497368,45624.02185388448,69270.4804968849
100_2_4_1,FORMAL_DECISION,677.4702159497368,45650.699861176836,69244.52147748234
100_2_4_1,FORMAL_DECISION,677.9297679942331,46128.39891324,67887.64214392031
100_2_4_1,FORMAL_DECISION,677.9464056597413,45587.32299137658,69518.10541615968
100_2_4_1,FORMAL_DECISION,677.9464058898848,45560.566715788154,69328.90853523569
100_2_4_1,FORMAL_DECISION,678.0298349074467,46570.60186050472,67239.12600224924
100_2_4_1,FORMAL_DECISION,678.2921792311099,46495.83402123391,67212.94850185575
100_2_4_1,FORMAL_DECISION,678.5914545179829,46201.6065273446,67639.53421007667
100_2_4_1,FORMAL_DECISION,678.8055765817464,46059.273728713306,67979.09939837981
100_2_4_1,FORMAL_DECISION,678.8704658463155,44922.94629390864,69275.60963239578
100_2_4_1,FORMAL_DECISION,679.1172621368279,46186.46521586811,67625.4467850244
100_2_4_1,FORMAL_DECISION,679.120880552993,46179.39616862107,67628.55016194905
100_2_4_1,FORMAL_DECISION,679.120977910553,46131.5405027104,66917.58852659057
100_2_4_1,FORMAL_DECISION,679.1210161632207,46081.54737003279,67726.06764824629
100_2_4_1,FORMAL_DECISION,679.3083000005194,46041.82802205859,68518.83251911296
100_2_4_1,FORMAL_DECISION,680.3048564952629,45965.27946094382,68377.83867732363
100_2_4_1,FORMAL_DECISION,680.3669479794623,45959.683654996865,68422.49560633712
100_2_4_1,FORMAL_DECISION,681.4946674326826,45830.70952188432,68785.0969797923
100_2_4_1,FORMAL_DECISION,681.576249663214,45944.59873278544,68104.90648160671
100_2_4_1,FORMAL_DECISION,682.1830674183635,46076.82778413981,67943.82232089502
100_2_4_1,FORMAL_DECISION,683.3721381194027,45970.4540785732,67979.13330470782
100_2_4_1,FORMAL_DECISION,683.6243240478765,44727.43312473126,70991.72442920465
100_2_4_1,FORMAL_DECISION,684.0719327650172,45711.44998267463,69029.09486819517
100_2_4_1,FORMAL_DECISION,684.2722600038401,44760.431187536036,69568.01197171296
100_2_4_1,FORMAL_DECISION,684.374977301543,45644.84417290328,69258.94187657081
100_2_4_1,FORMAL_DECISION,685.229634904997,45491.381124211126,69220.6647178332
100_2_4_1,FORMAL_DECISION,685.2296351909775,45476.84675623235,69190.46750676417
100_2_4_1,FORMAL_DECISION,685.2296351909775,45574.27260917955,69142.78900309173
100_2_4_1,FORMAL_DECISION,685.2321316504276,45695.71796749854,69044.57846436727
100_2_4_1,FORMAL_DECISION,685.2615587238804,45905.82634635166,67644.44785374631
100_2_4_1,FORMAL_DECISION,685.2615587238804,45913.97163864975,67638.47651456462
100_2_4_1,FORMAL_DECISION,685.9374621300163,46092.611316513045,67381.24866457572
100_2_4_1,FORMAL_DECISION,686.0486182761126,44615.4005244262,70746.64578208048
100_2_4_1,FORMAL_DECISION,686.6325220860082,44986.18410894598,68746.3828827719
100_2_4_1,FORMAL_DECISION,687.0053598522858,45985.303075963835,67272.5445660011
100_2_4_1,FORMAL_DECISION,687.1387271939275,44550.355149317766,71210.07485878124
100_2_4_1,FORMAL_DECISION,687.9805252661024,45844.64904008435,68279.1290371956
100_2_4_1,FORMAL_DECISION,688.0933767548041,44714.106078541256,70199.57003816903
100_2_4_1,FORMAL_DECISION,688.1872954873078,44681.70866562646,70503.53969114319
100_2_4_1,FORMAL_DECISION,688.4142134132577,44432.50517223722,69947.13811761142
100_2_4_1,FORMAL_DECISION,688.7369014128636,46052.008888897646,67230.44142471012
100_2_4_1,FORMAL_DECISION,688.7487422866361,45853.47204016978,67697.97687809667
100_2_4_1,FORMAL_DECISION,688.8646971607161,45656.72491648013,68441.43804606737
100_2_4_1,FORMAL_DECISION,689.0197024906803,44884.56186835226,68947.29749616719
100_2_4_1,FORMAL_DECISION,693.2358390236319,44332.717916378984,71711.31181938483
100_2_4_1,FORMAL_DECISION,693.9521041479125,45508.75201878733,68438.94135080185
100_2_4_1,FORMAL_DECISION,695.3212845124185,44527.29521019905,69893.36799131885
100_2_4_1,FORMAL_DECISION,695.5948394249295,44433.61810602169,69096.9799402449
100_2_4_1,FORMAL_DECISION,695.8060389553568,45031.85475276477,68702.35048980554
100_2_4_1,FORMAL_DECISION,696.1066302966174,44705.267031028445,69071.17078378057
100_2_4_1,FORMAL_DECISION,696.2018052944954,45612.454774947386,68104.68565623293
100_2_4_1,FORMAL_DECISION,696.337074853234,45029.28996381037,68355.03134630213
100_2_4_1,FORMAL_DECISION,696.5393566586015,44833.1319216248,68663.35889892348
100_2_4_1,FORMAL_DECISION,698.0260832371346,44123.789940544,72540.50462548554
100_2_4_1,FORMAL_DECISION,699.2416477231347,45984.88912488704,67581.679830246
100_2_4_1,FORMAL_DECISION,699.2737644821395,44407.353575734014,70443.88599205237
100_2_4_1,FORMAL_DECISION,699.4735042335546,44321.92756564794,70976.4400362285
100_2_4_1,FORMAL_DECISION,701.0864269643363,45991.19875689244,67258.02161608583
