instance,referenceFamily,Cmax,TEC,TWC
100_2_4_1,FORMAL_DECISION,592.9502808536482,48051.420477482985,73098.33457011537
100_2_4_1,FORMAL_DECISION,594.2062547948589,47665.77747877402,74724.81082229652
100_2_4_1,FORMAL_DECISION,594.7221306812612,47681.66817509872,69853.25981799964
100_2_4_1,FORMAL_DECISION,596.1140352752677,47552.6741154229,70610.08592257075
100_2_4_1,FORMAL_DECISION,596.8679584976011,47709.295848027825,69466.11827610472
100_2_4_1,FORMAL_DECISION,597.3045114657439,47581.29355044762,69600.71646119955
100_2_4_1,FORMAL_DECISION,597.3045114657439,47610.014952542435,69509.35853846076
100_2_4_1,FORMAL_DECISION,597.340701191914,47503.702283313054,69361.39240974322
100_2_4_1,FORMAL_DECISION,597.5497649920106,47471.16773277534,70082.7540967419
100_2_4_1,FORMAL_DECISION,597.5497649920106,47500.358998562355,69793.36279398826
100_2_4_1,FORMAL_DECISION,597.8181729983286,47467.08552518909,69876.0246734015
100_2_4_1,FORMAL_DECISION,597.8517800285143,47382.895685944844,70546.90349203652
100_2_4_1,FORMAL_DECISION,597.9949825281209,47446.68320817223,69996.59663923921
100_2_4_1,FORMAL_DECISION,597.9949825281209,47477.042228905106,69723.74512781776
100_2_4_1,FORMAL_DECISION,597.9949825281209,47497.8551355248,69518.54450732864
100_2_4_1,FORMAL_DECISION,598.1341659978253,47408.80698557952,69627.27610149217
100_2_4_1,FORMAL_DECISION,598.207425077677,47380.0708132211,69944.15230136066
100_2_4_1,FORMAL_DECISION,598.207425077677,47481.45119621011,69491.73100755668
100_2_4_1,FORMAL_DECISION,598.4283519407212,47176.16662890365,70899.56542070734
100_2_4_1,FORMAL_DECISION,598.4283519407212,47186.93606357369,70793.17388502162
100_2_4_1,FORMAL_DECISION,598.4283519407212,47403.14796011874,69798.05130870896
100_2_4_1,FORMAL_DECISION,599.1383074851533,47384.83516922954,69488.6228159589
100_2_4_1,FORMAL_DECISION,599.1383685519679,47392.92679820149,69436.82145858032
100_2_4_1,FORMAL_DECISION,599.6855822854168,47536.348974481036,69360.52708979034
100_2_4_1,FORMAL_DECISION,599.7568912800565,47317.7486811755,69469.36266363818
100_2_4_1,FORMAL_DECISION,600.5822419508384,47166.40810318885,71265.91008230789
