runKey,profile,instance,seed,checkpointFE,isF_common,bestCmaxGlobal,bestTECGlobal,bestTWCGlobal
run-GAPL50K-C0-50_2_3_1-20260907,C0,50_2_3_1,20260907,10000,false,327.143235215021,21123.291945267440,34985.869278428865
run-GAPL50K-C0-50_2_3_1-20260907,C0,50_2_3_1,20260907,20000,false,327.143235215021,21123.291945267440,33920.213009410385
run-GAPL50K-C0-50_2_3_1-20260907,C0,50_2_3_1,20260907,30000,false,327.143235215021,21044.821951973440,33842.168628205945
run-GAPL50K-C0-50_2_3_1-20260907,C0,50_2_3_1,20260907,40000,true,327.143235215021,20986.969281118810,33527.084615093580
run-GAPL50K-C1-50_2_3_1-20260907,C1,50_2_3_1,20260907,10000,false,327.143235215021,21208.812004627376,33822.730904061296
run-GAPL50K-C1-50_2_3_1-20260907,C1,50_2_3_1,20260907,20000,false,327.143235215021,21052.931151103046,33822.730904061296
run-GAPL50K-C1-50_2_3_1-20260907,C1,50_2_3_1,20260907,30000,false,322.661195848627,20981.898376552424,33591.891013859570
run-GAPL50K-C1-50_2_3_1-20260907,C1,50_2_3_1,20260907,40000,true,322.661195848627,20952.656957973464,33463.772705153664
run-GAPL50K-C2-50_2_3_1-20260907,C2,50_2_3_1,20260907,10000,false,327.143235215021,21227.735319576022,34362.493350605300
run-GAPL50K-C2-50_2_3_1-20260907,C2,50_2_3_1,20260907,20000,false,327.143235215021,21087.144728031460,33710.456871088120
run-GAPL50K-C2-50_2_3_1-20260907,C2,50_2_3_1,20260907,30000,false,327.143235215021,21071.876821825994,33661.918386529870
run-GAPL50K-C2-50_2_3_1-20260907,C2,50_2_3_1,20260907,40000,true,327.143235215021,21071.876821825994,33528.147780007180
run-GAPL50K-C3-50_2_3_1-20260907,C3,50_2_3_1,20260907,10000,false,327.143235215021,21252.085727848530,34649.959950221170
run-GAPL50K-C3-50_2_3_1-20260907,C3,50_2_3_1,20260907,20000,false,327.143235215021,21181.943921884962,33931.431127715390
run-GAPL50K-C3-50_2_3_1-20260907,C3,50_2_3_1,20260907,30000,false,327.143235215021,20866.017239505854,33899.778088564846
run-GAPL50K-C3-50_2_3_1-20260907,C3,50_2_3_1,20260907,40000,true,327.143235215021,20789.561319055887,33574.060716614110
run-GAPL50K-C0-100_5_3_1-20260907,C0,100_5_3_1,20260907,10000,false,802.706540372059,121328.166396562360,337355.189334906400
run-GAPL50K-C0-100_5_3_1-20260907,C0,100_5_3_1,20260907,20000,false,789.070789042061,120613.881184058350,336593.252370462100
run-GAPL50K-C0-100_5_3_1-20260907,C0,100_5_3_1,20260907,30000,false,789.070789042061,119984.375147564480,324361.658817086800
run-GAPL50K-C0-100_5_3_1-20260907,C0,100_5_3_1,20260907,40000,true,785.568573469122,119578.562738085920,323328.759793166770
run-GAPL50K-C1-100_5_3_1-20260907,C1,100_5_3_1,20260907,10000,false,802.706540372059,121328.166396562360,337355.189334906400
run-GAPL50K-C1-100_5_3_1-20260907,C1,100_5_3_1,20260907,20000,false,789.070789042061,120613.881184058350,336593.252370462100
run-GAPL50K-C1-100_5_3_1-20260907,C1,100_5_3_1,20260907,30000,false,781.196481838411,120567.157654026580,332369.101840127100
run-GAPL50K-C1-100_5_3_1-20260907,C1,100_5_3_1,20260907,40000,true,781.196481838411,119822.298821404070,330566.098655576500
run-GAPL50K-C2-100_5_3_1-20260907,C2,100_5_3_1,20260907,10000,false,802.706540372059,121328.166396562360,337355.189334906400
run-GAPL50K-C2-100_5_3_1-20260907,C2,100_5_3_1,20260907,20000,false,789.070789042061,120664.098212452050,331064.446667705550
run-GAPL50K-C2-100_5_3_1-20260907,C2,100_5_3_1,20260907,30000,false,789.070789042061,120536.724961398170,331064.446667705550
run-GAPL50K-C2-100_5_3_1-20260907,C2,100_5_3_1,20260907,40000,true,789.070789042061,120281.432002436660,328570.160932468800
run-GAPL50K-C3-100_5_3_1-20260907,C3,100_5_3_1,20260907,10000,false,802.706540372059,121328.166396562360,337355.189334906400
run-GAPL50K-C3-100_5_3_1-20260907,C3,100_5_3_1,20260907,20000,false,789.070789042061,120450.582819331790,334915.709794486600
run-GAPL50K-C3-100_5_3_1-20260907,C3,100_5_3_1,20260907,30000,false,789.070789042061,119797.476901439620,331445.188294403000
run-GAPL50K-C3-100_5_3_1-20260907,C3,100_5_3_1,20260907,40000,true,789.070789042061,118837.602257266320,329214.353322244370
