runKey,profile,instance,seed,checkpointFE,isF_common,bestCmaxGlobal,bestTECGlobal,bestTWCGlobal
run-GAPL50K-C0-50_2_3_1-20260914,C0,50_2_3_1,20260914,10000,false,339.532128018514,21418.797208232550,36695.359252865890
run-GAPL50K-C0-50_2_3_1-20260914,C0,50_2_3_1,20260914,20000,false,334.166939783043,21140.253503939417,35866.546376774510
run-GAPL50K-C0-50_2_3_1-20260914,C0,50_2_3_1,20260914,30000,false,330.173974986903,21025.167364630983,35730.475532647906
run-GAPL50K-C0-50_2_3_1-20260914,C0,50_2_3_1,20260914,40000,true,329.213728503470,21025.167364630983,35558.302965590774
run-GAPL50K-C1-50_2_3_1-20260914,C1,50_2_3_1,20260914,10000,false,339.532128018514,21404.787439663305,36695.359252865890
run-GAPL50K-C1-50_2_3_1-20260914,C1,50_2_3_1,20260914,20000,false,326.875325476401,21270.947986955710,36695.359252865890
run-GAPL50K-C1-50_2_3_1-20260914,C1,50_2_3_1,20260914,30000,false,326.875325476401,21245.360917508362,36441.570527783510
run-GAPL50K-C1-50_2_3_1-20260914,C1,50_2_3_1,20260914,40000,true,326.875325476401,21110.818428350358,36000.057864256070
run-GAPL50K-C2-50_2_3_1-20260914,C2,50_2_3_1,20260914,10000,false,339.532128018514,21388.153440579290,36695.359252865890
run-GAPL50K-C2-50_2_3_1-20260914,C2,50_2_3_1,20260914,20000,false,333.054150125481,21150.129727081150,36573.729348419230
run-GAPL50K-C2-50_2_3_1-20260914,C2,50_2_3_1,20260914,30000,false,331.026101904715,21150.129727081150,36174.950876830570
run-GAPL50K-C2-50_2_3_1-20260914,C2,50_2_3_1,20260914,40000,true,331.026101904715,21150.129727081150,35632.503038669165
run-GAPL50K-C3-50_2_3_1-20260914,C3,50_2_3_1,20260914,10000,false,339.532128018514,21388.153440579290,36695.359252865890
run-GAPL50K-C3-50_2_3_1-20260914,C3,50_2_3_1,20260914,20000,false,333.054150125481,21150.129727081150,36068.911462592210
run-GAPL50K-C3-50_2_3_1-20260914,C3,50_2_3_1,20260914,30000,false,328.936245261133,21064.675823800600,35975.829520013530
run-GAPL50K-C3-50_2_3_1-20260914,C3,50_2_3_1,20260914,40000,true,328.936245261133,21064.675823800600,35953.152823892415
run-GAPL50K-C0-100_5_3_1-20260914,C0,100_5_3_1,20260914,10000,false,807.299168772581,121850.814506291700,340350.529069000450
run-GAPL50K-C0-100_5_3_1-20260914,C0,100_5_3_1,20260914,20000,false,793.151533000310,120254.267331115950,333865.302847606400
run-GAPL50K-C0-100_5_3_1-20260914,C0,100_5_3_1,20260914,30000,false,793.014094925442,120083.430774496580,331044.677056938900
run-GAPL50K-C0-100_5_3_1-20260914,C0,100_5_3_1,20260914,40000,true,790.544106709885,120083.430774496580,330661.126682908300
run-GAPL50K-C1-100_5_3_1-20260914,C1,100_5_3_1,20260914,10000,false,807.299168772581,121850.814506291700,340350.529069000450
run-GAPL50K-C1-100_5_3_1-20260914,C1,100_5_3_1,20260914,20000,false,793.151533000310,121000.103183360930,332069.268713350700
run-GAPL50K-C1-100_5_3_1-20260914,C1,100_5_3_1,20260914,30000,false,793.151533000310,119786.728258297270,325586.892162147970
run-GAPL50K-C1-100_5_3_1-20260914,C1,100_5_3_1,20260914,40000,true,789.510580861772,119528.178683673450,324757.855042245060
run-GAPL50K-C2-100_5_3_1-20260914,C2,100_5_3_1,20260914,10000,false,807.299168772581,121775.061936357730,341009.502478489540
run-GAPL50K-C2-100_5_3_1-20260914,C2,100_5_3_1,20260914,20000,false,795.155173653329,121083.390341132060,341009.502478489540
run-GAPL50K-C2-100_5_3_1-20260914,C2,100_5_3_1,20260914,30000,false,769.321013157564,120816.087285588640,333789.439945432700
run-GAPL50K-C2-100_5_3_1-20260914,C2,100_5_3_1,20260914,40000,true,769.321013157564,119928.091864714250,330544.260926529240
run-GAPL50K-C3-100_5_3_1-20260914,C3,100_5_3_1,20260914,10000,false,807.299168772581,121503.994169880640,341170.025500311000
run-GAPL50K-C3-100_5_3_1-20260914,C3,100_5_3_1,20260914,20000,false,807.299168772581,118864.457126230180,336907.355564811850
run-GAPL50K-C3-100_5_3_1-20260914,C3,100_5_3_1,20260914,30000,false,807.299168772581,118864.457126230180,331036.147053115650
run-GAPL50K-C3-100_5_3_1-20260914,C3,100_5_3_1,20260914,40000,true,799.460644747980,118592.206418587270,326889.254847338400
