section,instance,seed,candidate,dHV_terminal,dIGD_terminal,dCmax_terminal,dTEC_terminal,dTWC_terminal,fCommon,dCmax_commonFE,dTEC_commonFE,dTWC_commonFE,note
SEED,50_2_3_1,20260907,C1,0.058350,0.377919,0.013701,0.001635,-0.001121,40000,0.013701,0.001635,0.001888,
SEED,50_2_3_1,20260907,C2,0.044299,0.223443,0.000000,-0.004046,-0.001436,40000,0.000000,-0.004046,-0.000032,
SEED,50_2_3_1,20260907,C3,0.080177,0.516983,0.000517,0.009406,-0.004420,40000,0.000000,0.009406,-0.001401,
SEED,50_2_3_1,20260914,C1,-0.003944,0.211061,-0.002710,-0.004074,-0.012423,40000,0.007103,-0.004074,-0.012423,
SEED,50_2_3_1,20260914,C2,0.220337,0.577511,-0.015442,-0.005943,0.025296,40000,-0.005505,-0.005943,-0.002087,
SEED,50_2_3_1,20260914,C3,0.042939,0.213086,-0.009032,-0.001879,-0.011104,40000,0.000843,-0.001879,-0.011104,
SEED,100_5_3_1,20260907,C1,-0.201115,-0.068296,0.005566,-0.003131,-0.022384,40000,0.005566,-0.002038,-0.022384,
SEED,100_5_3_1,20260907,C2,-0.124598,0.158016,-0.004458,-0.003304,-0.016211,40000,-0.004458,-0.005878,-0.016211,
SEED,100_5_3_1,20260907,C3,-0.110662,0.113695,-0.004458,0.005113,-0.016420,40000,-0.004458,0.006196,-0.018203,
SEED,100_5_3_1,20260914,C1,0.197402,0.143666,0.001307,0.004624,0.019156,40000,0.001307,0.004624,0.017853,
SEED,100_5_3_1,20260914,C2,0.338966,0.344671,0.026846,0.009478,0.004022,40000,0.026846,0.001294,0.000353,
SEED,100_5_3_1,20260914,C3,0.202217,0.232395,-0.000478,0.015959,0.011407,40000,-0.011279,0.012418,0.011407,
MEDIAN_2SEED,50_2_3_1,MEDIAN,C1,0.027203,0.294490,0.005495,-0.001219,-0.006772,40000,0.010402,-0.001219,-0.005268,
MEDIAN_2SEED,50_2_3_1,MEDIAN,C2,0.132318,0.400477,-0.007721,-0.004995,0.011930,40000,-0.002753,-0.004995,-0.001059,
MEDIAN_2SEED,50_2_3_1,MEDIAN,C3,0.061558,0.365035,-0.004257,0.003764,-0.007762,40000,0.000421,0.003764,-0.006253,
MEDIAN_2SEED,100_5_3_1,MEDIAN,C1,-0.001856,0.037685,0.003436,0.000746,-0.001614,40000,0.003436,0.001293,-0.002265,
MEDIAN_2SEED,100_5_3_1,MEDIAN,C2,0.107184,0.251343,0.011194,0.003087,-0.006094,40000,0.011194,-0.002292,-0.007929,
MEDIAN_2SEED,100_5_3_1,MEDIAN,C3,0.045778,0.173045,-0.002468,0.010536,-0.002507,40000,-0.007869,0.009307,-0.003398,
