runId,algorithm,instance,seed,population,maxFEs,actualFE,decoderCalls,frontSize,mechanismGates,status
GAP20K-A4,A4-Pacing,50_2_3_1,20260827,100,20000,,15258,,PASS,COMPLETED
GAP20K-A0,A0(HMOPSO-QGS-F),50_2_3_1,20260827,100,20000,,16673,,PASS,COMPLETED
GAP20K-SPEA2F,SPEA2-F,50_2_3_1,20260827,100,20000,20000,20000,100,PASS,COMPLETED
GAP20K-NSGA2F,NSGA-II-F,50_2_3_1,20260827,100,20000,20000,20000,100,PASS,COMPLETED
