checkpointTargetFE,checkpointObservedFE,overshootFE,evaluationCounterFE,frontType,frontSize
50000,50000,0,50091,checkpoint-decision-front,209
50000,50000,0,50091,checkpoint-observed-full-front,289
100000,100000,0,100068,checkpoint-decision-front,327
100000,100000,0,100068,checkpoint-observed-full-front,424
150000,150000,0,150020,checkpoint-decision-front,412
150000,150000,0,150020,checkpoint-observed-full-front,545
200000,200000,0,200000,checkpoint-decision-front,480
200000,200000,0,200000,checkpoint-observed-full-front,588
250000,250000,0,250000,terminal-decision-front,494
250000,250000,0,250000,terminal-observed-full-front,629
