seed,cycle,fe,workingBestCmax,archiveBestCmax,cmaxGap,workingBestTEC,archiveBestTEC,tecGap,workingBestTWC,archiveBestTWC,twcGap,workingSize,archiveSize
20260903,1,6775,810.4979043444653,810.4979043444653,0.0,123389.56594377366,122372.01630473048,1017.5496390431799,363225.0362471891,359757.8460088078,3467.1902383812703,100,35
20260903,2,13491,810.4979043444653,808.76466678553,1.7332375589352296,121514.14025453554,120738.80117510505,775.3390794304869,350022.6907298101,341534.7410592695,8487.949670540576,100,65
20260903,3,20281,810.4979043444653,808.76466678553,1.7332375589352296,117645.67360614025,117645.67360614025,0.0,329980.3503168812,326210.12249363546,3770.2278232457465,100,74
20260903,4,27182,810.4979043444653,808.3806350291989,2.1172693152664124,117645.67360614025,116545.89686446638,1099.7767416738643,328177.7766823069,323385.1502498279,4792.62643247901,100,116
20260903,5,34238,792.3372082694962,792.3372082694962,0.0,115481.14090971477,114709.8616537961,771.2792559186637,322294.7812943853,320233.18546303944,2061.595831345883,100,164
20260903,6,41501,779.6101233867357,779.6101233867357,0.0,115481.14090971477,114254.52373398849,1226.6171757262782,316976.7334650818,313820.9741077303,3155.7593573514605,100,219
20260903,7,49036,768.9630253033114,768.9630253033114,0.0,113997.77080959603,113766.98946431957,230.78134527645307,315717.83484682086,311352.1232918146,4365.711555006274,100,218
20260903,8,56932,768.9630253033114,768.9630253033114,0.0,113680.05275033592,112909.73215340091,770.3205969350092,312332.99707713735,311182.60666053346,1150.3904166038847,100,232
20260903,9,65313,768.9630253033114,768.9630253033114,0.0,113212.95867075099,112815.97358612755,396.98508462343307,311917.6852169376,309317.01702353987,2600.6681933977525,100,233
20260903,10,74366,768.9630253033114,768.9630253033114,0.0,113212.95867075099,112568.19882609774,644.7598446532502,311917.6852169376,308206.4220276456,3711.263189292047,100,253
20260903,11,84405,770.7318600945977,768.9630253033114,1.768834791286281,112726.08122629332,112568.19882609774,157.88240019557998,311630.86506949516,308206.4220276456,3424.4430418495904,100,277
20260903,12,96025,774.5331058063656,768.9630253033114,5.570080503054214,112726.08122629332,112344.33555427202,381.745672021294,311630.86506949516,308206.4220276456,3424.4430418495904,100,287
