seed,windowEndFE,rounds,meanNmerge,meanNnd,maxNnd,meanRoverflow,maxRoverflow
20260903,50000,7,259.85714285714283,40.714285714285715,65,0.40714285714285714,0.65
20260903,100000,5,255.4,66.8,73,0.6679999999999999,0.73
